sample	cohort	included_in_clustering	exclusion_reason
DLBCL_LS2590	Shipp	True	
DLBCL_RICOVER_1210	Shipp	True	
DLBCL_C_D_1105_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1165	Shipp	True	
DLBCL_LS1668	Shipp	True	
DLBCL_RICOVER_267	Shipp	True	
DLBCL_RICOVER_839	Shipp	True	
DLBCL_RICOVER_449	Shipp	True	
DLBCL_RICOVER_585	Shipp	True	
DLBCL_RICOVER_126	Shipp	True	
DLBCL_RICOVER_506	Shipp	True	
DLBCL_C_D_1156_NULLPAIR	Shipp	True	
DLBCL_C_D_1106_NULLPAIR	Shipp	True	
DLBCL_RICOVER_299	Shipp	True	
DLBCL_MC_F218_RAP	Shipp	True	
DLBCL_C_D_PAIR20	Shipp	True	
DLBCL_MC_F349_BJJ	Shipp	True	
DLBCL_RICOVER_1046	Shipp	True	
DLBCL_LS4054	Shipp	True	
DLBCL_RICOVER_1169	Shipp	True	
DLBCL_C_D_1104_NULLPAIR	Shipp	True	
DLBCL_LS2599	Shipp	True	
DLBCL_RICOVER_950	Shipp	True	
DLBCL_MC_F339_JPS2	Shipp	True	
DLBCL_DFCI_DLBCL_GOE07	Shipp	True	
DLBCL_RICOVER_320	Shipp	True	
DLBCL_RICOVER_577	Shipp	True	
DLBCL_MAYO_DLBCL_234	Shipp	True	
DLBCL_MC_F064AB	Shipp	True	
DLBCL_RICOVER_701	Shipp	True	
DLBCL_LS3245	Shipp	True	
DLBCL_RICOVER_1045	Shipp	True	
DLBCL_C_D_PAIR2	Shipp	True	
DLBCL_RICOVER_850	Shipp	True	
DLBCL_C_D_1113_NULLPAIR	Shipp	True	
DLBCL_C_D_1142_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1106	Shipp	True	
DLBCL_MC_F139_LJF	Shipp	True	
DLBCL_RICOVER_678	Shipp	True	
DLBCL_RICOVER_1150	Shipp	True	
DLBCL_RICOVER_1235	Shipp	True	
DLBCL_RICOVER_1190	Shipp	True	
DLBCL_C_D_PAIR13	Shipp	True	
DLBCL_RICOVER_208	Shipp	True	
DLBCL_MC_F496DMP	Shipp	True	
DLBCL_RICOVER_692	Shipp	True	
DLBCL_MC_F362_MJB1	Shipp	True	
DLBCL_RICOVER_174	Shipp	True	
DLBCL_RICOVER_1204	Shipp	True	
DLBCL_MC_F500_ECU	Shipp	True	
DLBCL_MC_F089_MLB	Shipp	True	
DLBCL_LS4323	Shipp	True	
DLBCL_MC_F132_MLM	Shipp	True	
DLBCL_C_D_1107_NULLPAIR	Shipp	True	
DLBCL_C_D_1103_NULLPAIR	Shipp	True	
DLBCL_C_D_1109_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1263	Shipp	True	
DLBCL_RICOVER_1018	Shipp	True	
DLBCL_C_D_1133_NULLPAIR	Shipp	True	
DLBCL_LS3866	Shipp	True	
DLBCL_C_D_1163_NULLPAIR	Shipp	True	
DLBCL_LS3499	Shipp	True	
DLBCL_C_D_1112_NULLPAIR	Shipp	True	
DLBCL_LS951	Shipp	True	
DLBCL_RICOVER_685	Shipp	True	
DLBCL_RICOVER_1283	Shipp	True	
DLBCL_RICOVER_910	Shipp	True	
DLBCL_LS2367	Shipp	True	
DLBCL_LS4616	Shipp	True	
DLBCL_C_D_1108_NULLPAIR	Shipp	True	
DLBCL_C_D_1136_NULLPAIR	Shipp	True	
DLBCL_RICOVER_948	Shipp	True	
DLBCL_RICOVER_451	Shipp	True	
DLBCL_RICOVER_1278	Shipp	True	
DLBCL_C_D_1121_NULLPAIR	Shipp	True	
DLBCL_RICOVER_338	Shipp	True	
DLBCL_LS4592	Shipp	True	
DLBCL_LS2089	Shipp	True	
DLBCL_C_D_1128_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1013	Shipp	True	
DLBCL_LS3809	Shipp	True	
DLBCL_RICOVER_763	Shipp	True	
DLBCL_RICOVER_1081	Shipp	True	
DLBCL_RICOVER_826	Shipp	True	
DFCIDL004_DT	Shipp	True	
DLBCL_RICOVER_1072	Shipp	True	
DLBCL_DFCI_DLBCL_GOE05	Shipp	True	
DLBCL_C_D_1126_NULLPAIR	Shipp	True	
DLBCL_LS2357	Shipp	True	
DLBCL_RICOVER_522	Shipp	True	
DLBCL_RICOVER_712	Shipp	True	
DLBCL_LS1098	Shipp	True	
DLBCL_RICOVER_1237	Shipp	True	
DLBCL_C_D_1158_NULLPAIR	Shipp	True	
DLBCL_RICOVER_120	Shipp	True	
DLBCL_C_D_1129_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1269	Shipp	True	
DLBCL_C_D_1117_NULLPAIR	Shipp	True	
DLBCL_C_D_1149_NULLPAIR	Shipp	True	
DLBCL_RICOVER_945	Shipp	True	
DLBCL_RICOVER_744	Shipp	True	
DLBCL_MC_F300_TBF	Shipp	True	
DLBCL_RICOVER_288	Shipp	True	
DLBCL_RICOVER_787	Shipp	True	
DLBCL_C_D_1155_NULLPAIR	Shipp	True	
DLBCL_RICOVER_533	Shipp	True	
DLBCL_RICOVER_440	Shipp	True	
DLBCL_RICOVER_1061	Shipp	True	
DLBCL_RICOVER_1199	Shipp	True	
DLBCL_RICOVER_361	Shipp	True	
DLBCL_RICOVER_977	Shipp	True	
DLBCL_MC_F648_JKW	Shipp	True	
DLBCL_LS2258	Shipp	True	
DLBCL_RICOVER_463	Shipp	True	
DLBCL_LS1757	Shipp	True	
DLBCL_LS2154	Shipp	True	
DLBCL_LS3615	Shipp	True	
DLBCL_MC_F815_BAT	Shipp	True	
DLBCL_RICOVER_543	Shipp	True	
DLBCL_DFCI_DLBCL_GOE16	Shipp	True	
DLBCL_RICOVER_221	Shipp	True	
DLBCL_LS297	Shipp	True	
DLBCL_RICOVER_1032	Shipp	True	
DLBCL_LS2978	Shipp	True	
DLBCL_RICOVER_253	Shipp	True	
DLBCL_C_D_1123_NULLPAIR	Shipp	True	
DLBCL_RICOVER_269	Shipp	True	
DLBCL_RICOVER_1138	Shipp	True	
DLBCL_RICOVER_1293	Shipp	True	
DLBCL_LS3808	Shipp	True	
DLBCL_C_D_1131_NULLPAIR	Shipp	True	
DFCIDL010_DT	Shipp	True	
DLBCL_RICOVER_1299	Shipp	True	
DFCIDL008_DT	Shipp	True	
DLBCL_C_D_1114_NULLPAIR	Shipp	True	
