sample	cohort	included_in_clustering	exclusion_reason
DLBCL11596	Staudt	False	Missing in probe file
DLBCL11567	Staudt	False	Missing in probe file
DLBCL10929	Staudt	False	Missing in probe file
DLBCL10892	Staudt	False	low_purity
DLBCL11570	Staudt	False	low_purity
DLBCL10958	Staudt	False	low_purity
DLBCL11463	Staudt	False	low_purity
DLBCL10543	Staudt	False	low_purity
DLBCL10941	Staudt	False	low_purity
DLBCL10952	Staudt	False	low_purity
DLBCL10946	Staudt	False	low_purity
DLBCL10861	Staudt	False	low_purity
DLBCL10982	Staudt	False	low_purity
DLBCL10855	Staudt	False	low_purity
DLBCL10839	Staudt	False	low_purity
DLBCL10979	Staudt	False	low_purity
DLBCL11271	Staudt	False	low_purity
DLBCL10991	Staudt	False	low_purity
DLBCL10455	Staudt	False	low_purity
DLBCL11181	Staudt	False	low_purity
DLBCL10960	Staudt	False	low_purity
DLBCL10920	Staudt	False	low_purity
DLBCL10905	Staudt	False	low_purity
DLBCL10520	Staudt	False	low_purity
DLBCL11587	Staudt	False	low_purity
DLBCL10940	Staudt	False	low_purity
DLBCL10474	Staudt	False	low_purity
DLBCL10479	Staudt	False	low_purity
DLBCL10923	Staudt	False	low_purity
DLBCL11211	Staudt	False	missing_bam
DLBCL11309	Staudt	False	missing_bam
DLBCL11299	Staudt	False	missing_bam
DLBCL11201	Staudt	False	missing_bam
DLBCL11350	Staudt	False	missing_bam
DLBCL11682	Staudt	False	missing_bam
DLBCL11580	Staudt	False	missing_bam
DLBCL11351	Staudt	False	missing_bam
DLBCL11295	Staudt	False	missing_bam
DLBCL11330	Staudt	False	missing_bam
DLBCL11328	Staudt	False	missing_bam
DLBCL11213	Staudt	False	missing_bam
DLBCL11326	Staudt	False	missing_bam
DLBCL11312	Staudt	False	missing_bam
DLBCL11209	Staudt	False	missing_bam
DLBCL11282	Staudt	False	missing_bam
DLBCL11285	Staudt	False	missing_bam
DLBCL11293	Staudt	False	missing_bam
DLBCL11327	Staudt	False	missing_bam
DLBCL11280	Staudt	False	missing_bam
DLBCL11314	Staudt	False	missing_bam
DLBCL11298	Staudt	False	missing_bam
DLBCL11308	Staudt	False	missing_bam
DLBCL11517	Staudt	False	missing_bam
DLBCL11487	Staudt	False	missing_bam
DLBCL11315	Staudt	False	missing_bam
DLBCL11317	Staudt	False	missing_bam
DLBCL11352	Staudt	False	missing_bam
DLBCL11279	Staudt	False	missing_bam
DLBCL11288	Staudt	False	missing_bam
DLBCL11290	Staudt	False	missing_bam
DLBCL11284	Staudt	False	missing_bam
DLBCL11561	Staudt	False	missing_bam
DLBCL11296	Staudt	False	missing_bam
DLBCL11349	Staudt	False	missing_bam
DLBCL11316	Staudt	False	missing_bam
DLBCL11331	Staudt	False	missing_bam
DLBCL11311	Staudt	False	missing_bam
DLBCL11287	Staudt	False	missing_bam
DLBCL11362	Staudt	False	missing_bam
DLBCL11668	Staudt	False	missing_bam
DLBCL11185	Staudt	False	missing_bam
DLBCL11281	Staudt	False	missing_bam
DLBCL11292	Staudt	False	missing_bam
DLBCL11294	Staudt	False	missing_bam
DLBCL11291	Staudt	False	missing_bam
DLBCL11286	Staudt	False	missing_bam
DLBCL11332	Staudt	False	missing_bam
DLBCL11310	Staudt	False	missing_bam
DLBCL10496	Staudt	False	missing_bam
DLBCL11318	Staudt	False	missing_bam
DLBCL11186	Staudt	False	missing_bam
DLBCL11674	Staudt	False	missing_bam
DLBCL11297	Staudt	False	missing_bam
DLBCL11361	Staudt	False	missing_bam
DLBCL11197	Staudt	False	missing_bam
DLBCL11300	Staudt	False	missing_bam
DLBCL11313	Staudt	False	missing_bam
DLBCL11289	Staudt	False	missing_bam
DLBCL11184	Staudt	False	missing_bam
DLBCL11283	Staudt	False	missing_bam
DLBCL11319	Staudt	False	missing_bam
DLBCL11490	Staudt	False	relapse/other/unknown
DLBCL11493	Staudt	False	relapse/other/unknown
DLBCL11260	Staudt	False	relapse/other/unknown
DLBCL11492	Staudt	False	relapse/other/unknown
DLBCL11648	Staudt	False	relapse/other/unknown
DLBCL11262	Staudt	False	relapse/other/unknown
DLBCL11489	Staudt	False	relapse/other/unknown
DLBCL11497	Staudt	False	relapse/other/unknown
DLBCL11256	Staudt	False	relapse/other/unknown
DLBCL11261	Staudt	False	relapse/other/unknown
DLBCL11499	Staudt	False	relapse/other/unknown
DLBCL11257	Staudt	False	relapse/other/unknown
DLBCL11485	Staudt	False	relapse/other/unknown
DLBCL10872	Staudt	False	relapse/other/unknown
DLBCL11475	Staudt	False	relapse/other/unknown
DLBCL11646	Staudt	False	relapse/other/unknown
DLBCL11649	Staudt	False	relapse/other/unknown
DLBCL10116	Staudt	False	relapse/other/unknown
DLBCL11494	Staudt	False	relapse/other/unknown
DLBCL11259	Staudt	False	relapse/other/unknown
DLBCL11258	Staudt	False	relapse/other/unknown
DLBCL11255	Staudt	False	relapse/other/unknown
DLBC_GS_A9TX_TP_NB	TCGA	False	low_purity
DLBC_GR_A4D5_TP_NB	TCGA	False	low_purity
DLBC_GR_A4D4_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6906_TP_NBM	TCGA	False	missing_SVs
DLBC_RQ_A6JB_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A6HO_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6324_TP_NB	TCGA	False	missing_SVs
DLBC_GR_A4D6_TP_NB	TCGA	False	missing_SVs
DLBC_FM_8000_TP_NB	TCGA	False	missing_SVs
DLBC_GR_A4D9_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6325_TP_NB	TCGA	False	missing_SVs
DLBC_GS_A9TW_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A82F_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A86F_TP_NB	TCGA	False	missing_SVs
DLBC_GS_A9TV_TP_NB	TCGA	False	missing_SVs
DLBC_FA_8693_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6326_TP_NB	TCGA	False	missing_SVs
DLBC_RQ_AAAT_TP_NB	TCGA	False	missing_SVs
DLBC_RQ_A68N_TP_NB	TCGA	False	missing_SVs
DLBC_GS_A9TZ_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A7Q1_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A4BB_TP_NB	TCGA	False	missing_SVs
DLBC_VB_A8QN_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6909_TP_NBM	TCGA	False	missing_SVs
DLBC_FA_A7DS_TP_NB	TCGA	False	missing_SVs
DLBC_G8_6914_TP_NBM	TCGA	False	missing_SVs
DLBC_G8_6907_TP_NBM	TCGA	False	missing_SVs
DLBC_FA_A6HN_TP_NB	TCGA	False	missing_SVs
DLBC_GS_A9TQ_TP_NB	TCGA	False	missing_SVs
DLBC_FA_A4XK_TP_NB	TCGA	False	missing_SVs
DLBC_FF_8041_TP_NB	TCGA	False	missing_SVs
