entity:sample_id	blat_passed_maf	hg38_WXS_bam_path	submitter_id
0594ce17-eecf-4c73-ad70-f198ec2d9401			DLBCL11201
060042fc-bd78-4f3c-8c6d-6e7256c2834c	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10881.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/2c59dea2-bbeb-4f2f-a2c5-6257c10fbd48/gdc_file_downloader_workflow/463bc358-550c-4692-8dea-6eb43848e767/call-gdc_file_downloader/5787c75a-1ccc-492e-87af-d9d0dd1cbd2a/1c383be1-153a-424d-a645-936cc5c4167c_gdc_realn.bam	DLBCL10881
0639a419-cee8-4197-a89c-862bdaad3755	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11490.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/d0fb8aa5-bcc5-48dd-b481-d38f4238bf9a/gdc_file_downloader_workflow/603dc058-5fd1-4930-96ea-f0888c2263d9/call-gdc_file_downloader/attempt-3/b6a33fb8-c2a8-4d0d-9536-97837bddd4d6/3c478f86-d932-4c17-bf98-464248b30d41_gdc_realn.bam	DLBCL11490
067c91bc-e3fe-40f2-89e7-25569b3c9820	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11560.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c064886a-955e-4960-900d-972048dae073/gdc_file_downloader_workflow/cce6faa5-2736-45ca-8d59-12ad11094aec/call-gdc_file_downloader/c20234b9-5902-4d27-9237-2dfe70c5d19e/d63463ba-43f4-4f84-a93f-5983c97b0d88_gdc_realn.bam	DLBCL11560
06c2be15-3746-445b-9b5e-8d43bf36896c	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11493.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/dd98d63e-18a7-43cb-a4e1-4240b608b72d/gdc_file_downloader_workflow/8ae0f2be-f5b4-473f-b0c0-f10ed7d81498/call-gdc_file_downloader/e2280a6d-d00b-448a-810e-35aa800a3881/d2bc358e-98ee-405c-877b-298afe0b5066_gdc_realn.bam	DLBCL11493
0744e697-320c-415e-a9a5-f57f3d92c1f7	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11528.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/9eb50fed-7ac3-410c-afbc-9ec8c11b27cc/gdc_file_downloader_workflow/bbc4f348-e76b-40d5-98d6-1b8a42131c5b/call-gdc_file_downloader/198faa74-d8fe-4986-9768-b8fe092932ee/e4eb3d7b-e708-4f65-8791-a1b069e353fa_gdc_realn.bam	DLBCL11528
0758e1c0-e88c-4a8e-9ee9-10b83f7ac61f	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11260.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c064886a-955e-4960-900d-972048dae073/gdc_file_downloader_workflow/1c0cb6ba-3470-42e1-a1fc-3aee1805e592/call-gdc_file_downloader/fd49ddcc-50ab-4270-95de-75f7c8174c6a/bbe811d7-4872-4d04-bfcd-870dc9adc139_gdc_realn.bam	DLBCL11260
078f7602-8fbf-4978-a8bf-1121b7840841			DLBCL11350
084275fd-8ce2-443f-9f23-cefe02b91a04	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11482.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/db35d095-bda8-4e90-8f5c-8ecf7d6423c6/gdc_file_downloader_workflow/893f2dd8-8db4-4731-9f20-e4c79ea8b32a/call-gdc_file_downloader/1149240f-88a4-4b21-b6e7-83555a794a1d/3ab8c329-149f-495c-89a2-59b255b1a37d_gdc_realn.bam	DLBCL11482
0853c53f-d7fa-49bb-9c48-192bf2c6accb	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10950.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/09a17895-f412-4755-8c27-fb20ad826ce7/gdc_file_downloader_workflow/9315a7af-5543-4dd1-bbfd-2804c084f484/call-gdc_file_downloader/6cb7824f-0090-42f7-a0cb-e44689452f7f/389a9542-4d5f-404a-9651-b710bb4995e2_gdc_realn.bam	DLBCL10950
