epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
TrainingFold1	0.13515781635869312	0.11263563430370534	0.08346176932918835	0.0619886665074495	0.04897893237196692	0.0400090827409935	0.033093188166380204	0.026418234500183498	0.0241174178944048	0.022388004707294774	0.02125330178506835				
TrainingFold2	0.14133602967125136	0.12326465445678843	0.09600502303069572	0.07423051897911588	0.05687736417432072	0.04592151512075767	0.03720723236523832	0.030518559380466274	0.025618205682834894	0.024072770916741204	0.02020889275251455	0.018899159982696003	0.01720246443266934	0.017538339417465035	0.015319225735602272
TrainingFold3	0.1366125419270247	0.12031751653518188	0.09435624159364538	0.07098271281839433	0.05783369804796001	0.0497088674900376	0.04413766960920343	0.03916988218234937	0.033870659114671235	0.03246181427305352	0.027603580302027034	0.026472866548548073	0.02418153977890721	0.023746483007165475	0.020750685553469917
TrainingFold4	0.13605544295863095	0.11944265675450129	0.09148645969931365	0.06156509220198878	0.044622676630764184	0.03561231571418215	0.03049564441690293	0.028345998568521588	0.024381532536000183	0.02400398029648285	0.021934896918719048				
TrainingFold5	0.1371630744005625	0.12054022959521993	0.0907575694688204	0.07273620212760362	0.057857019383101026	0.050133022740593905	0.04511718210573013	0.03933146277386474	0.03512116215558937	0.03133253015357078	0.027381869661213507	0.025083955270736015			
ValidationFold1	0.12073569808022253	0.09543373730100159	0.0714662621862122	0.055394671840726266	0.05352142340520264	0.04233498792122451	0.03543824856543714	0.03088904230285802	0.027519190039518953	0.029617678124590645	0.02598181585043286				
ValidationFold2	0.1335545463620552	0.11149503387111638	0.08797036251053214	0.07013219287702148	0.05499268003040925	0.0474855824057678	0.04700779914232304	0.04304905568174685	0.04218007107244505	0.0398943035553592	0.03677746980143378	0.03807316160236951	0.03502102955566703	0.03281550843842394	0.03175691061837175
ValidationFold3	0.13289813471159764	0.10934494123128909	0.07813861611897924	0.05801317203856472	0.04789305030551207	0.04874247579625392	0.042345892527789274	0.03882380652898324	0.029668744093214627	0.028554487346679838	0.026250975141010713	0.02401910473210072	0.024355860112596668	0.022703406368236756	0.02059517232269822
ValidationFold4	0.12811115999439998	0.10601996291162712	0.0711255457884233	0.04643679149947794	0.03380219703207591	0.030206938263810507	0.02595568555365649	0.022510908722844242	0.021228886060790892	0.02476867247501754	0.019929687208787072				
ValidationFold5	0.12292268619473491	0.10022154485341161	0.08154684582924736	0.06633675379894807	0.05960237820441502	0.05024633515547196	0.04476504692606146	0.038426151998594706	0.035640839731058804	0.03479369983532316	0.030900072561572806	0.02762914781357852			
