epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
TrainingFold1	0.1391396373552887	0.12058265411537396	0.09348833121435896	0.07694486765133549	0.06631470552712602	0.0548788809749621	0.046767084719772666	0.039795556421562836	0.032498899959298874	0.028301281904079847	0.024612691603201235	0.02267295912172742	0.02230312360929576	0.020253974405134875	0.018771604323616416	0.01806401950705873	0.018790694494595774	0.017636224213562594	0.017455768098318926	0.016838670433820854	0.01701226389479715	0.014907303452478472	0.015589197411204686	0.014251590487689083			
TrainingFold2	0.13826930438908738	0.11975328924223475	0.09888279188322519	0.07631117046719464	0.0584095664129323	0.04906172449233812	0.043760517316155455	0.04024499314871632	0.03508143208919365	0.03153946740987153	0.027510552971378808	0.024383462799881673	0.023964312495578902	0.021084165700361535	0.020120305366454018	0.01880171224505403	0.017570868675877906	0.01720747154943644	0.01705444472090655	0.01554388277703877	0.015797917747332163	0.01470402519474923	0.01457344200049992				
TrainingFold3	0.13074454180896283	0.11119024529206482	0.08419777934481813	0.05769456227902662	0.04102196188654158	0.03155835488154976	0.02665928584915078	0.023818277755146316	0.021447596959214107	0.019592478485058316	0.019314743799623103	0.01781128436060416	0.01756546698918762														
TrainingFold4	0.13888764326923153	0.1245183606469442	0.1074610385735458	0.08644076119770472	0.06627712117681225	0.050607250751019406	0.041516630519118136	0.037072450998545434	0.03157861779318265	0.029606700857838324	0.02792594733716901	0.025395261699253536	0.024905161776890356	0.023409175655454535	0.022003538091930976	0.02063419036755957	0.020148450051664792	0.02063546004669692	0.01705672095879245	0.018380115721687566	0.01755871542651497	0.018153753342350327	0.015990918856852634	0.015574331862432974	0.015370814281696867	0.014872348576301974	0.016062025605055676
TrainingFold5	0.13380824187054083	0.10988227003232925	0.08551900833213019	0.06978405402695162	0.05534657946265222	0.043387093002870004	0.03547826917906296	0.02933770440291293	0.025535288269471428	0.023510923578239407	0.022072522915089588	0.02015397828181943	0.020276850500637645	0.018971596298995058	0.017752032122160314	0.017279217979988337	0.01678671916129524										
ValidationFold1	0.1285314439529819	0.10332624000563685	0.07961612419707567	0.06997701465817434	0.0609849781030789	0.054984796480442	0.04661400660032606	0.040563397778896615	0.03466330121903281	0.034127352734295915	0.03332414270906676	0.03512538080654589	0.03356700997937878	0.02813216934789255	0.026332944455914133	0.029117624074777786	0.028420936337559915	0.030134744549286552	0.024814007501325768	0.02559258754782994	0.02528717080765221	0.02450047428568983	0.022170126391626712	0.021717172143326025			
ValidationFold2	0.1293473895639181	0.11173961263349545	0.08805730376791741	0.06880239247610527	0.05910685085109435	0.055500136329750864	0.05224308290676812	0.04386878625518875	0.04124136846647681	0.033519013926706975	0.031248903914404633	0.032180992932678364	0.02844329917570576	0.02513669125099633	0.02829119648959022	0.02394689823579808	0.02465115230318458	0.028560178643082117	0.03307558056310102	0.02442015094155587	0.023600804981859774	0.024710172944781204	0.022538689261442153				
ValidationFold3	0.11831779156013258	0.09973663344447102	0.07428634853567928	0.056992914872742925	0.05012908540915565	0.0403874882166357	0.03947110164153855	0.03834573655538926	0.03475141558582046	0.037249994211119235	0.03428548029218551	0.03370603729360612	0.031125579851764736														
ValidationFold4	0.1280610026691907	0.10970765225855368	0.08945023433105755	0.0656520275182889	0.049532784190627614	0.03798495281288134	0.033620171527478045	0.030909560743436617	0.028580712108773047	0.025281106687803652	0.02320071427883314	0.025676143613444374	0.026447013786569835	0.022790136708343716	0.020379378650821827	0.02347999737243559	0.027089816288935253	0.021917902771747322	0.019240882687621967	0.019509804008391387	0.021491185848000378	0.020151691980052937	0.01888686091790857	0.019124409966285123	0.020204644024813336	0.020300057800471092	0.01813722372987416
ValidationFold5	0.11790449993817934	0.09171115485618689	0.07402992043976805	0.05958693167693647	0.046652211988527724	0.04026778536198045	0.03317015873212118	0.02672201277216248	0.026159175029014086	0.025018696604937368	0.024344319658861684	0.024269272351018247	0.02461855489874714	0.028445015081160818	0.023211531118412104	0.023200238152550616	0.02279990936712498										
