ccf_threshold	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	mut_count_dropped	mut_count_kept	del_count_dropped	del_count_kept	amp_count_dropped	amp_count_kept	sv_count_dropped	sv_count_kept
0.0	0.9119170984455959	0.9779411764705882	0.8830901182624851	0.9060021177310398	0.8237705819744061	0.18084893020764384	0.8870988618482311	0.9282744671878391	0.8681627360121144	0.8980175005128558	0.8763815593984309	0.9287841897315882	0	1477	0	908	0	1141	0	101
0.05	0.9015544041450777	0.9705882352941176	0.8830683696698283	0.8977955379380922	0.8227805983356491	0.1798698503740923	0.8758320809286091	0.9190290489993652	0.8682911861947042	0.8978455531449523	0.8674982963665772	0.9212477251897262	21	1456	16	892	5	1136	0	101
0.1	0.8911917098445595	0.9705882352941176	0.8941445861626726	0.8917807237962178	0.8197307405669269	0.1810787844167816	0.8646345594890454	0.909714292884896	0.8809544536242766	0.9073347187010685	0.8615432180957121	0.9149583265372158	23	1454	56	852	19	1122	0	101
0.15	0.8860103626943006	0.9779411764705882	0.8852104715085316	0.8858502688308061	0.8182051601703783	0.18226415027979007	0.8590590900784268	0.9050336005526202	0.8704318061429313	0.899989136874132	0.8545027717007184	0.910420870350023	27	1450	77	831	50	1091	0	101
0.2	0.8808290155440415	0.9632352941176471	0.8803425454932542	0.8807316785275412	0.8206009130435034	0.18040508412161071	0.853497952496314	0.9003385636564514	0.8663575031587631	0.8943275878277452	0.849421871606339	0.9052134296488898	31	1446	94	814	71	1070	0	101
0.25	0.8652849740932642	0.9632352941176471	0.8606414807217587	0.864352271189252	0.8226228354185059	0.17871176312751288	0.8368931043264284	0.8861748262578946	0.8419990589230596	0.8792839025204578	0.8296917934541613	0.8929450818813065	36	1441	112	796	106	1035	2	99
0.3	0.8704663212435233	0.9632352941176471	0.8675239265487016	0.8698762466242789	0.824828284542494	0.17744444136270515	0.8424156288609255	0.8909085060615486	0.8476983119470496	0.8873495411503536	0.8348283905747043	0.8989464284688845	53	1424	134	774	154	987	3	98
0.35	0.8601036269430051	0.9632352941176471	0.866134724407395	0.8613031177157323	0.8258257355997748	0.17808195712394978	0.831382215655157	0.8814295027626902	0.8463077185679589	0.8859617302468311	0.8257465135202228	0.8909414601009178	64	1413	144	764	171	970	5	96
0.4	0.8549222797927462	0.9632352941176471	0.8597460375070566	0.8558826961431458	0.8249952994079028	0.17931984518915947	0.8258824370252998	0.8766730622164042	0.8396142118932425	0.8798778631208707	0.8198761413154831	0.8860607502964392	77	1400	151	757	191	950	7	94
0.45	0.844559585492228	0.9632352941176471	0.8555925865341006	0.8467433632753103	0.8244350483966	0.18316533103286464	0.8149143271660674	0.8671287154383995	0.8369327931883166	0.8742523798798847	0.8110679546737717	0.8765224841225937	90	1387	163	745	206	935	12	89
0.5	0.8497409326424871	0.9632352941176471	0.8499695542935893	0.8497866471331699	0.8275184772861327	0.1781585251136329	0.8203932877706105	0.8719059859942687	0.8274381452651789	0.8725009633219998	0.8120565115770342	0.8820160380505248	113	1364	176	732	232	909	22	79
0.55	0.8341968911917098	0.9485294117647058	0.8472976784090371	0.836784538121479	0.8219587830031675	0.1856377945046055	0.8039853825804975	0.8575451827452619	0.8262022493976126	0.8683931074204617	0.7992912233436601	0.868744542414151	132	1345	192	716	274	867	28	73
0.6	0.8082901554404145	0.9338235294117647	0.8275733948398791	0.8120745759051218	0.8149605297776856	0.19119981442814074	0.7768164490704769	0.8334328544204438	0.7998548267470396	0.8552919629327187	0.7695530057748542	0.8499209182329936	160	1317	227	681	355	786	32	69
0.65	0.8082901554404145	0.9117647058823529	0.8156888309716374	0.8097591335261553	0.8150705811949731	0.18894742361813763	0.7768164490704769	0.8334328544204438	0.7885221481032358	0.8428555138400389	0.7674516093232009	0.8473889412637258	183	1294	233	675	384	757	41	60
0.7	0.7875647668393783	0.9044117647058824	0.7967770423701311	0.7893901405862694	0.8147188691717224	0.18655184828167107	0.755221321638001	0.8140029205765633	0.7701352643303425	0.8234188204099198	0.7467650683370102	0.8275276742630695	234	1243	245	663	420	721	45	56
0.75	0.7616580310880829	0.8970588235294118	0.7924089402382153	0.7676157839695584	0.8132907479932193	0.18313130943706418	0.728380757690558	0.7895621128805054	0.7670267649781058	0.8177911154983247	0.7252351174294285	0.8056905184801914	281	1196	253	655	458	683	54	47
0.8	0.7409326424870466	0.875	0.7706616882470512	0.7466935325210406	0.805073488427944	0.18922539579009742	0.7070188117021368	0.7698989350021594	0.7472359674762088	0.7940874090178935	0.7048837845342917	0.784379500960742	331	1146	258	650	489	652	57	44
0.85	0.7409326424870466	0.8676470588235294	0.7930088525689818	0.7507934344553004	0.7918910046199024	0.19363910475988955	0.7070188117021368	0.7698989350021594	0.7702184318938934	0.8157992732440702	0.7094654135858943	0.7879029266581475	405	1072	279	629	540	601	58	43
0.9	0.7305699481865285	0.875	0.7796422841092164	0.7398839202525542	0.7856932408955235	0.20049618473315184	0.696371912819603	0.7600332650240686	0.7522827013472908	0.8070018668711421	0.6957870566203213	0.7801858214945432	461	1016	299	609	575	566	62	39
0.95	0.7305699481865285	0.8455882352941176	0.7730688674734078	0.7386917605712395	0.7928721557533334	0.19564002680128656	0.696371912819603	0.7600332650240686	0.7466869309218994	0.7994508040249161	0.6950937065667872	0.7784583076035076	583	894	352	556	662	479	65	36
1.0	0.7150259067357513	0.8308823529411765	0.798619563366972	0.7303147074840749	0.753072781429225	0.20937200207876328	0.680441828469557	0.7451944889056319	0.7660485049090405	0.8311906218249036	0.683264987787862	0.773965893012773	656	821	475	433	794	347	69	32
