	accuracy	lowerAcc	upperAcc	kappa	lowerKappa	upperKappa	performance	lowerPerformance	upperPerformance
f1_cdx	0.6881258941344778	0.6700860893109052	0.7050918986752572	0.7529742218075178	0.7354545332759793	0.7704939103390563	0.700186310002155	0.675186319308696	0.724367604673243
msk	0.7024320457796852	0.6845797371212208	0.7191288948327659	0.7821610385587237	0.7657997817026315	0.7985222954148158	0.717050444522451	0.6930165388756925	0.7401725367386408
lacy	0.7439198855507868	0.726728486384149	0.7597190103637674	0.8355998580160214	0.8219868720416362	0.8492128439904066	0.7606103468981505	0.7387206420090509	0.7813359778933066
f1_heme	0.7725321888412017	0.7559084670698288	0.7876003124442262	0.8380536019387462	0.8241369665596272	0.8519702373178653	0.7848038277142382	0.7630769846152263	0.80528290275805
dlbclass	0.9090909090909092	0.8953120213980179	0.919903939784494	0.8981691958830724	0.891147367642217	0.9051910241239278	0.906885368763892	0.891108449402342	0.920052320312295
