"Supplementary Table 8b: Consensus clustering - Cophenetic Coeeficient for k=4 to k=10 clusters, Membership of each sample in k=5 and Silhouette Values "										
k	Cophenetic Coeeficient			individual_id	Cluster			SampleName	Cluster	silhouetteValue
				DLBCL-LS146	2			DLBCL-LS762	3	0.112040495
				DLBCL-LS148	5			DLBCL-LS843	3	0.271862972
				DLBCL-LS1546	5			DLBCL-MAYO_DLBCL_234	3	-0.059540298
				DLBCL-LS155	3			DLBCL-MC_F064AB	3	0.035459085
				DLBCL-LS1583	5			DLBCL-MC_F344_CJS	3	0.134886028
				DLBCL-LS1620	3			DLBCL-MC_F349_BJJ	3	0.014508551
				DLBCL-LS1668	2			DLBCL-MC_F358_WDS	3	-0.020736483
				DLBCL-LS1683	5			DLBCL-MC_F362_MJB1	3	-0.049805388
				DLBCL-LS1757	1			DLBCL-MC_F606_DMJ	3	-0.019712699
				DLBCL-LS1899	4			DLBCL-MC_F815_BAT	3	0.076636971
				DLBCL-LS1921	2			DLBCL-MC_F927_JHS	3	0.111699027
				DLBCL-LS2089	2			DLBCL-RICOVER_1013	3	0.161425884
				DLBCL-LS2154	1			DLBCL-RICOVER_1046	3	-0.133472717
				DLBCL-LS2208	5			DLBCL-RICOVER_111	3	0.164425318
				DLBCL-LS2245	3			DLBCL-RICOVER_1263	3	0.135515522
				DLBCL-LS2258	2			DLBCL-RICOVER_1269	3	-0.090959381
				DLBCL-LS2264	4			DLBCL-RICOVER_1283	3	0.083375322
				DLBCL-LS2305	3			DLBCL-RICOVER_197	3	0.044373955
				DLBCL-LS2325	3			DLBCL-RICOVER_208	3	-0.017401511
				DLBCL-LS2328	2			DLBCL-RICOVER_216	3	0.016704774
				DLBCL-LS2357	4			DLBCL-RICOVER_267	3	0.155147304
				DLBCL-LS2367	1			DLBCL-RICOVER_269	3	0.119829444
				DLBCL-LS2590	4			DLBCL-RICOVER_320	3	0.215390253
				DLBCL-LS2595	1			DLBCL-RICOVER_384	3	0.099807162
				DLBCL-LS2596	5			DLBCL-RICOVER_440	3	0.031328929
				DLBCL-LS2599	3			DLBCL-RICOVER_463	3	0.135118641
				DLBCL-LS2848	0			DLBCL-RICOVER_469	3	0.023909446
				DLBCL-LS297	3			DLBCL-RICOVER_577	3	-0.097170138
				DLBCL-LS2978	1			DLBCL-RICOVER_744	3	0.084093273
				DLBCL-LS3085	2			DLBCL-RICOVER_978	3	-0.130748856
				DLBCL-LS3200	5			DLBCL_P03	2	-0.083073043
				DLBCL-LS3204	2			DLBCL-c_D_1108	2	0.04739816
				DLBCL-LS3219	0			DLBCL-c_D_1111	2	0.030842838
				DLBCL-LS3245	2			DLBCL-c_D_1117	2	0.102477232
				DLBCL-LS3271	4			DLBCL-c_D_1118	2	0.154884543
				DLBCL-LS3309	2			DLBCL-c_D_1119	2	0.000773538
				DLBCL-LS3387	4			DLBCL-c_D_1126	2	0.019282039
				DLBCL-LS3499	4			DLBCL-c_D_1131	2	0.189633973
				DLBCL-LS3615	3			DLBCL-c_D_1135	2	-0.039713382
				DLBCL-LS3749	2			DLBCL-c_D_1136	2	0.013106188
				DLBCL-LS378	1			DLBCL-c_D_1149	2	0.084298987
				DLBCL-LS3808	4			DLBCL-c_D_1152	2	-0.025915451
				DLBCL-LS3809	1			DLBCL-c_D_pair13	2	0.051372118
				DLBCL-LS3820	3			DLBCL-c_D_pair5	2	0.163766078
				DLBCL-LS3866	1			DLBCL-c_D_pair9	2	0.155903264
				DLBCL-LS4054	2			DLBCL-DFCI_DLBCL_Goe05	2	0.166028221
				DLBCL-LS4085	5			DLBCL-DFCI_DLBCL_Goe07	2	0.202328366
				DLBCL-LS4222	0			DLBCL-LS1065	2	0.169433302
				DLBCL-LS4323	1			DLBCL-LS146	2	-0.006168869
				DLBCL-LS4394	1			DLBCL-LS1668	2	0.230218556
				DLBCL-LS4592	3			DLBCL-LS1921	2	-0.005693099
