	C1	C2	C3	C4	C5	cluster	confidence
DLBCL10877	0.9880056591729901	0.0008405500451035571	0.0006683884858990657	0.010371759575387171	0.0001136427206201116	1	0.9880056591729901
DLBCL11443	0.9879175921338992	0.0002051623451316086	0.0005934503011344121	0.011007512596743934	0.0002762826230906723	1	0.9879175921338992
DLBCL11462	0.9877485071854691	0.00025970507714013515	0.001074884983296605	0.009261404404292219	0.0016554983498018156	1	0.9877485071854691
DLBCL_RICOVER_865	0.9877445217315672	0.00032045701226525664	0.0004598469913302554	0.010732382153346012	0.0007427921114912243	1	0.9877445217315672
DLBCL10928	0.9875817027486864	0.000505766787169266	0.0004920339986853742	0.011316402293603258	0.00010409417185571436	1	0.9875817027486864
DLBCL10993	0.9874772806920422	0.0002077199485318152	0.00047791414747684754	0.011555046975762108	0.00028203823618692584	1	0.9874772806920422
DLBCL11511	0.9874620828384502	0.00023171648859866245	0.0005028127891843817	0.011644203534796433	0.00015918434897056096	1	0.9874620828384502
DLBCL_RICOVER_473	0.9874590315733134	0.0002078280764526068	0.0004415003805989673	0.011647071860918463	0.0002445681087166312	1	0.9874590315733134
DLBCL_MC_F648_JKW	0.9874578838563964	0.0010465590844517913	0.0008142022627821699	0.010519556262791177	0.00016179853357836476	1	0.9874578838563964
DLBCL11506	0.9873550852076375	0.00021373797036024184	0.0004417364828235559	0.011730059883441056	0.00025938045573775236	1	0.9873550852076375
DLBCL10458	0.9872873219114183	0.00020600425848003016	0.00043381889517649764	0.011810421281392812	0.0002624336535322598	1	0.9872873219114183
DLBCL_LS378	0.9872815674382857	0.0003466955441275239	0.0005358137076278668	0.011726586870353356	0.00010933643960570195	1	0.9872815674382857
DLBCL_C_D_1123_NULLPAIR	0.9872622135848463	0.0003329280763933517	0.0005429363642369448	0.011767119736114806	9.480223840844822e-05	1	0.9872622135848463
DLBCL10844	0.9872285571343623	0.00023465667785548853	0.00033178468333985183	0.009906364680464875	0.0022986368239772837	1	0.9872285571343623
DLBCL11486	0.9872149533376569	0.00020221861049260102	0.0004300928920717158	0.011666811572058539	0.0004859235877202497	1	0.9872149533376569
DLBCL10546	0.9871417760650522	0.00021640974925802515	0.0004215747813550837	0.011935187432525512	0.0002850519718091199	1	0.9871417760650522
DLBCL_C_D_1129_NULLPAIR	0.9871235326940095	0.0002452750014352028	0.0006296553472971627	0.01161648856703863	0.00038504839021958546	1	0.9871235326940095
DLBCL10525	0.9871202964371414	0.000227366119647877	0.00046348909632659203	0.011686826216502582	0.0005020221303814457	1	0.9871202964371414
DLBCL11205	0.9871174554343204	0.0002308758089379249	0.00044407986119236135	0.012021384785824415	0.00018620410972502855	1	0.9871174554343204
DLBCL10996	0.9869800728160979	0.00020703253316371395	0.0004459040031010583	0.012103247050477996	0.00026374359715918206	1	0.9869800728160979
DLBCL10869	0.9869456548317624	0.00041716565652682866	0.0006506421047205211	0.011873388321632814	0.00011314908535743267	1	0.9869456548317624
DLBCL10935	0.9869360295378458	0.00020504364173006521	0.00041822746550122526	0.012196135916679729	0.0002445634382432533	1	0.9869360295378458
DLBCL11457	0.986936029537845	0.00020504364173013013	0.0004182274655013173	0.012196135916680171	0.00024456343824332406	1	0.986936029537845
DLBCL10462	0.9869360295376258	0.00020504364175130316	0.0004182274655313386	0.012196135916825043	0.0002445634382664119	1	0.9869360295376258
DLBCL11461	0.9869286221579857	0.00020575968377750347	0.0004192424736916102	0.012201031507611003	0.00024534417693406504	1	0.9869286221579857
DLBCL11477	0.986903241421685	0.00021906012818606276	0.0004405465000648212	0.012283087598695121	0.00015406435136901996	1	0.986903241421685
DLBCL11520	0.9868971410796453	0.0002065814689549706	0.00026182928778313287	0.011364523310244134	0.0012699248533725414	1	0.9868971410796453
DLBCL11452	0.9868897797192784	0.0002095274497822394	0.00042457457788536916	0.012226667784698931	0.0002494504683551681	1	0.9868897797192784
DLBCL_C_D_1155_NULLPAIR	0.986887738883065	0.00022062875786042126	0.00044275368783203156	0.012293494678152262	0.00015538399309020302	1	0.986887738883065
