	coverage_mean	coverage_median
DLBCL10892	89.5	84.0
DLBCL11539	154.81877022653725	138.0
DLBCL10879	139.0326530612245	121.0
DLBCL11473	90.65198237885464	80.0
DLBCL10514	158.34545454545454	140.5
DLBCL11570	176.2688679245283	155.5
DLBCL10881	119.44888888888887	103.0
DLBCL11560	164.1740740740741	146.0
DLBCL11493	111.33225806451613	98.5
DLBCL11528	155.231884057971	139.0
DLBCL11482	89.48322147651007	78.0
DLBCL10950	132.6228813559322	118.0
DLBCL10546	126.24	112.0
DLBCL10459	174.72413793103448	157.0
DLBCL10916	112.54132231404958	98.0
DLBCL10492	139.02263083451206	125.0
DLBCL11657	135.98830409356725	127.5
DLBCL10999	120.52029520295204	105.0
DLBCL11586	159.68527918781726	143.5
DLBCL11496	95.646288209607	91.0
DLBCL11478	76.58189655172414	69.0
DLBCL10958	148.7018348623853	138.5
DLBCL10985	113.09243697478992	102.0
DLBCL11463	98.32898172323759	89.0
DLBCL10977	103.10169491525423	96.0
DLBCL11591	89.68421052631581	78.0
DLBCL11512	126.16480186480186	114.0
DLBCL11534	129.7030303030303	125.0
DLBCL11506	101.75274725274727	92.0
DLBCL10966	112.27478753541077	106.0
DLBCL10951	118.3370786516854	109.5
DLBCL10484	150.6818181818182	143.0
DLBCL11671	114.8248175182482	106.0
DLBCL10883	139.07758620689654	128.0
DLBCL11531	115.37083333333334	95.0
DLBCL11430	132.76923076923077	126.0
DLBCL10460	140.15642458100558	124.0
DLBCL11513	113.04417670682732	98.0
DLBCL10544	150.41116751269038	133.5
DLBCL10521	120.23113207547169	107.0
DLBCL11681	160.06666666666666	144.0
DLBCL11503	166.97832817337462	148.0
DLBCL10914	124.42168674698796	106.0
DLBCL11440	129.74193548387098	108.0
DLBCL10480	111.93779904306221	100.5
DLBCL10862	101.01058201058201	92.0
DLBCL10885	134.4561403508772	126.0
DLBCL10899	127.2226148409894	116.0
DLBCL10548	166.70250896057345	157.0
DLBCL10931	133.70032573289902	119.0
DLBCL10523	127.65420560747664	115.0
DLBCL11454	142.63658536585365	124.5
DLBCL10957	120.04375	103.5
DLBCL10553	147.90731707317073	129.0
DLBCL10963	132.7212389380531	122.0
DLBCL11434	161.90747330960855	155.0
DLBCL10880	128.23280423280423	111.0
DLBCL10458	100.92361111111113	92.0
DLBCL11676	125.09883720930232	113.0
DLBCL10909	139.98130841121494	122.0
DLBCL10476	155.2824427480916	143.5
DLBCL11471	147.6692913385827	135.0
DLBCL10457	109.04661016949152	93.5
DLBCL11194	84.28525641025641	74.0
DLBCL10493	164.42796610169492	159.0
DLBCL10959	176.421052631579	154.0
DLBCL10990	95.6576923076923	82.5
DLBCL10495	101.10434782608696	85.5
DLBCL11455	136.1399253731343	116.5
DLBCL10473	140.7157894736842	131.0
DLBCL11655	151.2966601178782	142.0
DLBCL11666	137.43548387096774	122.0
DLBCL11432	105.80524344569288	93.0
DLBCL10469	175.88628762541802	164.0
DLBCL10974	131.52396166134184	117.0
DLBCL10871	113.95953757225432	103.0
DLBCL11658	142.06976744186048	134.0
DLBCL10955	228.94871794871798	224.0
DLBCL10927	167.5718654434251	151.0
DLBCL11564	91.25991189427313	81.0
DLBCL10907	124.70833333333331	111.0
DLBCL10969	112.0796812749004	100.0
DLBCL10550	102.27325581395347	88.5
DLBCL10973	106.41908713692945	96.0
DLBCL11677	125.91201982651795	116.0
DLBCL10491	168.79142857142858	150.0
DLBCL10464	172.79921259842519	160.0
DLBCL10904	116.36434108527132	106.0
DLBCL10868	134.54038997214485	120.0
DLBCL10953	143.83333333333334	129.5
DLBCL11476	96.90082644628099	80.0
DLBCL10869	93.54545454545456	82.5
DLBCL10900	117.96803652968036	105.0
DLBCL11508	157.1556886227545	147.0
DLBCL11195	92.18092105263158	85.5
DLBCL11581	172.11722488038276	158.5
DLBCL10858	101.8041958041958	91.0
DLBCL11204	107.46875	91.0
DLBCL10906	116.02923976608187	104.0
DLBCL10452	133.2448979591837	118.0
DLBCL11584	126.49501661129568	122.0
DLBCL10490	123.98804780876496	116.0
DLBCL10864	145.13278008298755	116.0
DLBCL11453	158.615625	141.0
DLBCL11523	141.72486772486772	127.0
DLBCL10543	152.24371584699458	138.0
DLBCL10541	143.2704081632653	132.0
DLBCL10865	114.01769911504424	99.5
DLBCL11585	166.5628415300546	157.0
DLBCL11196	90.87719298245615	81.0
DLBCL10465	146.61538461538458	132.0
DLBCL10983	115.61926605504587	103.0
DLBCL11450	114.4375	100.0
DLBCL10941	115.90717299578058	104.0
DLBCL10852	134.78472222222223	117.5
DLBCL10968	117.6058823529412	101.0
DLBCL10952	121.3578947368421	118.0
DLBCL10483	122.41891891891892	110.5
DLBCL10948	145.421875	141.0
DLBCL11346	87.44848484848484	72.0
DLBCL10472	167.0761421319797	152.0
DLBCL11542	116.40707964601768	106.5
DLBCL10856	134.05263157894734	110.0
DLBCL11202	121.54444444444445	105.5
DLBCL11563	117.5179856115108	107.0
DLBCL10946	143.10256410256412	139.5
DLBCL11673	134.71649484536078	115.0
DLBCL11579	116.71641791044777	109.0
DLBCL10908	120.28104575163398	106.0
DLBCL10878	127.3979057591623	118.0
DLBCL10537	143.97685185185185	127.5
DLBCL11663	161.15328467153284	135.0
DLBCL10962	85.93939393939394	76.0
DLBCL10861	126.80645161290323	116.0
DLBCL11541	139.5845070422535	131.5
DLBCL11520	91.85611510791368	82.0
DLBCL11457	140.42028985507247	131.0
DLBCL10877	141.76991150442478	126.0
DLBCL11538	183.996632996633	166.0
DLBCL10565	125.02681992337163	119.0
DLBCL10876	105.02892561983472	89.0
DLBCL11446	173.94222222222226	156.0
DLBCL10842	123.45673076923076	106.0
DLBCL10481	175.03164556962025	167.0
DLBCL11447	143.34782608695653	131.5
DLBCL10910	107.29151291512916	98.0
DLBCL10834	127.12903225806451	112.5
DLBCL11439	127.10394736842105	112.0
DLBCL10982	126.4329268292683	113.0
DLBCL11527	159.0727848101266	149.0
DLBCL10855	112.56279069767443	95.0
DLBCL11667	147.92857142857142	132.5
DLBCL10538	155.29126213592232	136.0
DLBCL10498	123.09708737864078	109.0
DLBCL10515	110.7212543554007	98.0
DLBCL11662	139.26068376068378	121.0
DLBCL11433	82.07913669064749	75.0
DLBCL11459	156.50929368029742	139.0
DLBCL11574	135.64	121.0
DLBCL10451	183.9014778325123	160.0
DLBCL11669	130.09698996655518	118.0
DLBCL10860	115.50980392156865	98.5
DLBCL10934	178.01388888888889	161.0
DLBCL10497	153.66666666666666	139.0
DLBCL10532	105.55311355311356	97.0
DLBCL11504	174.04245283018867	161.5
DLBCL11498	152.49299719887958	122.0
DLBCL10932	130.4846416382253	118.0
DLBCL11003	137.0358306188925	117.0
DLBCL11526	164.3712574850299	144.0
DLBCL10893	198.65822784810126	177.0
DLBCL10989	106.55307262569832	93.0
DLBCL10781	133.59278350515464	115.0
DLBCL10847	115.96031746031746	98.5
DLBCL10839	121.19097222222223	103.0
DLBCL11445	166.71887550200805	154.0
DLBCL10844	122.92610837438423	107.0
DLBCL11436	115.39754098360656	105.0
DLBCL10915	134.55633802816902	117.0
DLBCL10542	120.05362776025237	112.0
DLBCL10525	96.03508771929823	91.0
DLBCL10890	128.89729729729729	108.0
DLBCL10535	129.72649572649573	115.0
DLBCL10456	141.90173410404626	128.0
DLBCL10870	132.44594594594594	115.0
DLBCL10896	128.88172043010752	122.0
DLBCL11182	99.4186746987952	89.0
DLBCL11533	172.42957746478874	148.5
DLBCL11203	94.53985507246377	83.5
DLBCL10519	111.98425196850393	98.0
DLBCL10517	121.18055555555556	113.0
DLBCL10889	173.18930041152262	168.0
DLBCL11519	125.93421052631581	118.0
DLBCL10461	135.7905027932961	112.5
DLBCL10965	128.70133333333334	116.0
DLBCL11575	123.78928571428571	112.0
DLBCL11672	125.33898305084746	111.0
DLBCL10533	119.66666666666669	106.0
DLBCL10463	136.46579804560258	123.0
DLBCL10919	101.51295336787564	92.5
DLBCL10884	119.580310880829	101.0
DLBCL10528	189.35714285714286	161.0
DLBCL11510	169.88108108108108	165.0
DLBCL10988	127.06593406593409	118.0
DLBCL10972	133.73650793650793	120.0
DLBCL10992	118.04210526315791	109.0
DLBCL10854	131.34272300469485	117.0
DLBCL11180	190.7696335078534	166.0
DLBCL10848	89.27312775330397	79.0
DLBCL10956	113.01307189542484	95.0
DLBCL10499	120.04214559386972	108.0
DLBCL11485	94.87878787878788	91.0
DLBCL10995	113.44615384615385	91.0
DLBCL11005	142.67256637168146	132.0
DLBCL10534	75.52380952380952	66.0
DLBCL10838	123.14070351758792	110.0
DLBCL10836	112.68036529680367	106.0
DLBCL10488	108.38864628820959	94.0
DLBCL11532	130.64824120603015	114.0
DLBCL11562	139.70466321243524	132.0
DLBCL11566	157.95299145299143	141.5
DLBCL11675	123.9375	109.0
DLBCL10918	112.61570247933884	103.0
DLBCL10978	117.88389513108616	103.0
DLBCL11684	158.78969957081546	145.0
DLBCL11483	132.32575757575756	119.0
DLBCL11535	136.54708520179372	127.0
DLBCL10527	193.17391304347825	180.0
DLBCL10901	111.57195571955721	99.0
DLBCL10863	127.32888888888887	114.0
DLBCL10979	128.13846153846154	116.0
DLBCL11670	128.4878048780488	121.5
DLBCL11479	126.39077340569878	113.0
DLBCL11468	133.09855072463768	118.0
DLBCL10554	92.94578313253011	87.0
DLBCL11472	118.30313588850174	108.0
DLBCL10505	172.6082474226804	157.0
DLBCL10895	130.09230769230768	113.0
DLBCL11652	162.0740740740741	143.0
DLBCL11565	125.30158730158729	114.0
DLBCL11456	145.50370370370368	135.0
DLBCL10945	179.95752895752895	156.0
DLBCL11460	115.6460396039604	104.0
DLBCL11205	133.32203389830508	114.0
DLBCL10961	145.03673469387758	127.0
DLBCL11665	135.21153846153842	120.5
DLBCL11530	162.66804979253112	146.0
DLBCL10997	115.94009216589863	102.0
DLBCL11462	93.87373737373736	86.5
DLBCL10987	132.0031847133758	115.0
DLBCL11661	98.80940594059406	78.0
DLBCL11452	137.125	123.5
DLBCL10513	160.09954751131218	141.0
DLBCL11507	139.39147286821705	115.5
