	coverage_mean	coverage_median
DLBCL10833	124.71698113207547	112.5
DLBCL10482	115.22335025380713	108.0
DLBCL10500	122.07920792079209	107.5
DLBCL10939	131.85526315789474	118.5
DLBCL11474	82.9570707070707	76.0
DLBCL11475	161.0693069306931	133.0
DLBCL10902	125.04747774480713	117.0
DLBCL11484	91.99539170506912	84.0
DLBCL11488	138.23783783783784	122.0
DLBCL10529	84.0609756097561	77.0
DLBCL10450	192.8883610451306	165.0
DLBCL11188	144.61290322580646	128.5
DLBCL11495	151.91387559808612	137.0
DLBCL11271	122.69888475836431	110.0
DLBCL10454	167.01769911504425	155.0
DLBCL10991	127.91954022988506	113.0
DLBCL10835	119.20553359683794	111.0
DLBCL11558	224.24299065420558	204.5
DLBCL10512	160.07048458149782	149.0
DLBCL11448	132.07438016528926	110.0
DLBCL11509	119.512	107.0
DLBCL10485	93.95435684647305	85.0
DLBCL10866	106.59310344827587	94.0
DLBCL10859	132.47583643122678	121.0
DFCIDL008_DT	82.16062176165805	68.0
DFCIDL009_DT	94.03738317757008	65.0
DLBCL_DFCI_DLBCL_GOE05	72.43589743589743	68.0
DLBCL_DFCI_DLBCL_GOE07	113.5	103.5
DLBCL_DFCI_DLBCL_GOE08	96.33136094674556	78.0
DLBCL_DFCI_DLBCL_GOE16	68.78260869565217	61.0
DLBCL_DFCI_DLBCL_GOE17	158.578125	130.5
DLBC_FA_8693_TP_NB	113.83259911894272	95.0
DLBC_FA_A4BB_TP_NB	69.20588235294117	61.0
DLBC_FA_A4XK_TP_NB	70.6198347107438	66.0
DLBC_FA_A6HN_TP_NB	78.39426523297492	68.0
DLBC_FA_A6HO_TP_NB	85.79545454545455	63.5
DLBC_FA_A7DS_TP_NB	69.31410256410257	59.0
DLBC_FA_A7Q1_TP_NB	102.11244979919678	70.0
DLBC_FA_A82F_TP_NB	99.44444444444444	79.0
DLBC_FA_A86F_TP_NB	100.44444444444444	85.0
DLBC_FF_8041_TP_NB	108.07067137809187	93.0
DLBC_FF_8042_TP_NB	105.1441176470588	92.0
DLBC_FF_8043_TP_NB	107.26282051282051	88.5
DLBC_FF_8046_TP_NB	103.23809523809523	98.0
DLBC_FF_8062_TP_NB	111.72272727272728	104.0
DLBC_FF_A7CQ_TP_NB	95.66831683168316	83.0
DLBC_FF_A7CR_TP_NB	107.18076923076923	86.0
DLBC_FF_A7CW_TP_NB	82.47297297297297	66.0
DLBC_FF_A7CX_TP_NB	97.93406593406591	75.5
DLBC_FM_8000_TP_NB	85.26872246696037	75.0
DLBC_G8_6324_TP_NB	117.01785714285714	106.0
DLBC_G8_6325_TP_NB	121.02816901408451	108.5
DLBC_G8_6326_TP_NB	127.0	109.0
DLBC_G8_6906_TP_NBM	100.35460992907801	94.0
DLBC_G8_6907_TP_NBM	116.12142857142857	108.0
DLBC_G8_6909_TP_NBM	92.20240480961924	78.0
DLBC_G8_6914_TP_NBM	84.97297297297297	72.0
DLBC_GR_A4D4_TP_NB	100.19117647058823	79.0
DLBC_GR_A4D5_TP_NB	83.1063829787234	70.0
DLBC_GR_A4D6_TP_NB	82.4	69.0
DLBC_GR_A4D9_TP_NB	87.7837837837838	81.0
DLBC_GS_A9TQ_TP_NB	95.79130434782608	67.0
DLBC_GS_A9TV_TP_NB	139.72392638036808	119.0
DLBC_GS_A9TW_TP_NB	130.11024844720498	102.0
DLBC_GS_A9TX_TP_NB	180.70843989769818	142.0
DLBC_GS_A9TZ_TP_NB	101.41525423728814	77.0
DLBC_RQ_A68N_TP_NB	80.56299212598425	70.0
DLBC_RQ_A6JB_TP_NB	94.09554140127388	78.0
DLBC_RQ_AAAT_TP_NB	84.18518518518519	65.0
DLBC_VB_A8QN_TP_NB	91.59030837004406	71.0
DLBCL_BWH_DLBCL64	73.27906976744184	50.5
DLBCL_LS2325	116.8875	96.5
DLBCL_LS3271	134.1456310679612	110.0
DLBCL_LS4054	72.1063829787234	71.0
DLBCL_LS4222	84.25	76.0
DLBCL_LS4323	95.21917808219177	96.0
DLBCL_LS4394	71.34	56.0
DLBCL_LS4592	67.51492537313433	51.0
DLBCL_LS4593	94.55660377358492	80.0
DLBCL_LS4616	74.62244897959185	61.5
DLBCL_LS4618	64.48275862068965	57.0
DLBCL_LS4619	58.16363636363637	51.0
DLBCL_LS1065	104.0625	86.5
DLBCL_LS1098	102.01287553648069	82.0
DLBCL_LS1304	104.54166666666669	96.0
DLBCL_LS1395	92.57142857142857	71.0
DLBCL_LS146	96.59782608695652	76.0
DLBCL_LS148	79.23880597014927	68.0
DLBCL_LS1546	91.84615384615385	58.5
DLBCL_LS155	113.34831460674157	96.0
DLBCL_LS1583	87.51428571428572	75.5
DLBCL_LS1620	87.16521739130434	72.0
DLBCL_LS1668	108.35211267605635	75.5
DLBCL_LS1683	97.39285714285714	78.5
DLBCL_LS1757	82.73809523809524	70.0
DLBCL_LS1899	107.91160220994476	90.0
DLBCL_LS1921	102.37264150943396	82.5
DLBCL_LS2089	75.3	67.0
DLBCL_LS2154	109.77586206896551	90.5
DLBCL_LS2208	123.15151515151516	94.0
DLBCL_LS2245	67.19047619047619	57.0
DLBCL_LS2258	109.8	87.0
DLBCL_LS2264	107.08333333333331	97.0
DLBCL_LS2305	89.40243902439026	85.0
DLBCL_LS2328	93.57534246575342	75.0
DLBCL_LS2357	101.28148148148148	92.0
DLBCL_LS2367	96.66666666666669	78.5
DLBCL_LS2590	87.20967741935482	67.0
DLBCL_LS2595	113.91304347826087	94.0
DLBCL_LS2596	70.65591397849462	55.0
DLBCL_LS2599	80.43537414965986	63.0
DLBCL_LS2848	60.0	56.0
DLBCL_LS297	89.64220183486239	82.0
DLBCL_LS2978	82.82122905027933	67.0
DLBCL_LS3085	102.0	93.0
DLBCL_LS3200	89.98550724637683	70.0
DLBCL_LS3204	79.70833333333333	66.5
DLBCL_LS3219	116.33333333333331	88.5
DLBCL_LS3245	93.95714285714287	77.0
DLBCL_LS3309	84.56818181818181	65.0
DLBCL_LS3387	95.45488721804512	76.0
DLBCL_LS3499	81.89949748743719	69.0
DLBCL_LS3615	104.16129032258064	93.5
DLBCL_LS3749	94.03389830508476	80.0
DLBCL_LS378	102.8	83.0
DLBCL_LS3808	91.9391304347826	80.0
DLBCL_LS3809	90.19230769230771	75.0
DLBCL_LS3820	78.0	63.5
DLBCL_LS3866	93.35471698113207	78.0
DLBCL_LS4085	76.6794871794872	67.5
DLBCL_LS762	70.74358974358974	64.0
DLBCL_LS843	75.08571428571429	63.0
DLBCL_LS88	89.19444444444444	69.5
DLBCL_LS951	109.18103448275862	99.0
DLBCL_MAYO_DLBCL_234	65.49832102081935	54.0
DLBCL_MAYO_DLBCL_3653	75.765625	60.0
DLBCL_MAYO_DLBCL_5613	76.04109589041096	67.0
DLBCL_MAYO_DLBCL_7359	76.83969465648855	69.0
DLBCL_MC_F064AB	78.59354838709677	65.0
DLBCL_MC_F089_HCZ	63.805194805194795	49.0
DLBCL_MC_F089_MLB	55.291262135922324	46.0
DLBCL_MC_F132_MLM	70.05	54.0
DLBCL_MC_F139_AD	92.55	78.0
DLBCL_MC_F139_LJF	88.93315508021391	72.0
DLBCL_MC_F210_GWC	62.233160621761655	50.0
DLBCL_MC_F218_RAP	61.366972477064216	52.0
DLBCL_MC_F231_CAO	50.33333333333334	51.5
DLBCL_MC_F262_WLC	64.56721311475411	52.0
DLBCL_MC_F300_TBF	48.67424242424242	41.0
DLBCL_MC_F307_JPS	62.33333333333334	38.5
DLBCL_MC_F339_JPS2	82.9753086419753	71.0
DLBCL_MC_F344_CJS	61.5645933014354	54.0
DLBCL_MC_F349_BJJ	61.16836734693877	47.0
DLBCL_MC_F358_WDS	58.7344398340249	48.0
DLBCL_MC_F362_MJB1	78.15942028985508	65.0
DLBCL_MC_F496DMP	63.016042780748656	49.0
DLBCL_MC_F500_ECU	86.96153846153847	66.5
DLBCL_MC_F502_RFK	59.837988826815646	49.0
DLBCL_MC_F519_ALT	61.43010752688172	50.5
DLBCL_MC_F606_DMJ	48.80392156862745	43.0
DLBCL_MC_F648_JKW	71.75454545454545	60.0
DLBCL_MC_F729_MAN	74.31460674157303	64.0
DLBCL_MC_F739_AMA3	61.860824742268036	51.5
DLBCL_MC_F815_BAT	77.67647058823529	63.0
DLBCL_MC_F886_EJH	32.0	31.5
DLBCL_MC_F925_DLR	270.0	76.0
DLBCL_MC_F927_JHS	87.23809523809523	56.0
DLBCL_MC_F959_ERM	67.82954545454545	48.5
DLBCL_MC_F990_MNA	65.44628099173553	52.0
DLBCL_RICOVER_1013	102.07865168539324	71.0
DLBCL_RICOVER_1018	59.91904761904761	53.0
DLBCL_RICOVER_102	116.21875	106.0
DLBCL_RICOVER_1032	80.58156028368795	61.0
DLBCL_RICOVER_1045	76.26315789473685	65.0
DLBCL_RICOVER_1046	85.29870129870129	70.0
DLBCL_RICOVER_105	46.72727272727273	40.0
DLBCL_RICOVER_1060	91.58695652173913	72.5
DLBCL_RICOVER_1061	78.298	61.0
DLBCL_RICOVER_107	115.58219178082192	90.5
DLBCL_RICOVER_1072	92.11926605504587	76.0
DLBCL_RICOVER_1081	129.83673469387756	95.0
DLBCL_RICOVER_1106	77.63157894736842	66.0
DLBCL_RICOVER_111	53.39759036144578	45.0
DLBCL_RICOVER_1138	92.61209964412814	76.0
DLBCL_RICOVER_1144	148.22222222222226	120.5
DLBCL_RICOVER_1150	125.94230769230771	111.0
DLBCL_RICOVER_1165	93.8923076923077	72.0
DLBCL_RICOVER_1169	113.22727272727272	108.0
DLBCL_RICOVER_1190	119.98360655737706	103.0
DLBCL_RICOVER_1192	40.23776223776224	31.0
DLBCL_RICOVER_1199	124.71428571428572	110.0
DLBCL_RICOVER_120	63.50833333333333	53.0
DLBCL_RICOVER_1204	75.35593220338983	56.0
DLBCL_RICOVER_1210	79.57894736842105	60.0
DLBCL_RICOVER_1219	75.82575757575758	63.5
DLBCL_RICOVER_1235	93.38524590163937	71.5
DLBCL_RICOVER_1237	59.57471264367816	48.0
DLBCL_RICOVER_1247	72.34920634920636	52.0
DLBCL_RICOVER_1248	79.7063492063492	64.5
DLBCL_RICOVER_1257	53.4712643678161	39.0
DLBCL_RICOVER_126	145.58035714285714	96.5
DLBCL_RICOVER_1263	36.94285714285714	31.0
DLBCL_RICOVER_1269	70.09482758620689	56.0
DLBCL_RICOVER_1278	82.25	66.0
DLBCL_RICOVER_1283	73.61702127659575	63.0
DLBCL_RICOVER_1287	79.16666666666667	68.5
DLBCL_RICOVER_1289	88.3393665158371	74.0
DLBCL_RICOVER_1293	81.57575757575758	66.0
DLBCL_RICOVER_1299	71.86470588235294	57.0
DLBCL_RICOVER_1329	56.411111111111104	43.5
DLBCL_RICOVER_134	77.43103448275863	66.5
DLBCL_RICOVER_147	128.16666666666666	67.5
DLBCL_RICOVER_148	95.09836065573772	73.0
DLBCL_RICOVER_150	64.72388059701493	50.5
DLBCL_RICOVER_151	86.22058823529413	70.5
DLBCL_RICOVER_173	124.55813953488372	113.0
DLBCL_RICOVER_174	89.4795918367347	68.5
DLBCL_RICOVER_181	78.44134078212291	68.0
DLBCL_RICOVER_197	77.51612903225806	54.5
DLBCL_RICOVER_208	76.55288461538461	62.0
DLBCL_RICOVER_215	97.92307692307692	87.0
DLBCL_RICOVER_216	79.28571428571429	59.0
DLBCL_RICOVER_221	51.919191919191924	38.0
DLBCL_RICOVER_224	32.42857142857143	29.5
DLBCL_RICOVER_253	86.64423076923076	71.0
DLBCL_RICOVER_258	59.99122807017544	38.5
DLBCL_RICOVER_266	114.95238095238096	100.5
DLBCL_RICOVER_267	95.37724550898204	80.0
DLBCL_RICOVER_269	91.92708333333331	77.0
DLBCL_RICOVER_274	139.88028169014083	95.0
DLBCL_RICOVER_288	84.97916666666667	78.5
DLBCL_RICOVER_290	80.27627627627628	68.0
DLBCL_RICOVER_299	92.97894736842105	68.0
DLBCL_RICOVER_314	32.640625	28.0
DLBCL_RICOVER_320	77.03703703703705	75.0
DLBCL_RICOVER_325	54.88888888888889	50.5
DLBCL_RICOVER_335	77.78205128205127	59.0
DLBCL_RICOVER_336	97.10928961748634	78.0
DLBCL_RICOVER_338	62.84375	56.0
DLBCL_RICOVER_342	92.73571428571428	85.0
DLBCL_RICOVER_361	109.63709677419355	97.5
DLBCL_RICOVER_384	62.709219858156025	52.0
DLBCL_RICOVER_401	95.68852459016394	85.0
DLBCL_RICOVER_408	58.04313725490197	50.0
DLBCL_RICOVER_417	89.82389937106919	70.0
DLBCL_RICOVER_431	63.009009009009006	54.0
DLBCL_RICOVER_440	94.34913793103449	78.0
DLBCL_RICOVER_449	85.61290322580646	65.0
DLBCL_RICOVER_451	55.105820105820115	50.0
DLBCL_RICOVER_463	62.522222222222226	43.5
DLBCL_RICOVER_467	93.48245614035088	70.0
DLBCL_RICOVER_469	72.08510638297872	61.0
DLBCL_RICOVER_473	95.83908045977013	70.0
DLBCL_RICOVER_478	66.07865168539325	56.0
DLBCL_RICOVER_496	82.76666666666667	70.5
DLBCL_RICOVER_506	81.80246913580247	69.0
DLBCL_RICOVER_522	100.0805369127517	76.0
DLBCL_RICOVER_533	82.37837837837837	71.0
DLBCL_RICOVER_543	100.67241379310344	99.0
DLBCL_RICOVER_554	89.0860534124629	79.0
DLBCL_RICOVER_575	96.21656050955414	89.0
DLBCL_RICOVER_577	67.28571428571429	56.0
DLBCL_RICOVER_583	86.11392405063292	65.0
DLBCL_RICOVER_585	74.66666666666667	59.0
DLBCL_RICOVER_597	102.87254901960785	91.0
DLBCL_RICOVER_617	102.58426966292136	89.0
DLBCL_RICOVER_623	94.1217712177122	77.0
DLBCL_RICOVER_632	77.9	72.0
DLBCL_RICOVER_678	104.1818181818182	65.5
DLBCL_RICOVER_685	92.86407766990291	77.0
DLBCL_RICOVER_692	82.75155279503106	60.0
DLBCL_RICOVER_694	137.13636363636363	91.0
DLBCL_RICOVER_701	74.49746192893402	51.0
DLBCL_RICOVER_704	101.7872340425532	91.0
DLBCL_RICOVER_711	80.39024390243901	69.5
DLBCL_RICOVER_712	111.24561403508771	92.0
DLBCL_RICOVER_720	87.86170212765957	65.5
DLBCL_RICOVER_744	84.63348416289594	70.0
DLBCL_RICOVER_763	79.725	60.0
DLBCL_RICOVER_773	38.19318181818182	30.5
DLBCL_RICOVER_780	69.09375	46.5
DLBCL_RICOVER_787	52.964879852125684	44.0
DLBCL_RICOVER_822	67.5546218487395	42.0
DLBCL_RICOVER_826	102.18926553672316	85.0
DLBCL_RICOVER_829	92.15486725663716	65.0
DLBCL_RICOVER_839	98.66037735849056	95.0
DLBCL_RICOVER_850	77.24615384615385	58.0
DLBCL_RICOVER_865	78.87854251012145	59.0
DLBCL_RICOVER_866	100.27753303964758	79.0
DLBCL_RICOVER_910	105.58666666666667	90.0
DLBCL_RICOVER_945	83.50717703349281	65.0
DLBCL_RICOVER_948	94.38095238095238	77.5
DLBCL_RICOVER_950	80.45664739884394	66.0
DLBCL_RICOVER_956	88.46315789473684	67.0
DLBCL_RICOVER_977	93.82587064676615	72.0
DLBCL_RICOVER_978	127.07114624505928	96.0
DLBCL_RICOVER_985	70.26666666666667	56.0
DLBCL_RICOVER_99	109.05	89.0
DLBCL_C_D_1103_NULLPAIR	84.29032258064517	67.5
DLBCL_C_D_1104_NULLPAIR	98.25	78.5
DLBCL_C_D_1105_NULLPAIR	68.30541871921183	57.0
DLBCL_C_D_1106_NULLPAIR	75.10778443113773	56.0
DLBCL_C_D_1107_NULLPAIR	75.7018469656992	68.0
DLBCL_C_D_1108_NULLPAIR	85.5625	73.0
DLBCL_C_D_1109_NULLPAIR	70.30434782608695	60.5
DLBCL_C_D_1110_NULLPAIR	60.19285714285714	49.5
DLBCL_C_D_1111_NULLPAIR	104.55555555555556	53.0
DLBCL_C_D_1112_NULLPAIR	74.80975609756099	60.0
DLBCL_C_D_1113_NULLPAIR	85.52808988764046	66.0
DLBCL_C_D_1114_NULLPAIR	69.418410041841	55.0
DLBCL_C_D_1115_NULLPAIR	76.12878787878788	66.0
DLBCL_C_D_1117_NULLPAIR	81.42307692307692	57.0
DLBCL_C_D_1118_NULLPAIR	71.655	52.5
DLBCL_C_D_1119_NULLPAIR	70.20945945945945	61.0
DLBCL_C_D_1120_NULLPAIR	66.42780748663101	52.0
DLBCL_C_D_1121_NULLPAIR	139.1247524752475	112.0
DLBCL_C_D_1123_NULLPAIR	77.6283185840708	72.0
DLBCL_C_D_1124_NULLPAIR	74.968	56.0
DLBCL_C_D_1125_NULLPAIR	77.40932642487047	63.0
DLBCL_C_D_1126_NULLPAIR	59.04093567251462	47.0
DLBCL_C_D_1127_NULLPAIR	66.61309523809524	55.0
DLBCL_C_D_1128_NULLPAIR	76.18181818181819	64.5
DLBCL_C_D_1129_NULLPAIR	70.1743119266055	61.0
DLBCL_C_D_1130_NULLPAIR	65.64419475655431	52.0
DLBCL_C_D_1131_NULLPAIR	74.7433155080214	49.0
DLBCL_C_D_1132_NULLPAIR	88.78740157480316	67.0
DLBCL_C_D_1133_NULLPAIR	74.71851851851851	61.0
DLBCL_C_D_1134_NULLPAIR	86.38823529411766	71.0
DLBCL_C_D_1135_NULLPAIR	67.96354166666667	50.5
DLBCL_C_D_1136_NULLPAIR	74.64375	61.0
DLBCL_C_D_1138_NULLPAIR	65.65800865800865	52.0
DLBCL_C_D_1139_NULLPAIR	90.32835820895521	71.0
DLBCL_C_D_1140_NULLPAIR	122.44444444444444	86.0
DLBCL_C_D_1141_NULLPAIR	99.17543859649125	72.0
DLBCL_C_D_1142_NULLPAIR	64.36029411764707	42.0
DLBCL_C_D_1144_NULLPAIR	91.16176470588236	81.5
DLBCL_C_D_1145_NULLPAIR	76.15972222222223	59.0
