SampleName	cluster	silhouetteValue
DLBCL10450	1	-0.013223492951758
DLBCL10469	1	0.0850550179460962
DLBCL10497	1	0.115505477002536
DLBCL10505	1	0.0160596174842097
DLBCL10544	1	-0.00629968708853699
DLBCL10547	1	0.108916672980331
DLBCL10868	1	0.004599242007838
DLBCL10932	1	0.0896151572308142
DLBCL10939	1	-0.0551978504449575
DLBCL10965	1	0.0707092366111941
DLBCL11196	1	0.095312071139351
DLBCL11437	1	0.0266694904179244
DLBCL11453	1	0.0221597694587897
DLBCL11459	1	0.0442267678582311
DLBCL11460	1	0.117984264931336
DLBCL11464	1	0.0693285321813443
DLBCL11535	1	-0.083270529018338
DLBCL11560	1	0.103671833471924
DLBCL11564	1	0.0948296747186512
DLBCL11571	1	-0.00550741372186212
DLBCL11655	1	0.0876365636376971
DLBCL11658	1	0.0346362922148203
DLBCL11660	1	-0.00405184000133749
DLBCL10513	1	-0.021837235668605
DLBCL10968	1	-0.0596961976422979
DLBCL10974	1	0.0809149641782158
DLBCL11429	1	0.0467076393781902
DLBCL11431	1	0.0771396953792204
DLBCL10873	1	0.0792689107927455
DLBCL10955	1	0.100228333403647
DLBCL10970	1	0.0494947648274585
DLBCL11504	1	0.0314556926986519
DLBCL11510	1	0.0393706913533421
DLBCL10456	1	0.0512897699729839
DLBCL10527	1	0.0105106973261979
DLBCL10564	1	0.0154014264407857
DLBCL10919	1	0.172280514201637
DLBCL10978	1	0.102641295419546
DLBCL11002	1	0.104757549782151
DLBCL11433	1	0.031558285899312
DLBCL11527	1	-0.0262273449864132
DLBCL11671	1	0.100552476376231
DLBCL10863	1	-0.00906305665073219
DLBCL10973	1	0.0888042238695289
DLBCL11005	1	0.117094851994618
DLBCL11182	1	0.137768946812045
DLBCL11447	1	0.00684154945167512
DLBCL11471	1	0.104798961024489
DLBCL11491	1	0.12682749232518
DLBCL10538	2	-0.0137716309162415
DLBCL10531	2	0.0651288206160996
DLBCL10971	2	0.0848775870409622
DLBCL10452	2	0.0398478208290211
DLBCL10453	2	0.0887084555585616
DLBCL10454	2	0.00800726058439268
DLBCL10460	2	0.0206425103600649
DLBCL10461	2	0.100594019282652
DLBCL10470	2	0.131491059781153
DLBCL10473	2	0.107560393344264
DLBCL10477	2	0.103581620655782
DLBCL10480	2	0.0919424155336133
DLBCL10483	2	0.0922656420897475
DLBCL10484	2	0.115136522673431
DLBCL10485	2	0.111105869952572
DLBCL10486	2	0.0924382180642142
DLBCL10487	2	0.0750280962006059
DLBCL10493	2	0.096629257004721
DLBCL10494	2	0.108584195024497
DLBCL10500	2	0.0183881802006463
DLBCL10502	2	0.0900876481199218
DLBCL10507	2	-0.123921030580368
DLBCL10510	2	-0.0843453532913561
DLBCL10512	2	0.00084653838204297
DLBCL10517	2	0.0224213493247985
DLBCL10519	2	0.0498087122608134
DLBCL10521	2	0.0332350146888261
DLBCL10524	2	0.100904450065641
DLBCL10528	2	0.126263759374154
DLBCL10529	2	0.14370154927036
DLBCL10533	2	0.0202643959090016
DLBCL10539	2	0.0329450249984134
DLBCL10541	2	0.137212409963859
DLBCL10566	2	0.0482315752460743
DLBCL10834	2	0.0960987532346246
DLBCL10835	2	-0.0859704338814159
DLBCL10838	2	0.0227201176307292
DLBCL10845	2	0.00717295999506669
DLBCL10846	2	0.0079144007762817
DLBCL10849	2	0.00965463875695779
DLBCL10850	2	0.128110546798999
DLBCL10851	2	-0.00422173583867391
DLBCL10859	2	0.0925000841825283
DLBCL10871	2	0.0338090618654038
DLBCL10874	2	0.176020888554163
DLBCL10885	2	-0.0229752455519286
DLBCL10894	2	-0.0019808256962767
DLBCL10895	2	-0.0245879920043443
DLBCL10903	2	0.0645022701241898
DLBCL10904	2	0.00247827260174506
DLBCL10906	2	0.110817827866538
DLBCL10907	2	0.108580006434169
DLBCL10911	2	0.150639385148021
DLBCL10917	2	0.089010049623854
DLBCL10921	2	0.0286653003098577
DLBCL10922	2	0.0403838729504149
DLBCL10926	2	0.127297229031175
DLBCL10933	2	-0.0263304830977581
DLBCL10934	2	0.122816544324333
DLBCL10947	2	0.106943905113756
DLBCL10954	2	0.163181798675581
DLBCL10956	2	0.165727424449637
DLBCL10961	2	0.0445770248268874
DLBCL10962	2	0.170295004984255
DLBCL10980	2	0.080960456531716
DLBCL10981	2	0.0836143647088555
DLBCL10983	2	0.0663681971570461
DLBCL10984	2	-0.0240778692545728
DLBCL10985	2	0.0613020857720228
DLBCL10988	2	0.117042715704494
DLBCL10989	2	-0.0180724524125553
DLBCL10994	2	0.144750868100472
DLBCL11003	2	0.0139644695019102
DLBCL11180	2	0.110658971241497
DLBCL11188	2	-0.0267948693359689
DLBCL11193	2	0.0349925886582195
DLBCL11203	2	0.0983138799293994
DLBCL11204	2	-0.0157643695795696
DLBCL11206	2	0.114728085563859
DLBCL11208	2	0.132381433021342
DLBCL11346	2	0.0217876094656207
DLBCL11436	2	0.0198750213820374
DLBCL11438	2	-0.0197092855205867
DLBCL11446	2	0.00886247880203431
DLBCL11449	2	0.0200452939331339
DLBCL11456	2	0.0293903182876906
DLBCL11479	2	0.0442205667946785
DLBCL11483	2	-0.0328426547008054
DLBCL11484	2	0.0918700440247021
DLBCL11498	2	0.0553409595775202
DLBCL11503	2	0.196189325220534
DLBCL11507	2	-0.0267245057869051
DLBCL11516	2	-0.0143064977584667
DLBCL11530	2	0.0484375026711609
DLBCL11531	2	-0.0210308170964896
DLBCL11536	2	0.0130466507753541
DLBCL11540	2	-0.0396541125317088
DLBCL11565	2	0.0249921867937996
DLBCL11577	2	0.0168179215913422
DLBCL11579	2	0.105913545712231
DLBCL11591	2	-0.03711375468252
DLBCL11661	2	0.0223300065751922
DLBCL11664	2	-0.0342153544992069
DLBCL11673	2	0.122440661574695
DLBCL11679	2	0.0976004590816631
DLBCL11466	2	-0.0110013268850953
DLBCL10545	3	0.0313278790917471
DLBCL10884	3	0.0603403352438148
DLBCL11434	3	-0.0256438964115008
DLBCL11454	3	0.0052064356665403
DLBCL11519	3	0.0470267172024018
DLBCL11523	3	-0.0586457237912212
DLBCL10451	3	-0.0791513498780365
DLBCL10458	3	0.0313504080473805
DLBCL10462	3	0.0503493804548266
