SampleName	cluster	silhouetteValue	unmapped_cluster
DLBCL_RICOVER_473	1	0.0318219010256531	3
DLBCL_C_D_1123_NULLPAIR	1	0.0975565923055804	3
DLBCL_C_D_1114_NULLPAIR	1	0.101753326049371	3
DLBCL10972	1	0.0499806189205142	3
DLBCL_LS2367	1	0.10788593540579	3
DLBCL10986	1	0.163142898742997	3
DLBCL11481	1	0.134677909160931	3
DLBCL10966	1	0.0954143753966741	3
DLBCL_MC_F132_MLM	1	-0.089922689594426	3
DLBCL11523	1	0.170088124519883	3
DLBCL11659	1	0.0799665465905466	3
DLBCL_C_D_1130_NULLPAIR	1	-0.0458801313695437	3
DLBCL_MC_F262_WLC	1	-0.007568411611904	3
DLBCL11488	1	0.064823150856401	3
DLBCL11477	1	0.0017781065913851	3
DLBCL10994	1	0.0592466705042539	3
DLBCL11473	1	0.130239725344264	3
DLBCL11652	1	0.139856353906853	3
DLBCL11537	1	0.0674690024145476	3
DLBCL11501	1	-0.0429882622733174	3
DLBCL_LS1757	1	-0.0949220307381332	3
DLBCL10486	1	0.0525085851599006	3
DLBCL_RICOVER_910	1	-0.0525017655756219	3
DLBCL11457	1	0.0786431199669155	3
DLBCL10495	1	0.139875441355585	3
DLBCL10482	1	0.0395366753528985	3
DLBCL_RICOVER_338	1	-0.0268574598761729	3
DLBCL11671	1	-0.0303388444616241	3
DLBCL_RICOVER_1150	1	0.106392763018098	3
DLBCL10913	1	0.10797863926011	3
DLBCL11435	1	-0.0119053429584005	3
DLBCL_C_D_1129_NULLPAIR	1	-0.0236578369212206	3
DLBCL11474	1	0.0386731391203521	3
DLBCL10993	1	0.0916536151358566	3
DLBCL_RICOVER_451	1	-0.0371127094596757	3
DLBCL11429	1	0.239865251142073	3
DLBCL10998	1	0.001195735460397	3
DLBCL10942	1	0.0847484033117378	3
DLBCL11508	1	0.0668262701212909	3
DLBCL10545	1	0.0134490540012657	3
DLBCL_LS4394	1	0.284559571766341	3
DLBCL11506	1	0.120798039689427	3
DLBCL11586	1	0.111564068546712	3
DLBCL_RICOVER_694	1	-0.0477747823793978	3
DLBCL11452	1	-0.0019966576823138	3
DLBCL_MC_F648_JKW	1	-0.001600836916505	3
DLBCL10953	1	0.127016864902486	3
DLBCL11578	1	0.0284658081817351	3
DLBCL11445	1	0.0244053476044034	3
DLBCL10506	1	-0.0344648950762767	3
DLBCL_RICOVER_290	1	0.112155254469167	3
DLBCL_RICOVER_181	1	0.0893518101309955	3
DLBCL10478	1	0.0137489970437013	3
DLBCL10959	1	0.0682172049108324	3
DLBCL11663	1	-0.0161188927418673	3
DLBCL11509	1	0.134288131071933	3
DLBCL10935	1	0.012694628231309	3
DLBCL11511	1	-0.0402508496768078	3
DLBCL10509	1	0.0450403844023385	3
DLBCL_C_D_1148_NULLPAIR	1	0.119488581596932	3
DLBCL10877	1	-0.0082378506477472	3
DLBCL_MC_F300_TBF	1	0.104070348443726	3
DLBCL10531	1	0.052728628567783	3
DLBCL10546	1	-0.0153468185865917	3
DLBCL_C_D_1107_NULLPAIR	1	0.157180323322063	3
DLBCL_C_D_1155_NULLPAIR	1	-0.0356334946874303	3
DLBCL_LS2978	1	0.0621350870519769	3
DLBCL_RICOVER_1144	1	0.101136689667375	3
DLBCL10969	1	-0.0647652895299417	3
DLBCL10492	1	0.0035974106053448	3
DLBCL10968	1	-0.124762568036859	3
DLBCL11480	1	0.105380935136543	3
DLBCL10928	1	0.102558389529103	3
DLBCL_LS3809	1	0.0637522138137704	3
DLBCL11662	1	-0.0104110979215767	3
DLBCL11470	1	0.096517311599968	3
DLBCL11496	1	0.0473315010481642	3
