"k"	"rho_means"	"rho_sds"
2	0.8895775	0.0134614896003862
3	0.874192	0.00899866187707314
4	0.9340915	0.00811207783394116
5	0.9297005	0.00761664071813458
6	0.9206045	0.00839001139486891
7	0.905738	0.00997144949468861
8	0.89269	0.010425789439037
