epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
TrainingFold1	0.13116376037053884	0.1084271328765602	0.08678178249270674	0.06923686952387452	0.05718112358577329	0.047137840120874956	0.039125372356032966	0.03343364335665509	0.028960282335114603	0.025974826287936445	0.024780496559662697	0.02289403350291888	0.023199804438342252														
TrainingFold2	0.12857500866802243	0.10200108330196156	0.07401605357430824	0.05478999616073313	0.04258972113890518	0.03468720687066411	0.028990951535113767	0.024492850928919514	0.023881461641632958	0.022088838267732246	0.020344240422306765	0.01953500609577486	0.02028616181284917														
TrainingFold3	0.1380036087410355	0.1250997796146707	0.10719105025160719	0.0855848255281506	0.06923390518746932	0.05575560379392383	0.04672050441070248	0.037539656145170075	0.03267568002999972	0.031005718132920183	0.028093773178922924	0.027139947993981135	0.025441588816945363														
TrainingFold4	0.13987295315177603	0.13557944625023413	0.12208272121762011	0.09966992179397494	0.08233039337527853	0.07029493949905208	0.060317648869452324	0.04984416418883484	0.04038210509792076	0.033045293611807705	0.028359413985824426	0.025446813797779296	0.023900261847335392	0.022783234876789554	0.020873904496511386	0.021707615904448505	0.018775763417265393	0.019514640599481936	0.01972460235409182	0.018207663642120182	0.018069947330265925	0.017768898326738218	0.018090422131899687	0.015181864153055358	0.016747198350756002		
TrainingFold5	0.13446447122589225	0.11747442884581391	0.09081415377970262	0.06983475752356062	0.057490562533904964	0.050714953737733756	0.04661312763267344	0.04297391328237934	0.039724378600585954	0.03604707196149427	0.03300605980785799	0.03035684482524239	0.027007694476180313	0.025079235171412466	0.023999127786004982	0.02493994923845003	0.021982964888683953	0.020936839295846433	0.0214902224906672	0.021822932583844337	0.019646401239709645	0.01958696140195056	0.018992468369813907	0.019651552187274917	0.020557334594803137	0.018942001706645856	0.018918233132082022
ValidationFold1	0.12496923876775277	0.10469468505130158	0.0835449162971329	0.06924333746402382	0.0562913858935841	0.04780443613249641	0.04364748529225655	0.03457231329217016	0.029107852789640495	0.0330733214806543	0.02664876840683539	0.028570176568144496	0.024389168962328654														
ValidationFold2	0.119726750882225	0.09159575782816957	0.0683808362044327	0.05519257901186073	0.0476525605767378	0.04316911979175701	0.04414179015103392	0.040718776430842374	0.04171235416806093	0.03634719409023386	0.03661175687516293	0.037204454768331605	0.03319701797230303														
ValidationFold3	0.12593964302727767	0.11069431300233076	0.08809903061000614	0.067889631104966	0.054010840816641446	0.04658036843269459	0.033521860441495036	0.03474486245446511	0.03502915279707989	0.030242463762070647	0.024857452889927453	0.027696312744320405	0.023594422635224047														
ValidationFold4	0.13421449219589834	0.12693922845898448	0.10334099062324108	0.07888942951051232	0.06721770953647122	0.06032248489508355	0.05427583801845374	0.04465595326545808	0.0383943001831974	0.036293492365632674	0.0336651754201608	0.031212112179911183	0.03133794371256823	0.026090804073589366	0.028616504722588428	0.030731637478671834	0.02922300725972368	0.02599496041505329	0.030716740326333983	0.025558669132134365	0.027580805374233384	0.03157031247921934	0.027836812300036498	0.028716276333979877	0.02497542022660832		
ValidationFold5	0.1253210939802565	0.1037423574441188	0.07920814079005976	0.0636621428200522	0.055984549127888306	0.0518060452032096	0.04957635618477791	0.05014858347875578	0.044889008175363544	0.03953658129814341	0.04053884958806406	0.0359247513828581	0.03288460514447358	0.026715881733154576	0.02984217804938404	0.03191955214070559	0.03360527402801053	0.027926671915862768	0.026188104769512843	0.026188284181517776	0.03009448930681977	0.026149382071961807	0.03087213273560796	0.029504880793906563	0.030558128297163242	0.03614035031028293	0.025995976245974668
