epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
TrainingFold1	0.1330087370449223	0.10993191391942442	0.08511533520496313	0.06867785158127987	0.056461866439059205	0.04589867563191632	0.037610110589716764	0.03193070227535498	0.02864332023131871	0.0260247006060493	0.02387087522888029	0.022917328805677012	0.021934412368317346	0.020101602656296336	0.018904344741255574																								
TrainingFold2	0.13376771135506027	0.11663527390866589	0.0970564414036369	0.08080169966270413	0.06786807143852827	0.05509473048341471	0.04541879384789047	0.03638539425619021	0.03132707874833209	0.02677638678886272																													
TrainingFold3	0.13594008951701902	0.1173168577677147	0.09683132204015485	0.07436029832990078	0.05772819513592615	0.04491236115387768	0.036991423077547964	0.03162028203977653	0.02676202818243341	0.024924333223977805	0.02338325592976286	0.020614535142786654	0.022078711519531103	0.021757464076323563	0.020604859042875682																								
TrainingFold4	0.13781803789633243	0.12470293884504248	0.10332728953270072	0.07848578291860493	0.05871689750770615	0.047074245840353385	0.0382506512158381	0.03442033342593773	0.030212199201130056	0.02659609154242472	0.02606257134545806	0.02380551219420423	0.021545074774952478	0.021309445605981057	0.02119613389513688	0.02056785486989115	0.019073883279435738	0.01759340495664219	0.017205473742433242	0.0168225338411999	0.016536018396403628	0.016539928779887057	0.016123691901256364	0.015861307823500034	0.015819681666355542	0.015491587682068216	0.014464765472637902	0.014516419141446848	0.015561116568245449	0.015423550360256657	0.014805912978474887	0.013370376163418934	0.014392374924715444	0.013994799289470063	0.014967765036701828	0.013784330985766825	0.01370182403828618	0.012633412519690782	0.013454078989723877
TrainingFold5	0.13603579803323584	0.11749141446285254	0.0912430649728628	0.07309815237757948	0.0578907128656283	0.043869442148429104	0.03719136247235431	0.030805319067769225	0.027774737838511376	0.026017849101412124	0.024973020782984995	0.02463813456158866	0.023493480406268565	0.023351718565871586	0.021252259391154413	0.019888580767549097	0.01912212040959407	0.020906676777572124	0.019469004022412018	0.018627016435092056	0.020426870665399527	0.018023223988614712	0.017203641790988575																
ValidationFold1	0.12298387416579702	0.09484142398981897	0.07849534883726018	0.06330431500441386	0.05074133055792232	0.04655219369089684	0.03772011035025489	0.035006454965384966	0.03505075741339022	0.030235044900453777	0.02811469851472826	0.026099745099231398	0.03287529647937632	0.03040202263074608	0.023167383450404363																								
ValidationFold2	0.12538083773609754	0.1077147470199847	0.09019593972511389	0.07579667303241319	0.060322186158684725	0.049775376974663756	0.04229887386758786	0.03336668571327217	0.03344337427139131	0.02720281587041042																													
ValidationFold3	0.1237934875797044	0.10740784194051951	0.08724222895227843	0.07061069586255529	0.057947115534245294	0.04737134977361305	0.043069807594423894	0.037129092177581716	0.03694108455192281	0.03262670622348811	0.032352431771410464	0.031460676942679296	0.030517215656718607	0.03656994002078857	0.026385808492885368																								
ValidationFold4	0.13164183715576525	0.11436189516439094	0.09173251943545299	0.06637219564888526	0.05480491987278534	0.050481424008303126	0.04429591823524485	0.03872034823373044	0.03779445981883721	0.03557537615966253	0.03237262371768084	0.03199819880820861	0.03380519395792723	0.031298409855603615	0.03213367236097477	0.026975129761938676	0.02841766881504776	0.02820485862819394	0.028929146183161735	0.028082078558745217	0.026736706519407127	0.027609680120378045	0.026607397608647776	0.02924584045425175	0.02668721057282685	0.026662841422204347	0.027954770387926448	0.026377414280301176	0.02804168448510773	0.03423194133682881	0.026656438585009996	0.026807226748247672	0.02624188056598451	0.02470320011992511	0.02642905816927695	0.03071455513536175	0.026804056036944694	0.027005207409708853	0.022767436078137106
ValidationFold5	0.12354481810922022	0.10002120376170219	0.07860583111408863	0.06202672512127875	0.04672886930859169	0.038544646825070854	0.030089753631686977	0.02910642184291941	0.028534760159599753	0.026582451808887225	0.026860495719865703	0.025790097823823795	0.025965372109649335	0.025184634479333286	0.02504186598696276	0.023511195001176658	0.022882232255289785	0.023079226240395097	0.021601052206483676	0.02090314329420384	0.023288162969611795	0.02318625630764186	0.020405709482614068																
