epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
TrainingFold1	0.1314577724877957	0.11152277782703654	0.08867474445958616	0.06670903986116239	0.04779137545827445	0.03632399379084807	0.03087910561576265	0.026859058201782922	0.024945670191080845	0.023804689764288088	0.02189870456412354	0.020523807289267643	0.019828785212372656																					
TrainingFold2	0.13351735215133442	0.10859538979217376	0.0778633646819749	0.060541874851081055	0.05073744454898432	0.04404629400617322	0.03617026399399932	0.03099785362882646	0.02817089824956112	0.026779804350970025	0.023826838313145266	0.022583777441750313	0.02183166706802245	0.021265467486532824	0.02153300767710617	0.020121831136091627	0.02011310156996432	0.017445276002512326	0.01791422920830464	0.016502479945010067	0.01755411729056405	0.016699113812473135	0.017086836960681678											
TrainingFold3	0.13429270962845874	0.11302983753002165	0.0824265698754144	0.0580548214472153	0.04720888505795632	0.04057141324103048	0.03474065500195138	0.031503265188869346	0.028024825488153677	0.026712873176306443	0.02417995688301744	0.022872868543279103	0.021914889164194887	0.01959910711851659	0.01877863009212888	0.016938162208779514	0.01836253507261228	0.017026453112736237	0.015944829379234512															
TrainingFold4	0.13653609159148553	0.11703423553950745	0.09547396837310358	0.07267732080310287	0.053086155879216015	0.04113745902590877	0.036500581132713705	0.03350499003175752	0.0302784718116031	0.02826137080833591	0.027300023784218037	0.025458562592724443	0.023268853612039078	0.02120281711547498	0.02110535584129552	0.02032566750094702	0.019367518024674527	0.018514867319159252	0.0175862088140341	0.01833907380335156	0.017798842706807507	0.018028715894483453	0.016569279052278448	0.017497501889573126	0.016561417491067747	0.01701478287489987	0.015521192979428054	0.015591026928235475	0.01510205271368415	0.015422567080052184	0.01701870111522691	0.014905732737307434	0.015186977602909544	0.01418161345696221
TrainingFold5	0.13655134003053154	0.11593655598817637	0.09375933559434446	0.07427052057419832	0.058345967789424996	0.04348462567679432	0.03412263503912373	0.030013580327854613	0.02672119514542059	0.0251258001612748	0.02369984236561137	0.022077100649602475	0.021125795722784203	0.021213501435019735	0.020064726133848756	0.01726512342169396	0.01964343967274668	0.018230436164601304	0.018331434929912502	0.017905342826349514	0.016775429555881564	0.017003023887974446	0.017081505629919867	0.015264160932954064	0.015359413349656011									
ValidationFold1	0.12167864245874388	0.10159130932276582	0.07545727157445105	0.05914419530765028	0.04744392461856609	0.037938211327166974	0.0329872985508897	0.03516828806689093	0.032193611146303244	0.03397281988217655	0.03737747652963777	0.030741713392581825	0.025948042371981516																					
ValidationFold2	0.12107351952576423	0.08927759917469712	0.0652916799844788	0.04906757586207744	0.042011974127711474	0.0380658719034211	0.03191013603790051	0.029320539487106306	0.026996464199524978	0.024979733012990002	0.02454932604398293	0.028050796452360145	0.02563031484018424	0.022643572190694662	0.023871217179951165	0.020818626259029884	0.019310551974502904	0.01948304822734507	0.020134739484559315	0.019215768106913125	0.019775851743205595	0.018420504533128837	0.018264092700445798											
ValidationFold3	0.1251855795313646	0.09753766783454397	0.06662243318551027	0.05346133270896636	0.04919361815208922	0.0433793195275808	0.04403104062762682	0.03869152198092559	0.03769763124905325	0.040924282304036455	0.03673651477931327	0.03622217814522997	0.03759610443638201	0.03526641228991385	0.034715041184238356	0.03703780740872865	0.03658343196900557	0.03216515542445851	0.03100158166253587															
ValidationFold4	0.12453107289164453	0.10129463125590805	0.0811654068445703	0.059198827931640656	0.04837470289334437	0.046555970648622456	0.03494557741765134	0.03478050163316725	0.031922187149075805	0.030624813956590287	0.03258357558143535	0.032775506197877634	0.02977920419679166	0.028980261031097757	0.02628283827646367	0.02799687246324784	0.027155775535402837	0.027191362177364755	0.02930703587244844	0.025024595858397062	0.024547195913131675	0.026000891642504464	0.024854099283598968	0.023125880161485937	0.026319000601500005	0.02272624126687931	0.02469669536190309	0.02399164483030872	0.02564909613978638	0.02174752921997129	0.021946276855463086	0.023563624402667554	0.021587161330489425	0.021085173913921642
ValidationFold5	0.12419618639323088	0.1058432519905739	0.08602991317994557	0.07024982245638967	0.05709648315547252	0.04520176139739887	0.038823036851386564	0.035960234878091815	0.03174136356720156	0.036492228248945296	0.029147640299859567	0.03119367889421237	0.029685477894360643	0.03362124596999304	0.0286752959586961	0.029008193812825978	0.031863480011108204	0.027151342651933676	0.028705023361793678	0.028346122821440566	0.02583051603620448	0.027248387244899194	0.027331139380007412	0.028161440303954004	0.022207581400826702									
