epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
TrainingFold1	0.13793538952912449	0.1191204202091979	0.09708114622207464	0.07334932780152098	0.05808430392526362	0.04832726895622485	0.04082175635505714	0.034616736641603446	0.029378987629982752	0.026385122294784874	0.023589568200164765	0.02326591364184929	0.020423993186129932	0.021222924498988608	0.019959257824194207	0.018750562650060858	0.020245481031510082	0.018413801765134866	0.016628708168955737	0.016956119372455454						
TrainingFold2	0.12771638989414605	0.09911386220841106	0.07599079841005367	0.062485241108936745	0.05309511888703301	0.045493302815901394	0.03971235613669598	0.03519762952661922	0.03165931886118775	0.03151745575041683	0.026783312437194028	0.02685914661563988	0.02440953864222753	0.022752394231067067	0.023064783394839486	0.02241898852156911	0.021045707428261982	0.020248674825071207	0.018570854723595924	0.01919453782712959	0.019344717972711152	0.018218368205919003	0.016469283953997473	0.018018157779951666	0.015761619219227623	0.017139853271183714
TrainingFold3	0.12888340115631847	0.0968146732754328	0.06987474744779651	0.05498678040563722	0.04455605267959816	0.035858973212254404	0.031007337787774637	0.027424546543261385	0.02398363498584579	0.02249257575524759	0.02091838568898807	0.019989270266259237	0.017871845454382394	0.01732779266841879	0.017761596302609012	0.0172341488241562	0.0174406049250551	0.01637784951602622	0.017631261958674507	0.01599367203373483						
TrainingFold4	0.1306470867839049	0.11002962228058923	0.0889334939959967	0.0706439112429507	0.057524813412667505	0.04880496741124344	0.04123401458742922	0.035390859132166955	0.03219914008408192	0.02960278693949063	0.026421983041985765	0.022130637561779375	0.02235482749463038	0.020622647058404584	0.019325416573453616	0.019612980207222627	0.017985991731852252	0.0173935612843872	0.017613088432104136	0.017128627918745306	0.016709279961866164	0.018546169625836807	0.014352740039149384	0.015610015307827945	0.013884155009294442	0.015053221669512078
TrainingFold5	0.13168779573491796	0.11098795245523771	0.08537726377967189	0.06722559105727097	0.05135802221768936	0.03923663776051843	0.03365424122188316	0.0295343774292361	0.027621279072519014	0.02544918760464514	0.0247657686513817	0.022013932386570192	0.021266032395448758	0.020553258438823784	0.020878142659666702	0.018915475641268758										
ValidationFold1	0.12917653585339453	0.11129061818156424	0.08618111411730449	0.0675754099035518	0.0567140803034711	0.052844481750366254	0.0449374234387735	0.03781804425834871	0.03468307291539302	0.037602101165281086	0.03721886122838367	0.03530850049201609	0.031182764511270163	0.036577337073804055	0.03476843490214968	0.03310581960223472	0.031529487590232094	0.030569639327507968	0.033220822660950944	0.028959982971312595						
ValidationFold2	0.10620364422599475	0.0812861234083906	0.06976643005839071	0.0634288743499096	0.05289398450698066	0.04790822863536845	0.05500759483474466	0.04564076251253855	0.04726936959405639	0.04105315927462233	0.03661026669611634	0.04174245491955295	0.03612358122906723	0.03614067896174871	0.03665719823838371	0.03666115690731687	0.030712561582756304	0.03256995260856022	0.029837868409755698	0.035379304261123005	0.03127448576573819	0.03051462207961752	0.03257021330939899	0.029783880025272148	0.03866820249337858	0.0282511584359003
ValidationFold3	0.11744397791387799	0.0867977737373597	0.0642844170650786	0.05431798905939669	0.04430339767530493	0.036804588062705486	0.03005676988831109	0.029271919192192523	0.0365272914940441	0.025359685544285353	0.028163800023387076	0.02499835169139981	0.02415880006119223	0.02432336232353312	0.0233533026397266	0.02308649456428431	0.029475537401431048	0.022426529741596413	0.025227060813670727	0.021442118167288828						
ValidationFold4	0.11453736599467627	0.09647470961853459	0.0760425049308184	0.059767439445430365	0.0510368001802514	0.0438596868797348	0.04464021728160111	0.03633781345319926	0.03452266963945517	0.03168410759446471	0.032351155272424895	0.029747535492821078	0.030125506244534795	0.027389450551971357	0.02808013268031163	0.028240787652730186	0.03088235030992183	0.02793829574400186	0.026603492576238775	0.031026501156432188	0.026447845051308407	0.027908002734834514	0.02743368308425111	0.030319721451100498	0.027992804006341455	0.025149891392887896
ValidationFold5	0.12200134009257094	0.0938752741628402	0.06903007814476082	0.0524996738830531	0.038447754914863956	0.03498991999485706	0.03433427789986872	0.025960879130309936	0.025382511777098517	0.0236876605063895	0.021988146802565705	0.021662421150894434	0.02489476034109405	0.02476710988497592	0.02402753361342433	0.020023792159066092										
