gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
SV.BCL6	C1	3.5732976003573306e-05	9.99990000099999e-06	0.21636363636363637	0.6218487394957983	0.15966386554621848	0.03361344537815126	0.10084033613445378	0.08403361344537814	0.13454545454545455	0.034545454545454546	0.007272727272727273	0.02181818181818182	0.01818181818181818	74	42	19	105	4	91	12	65	10	128	222	57	12	36	30
DTX1	C1	3.5732976003573306e-05	9.99990000099999e-06	0.1709090909090909	0.45744680851063835	0.09574468085106384	0.0851063829787234	0.2021276595744681	0.1595744680851064	0.07818181818181819	0.016363636363636365	0.014545454545454545	0.034545454545454546	0.02727272727272727	43	73	9	115	8	87	19	58	15	123	80	16	13	33	26
CD70	C1	3.5732976003573306e-05	9.99990000099999e-06	0.09636363636363636	0.7169811320754718	0.03773584905660377	0.03773584905660377	0.1320754716981132	0.07547169811320754	0.06909090909090909	0.0036363636363636364	0.0036363636363636364	0.012727272727272728	0.007272727272727273	38	78	2	122	2	93	7	70	4	134	76	4	4	14	7
TNFAIP3	C1	3.5732976003573306e-05	9.99990000099999e-06	0.1290909090909091	0.5070422535211268	0.07042253521126761	0.09859154929577466	0.1971830985915493	0.1267605633802817	0.06545454545454546	0.00909090909090909	0.012727272727272728	0.025454545454545455	0.016363636363636365	36	80	5	119	7	88	14	63	9	129	72	10	13	28	18
NOTCH2	C1	3.5732976003573306e-05	9.99990000099999e-06	0.08363636363636365	0.6956521739130433	0.10869565217391303	0.08695652173913042	0.021739130434782605	0.08695652173913042	0.05818181818181818	0.00909090909090909	0.007272727272727273	0.0018181818181818182	0.007272727272727273	32	84	5	119	4	91	1	76	4	134	64	10	7	2	8
BCL10	C1	3.5732976003573306e-05	9.99990000099999e-06	0.07818181818181819	0.6511627906976744	0.09302325581395349	0.09302325581395349	0.046511627906976744	0.11627906976744184	0.05090909090909091	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.00909090909090909	28	88	4	120	4	91	2	75	5	133	56	8	8	4	10
CD58	C1	3.5732976003573306e-05	9.99990000099999e-06	0.08909090909090908	0.5306122448979592	0.0816326530612245	0.0	0.22448979591836737	0.163265306122449	0.04727272727272727	0.007272727272727273	0.0	0.02	0.014545454545454545	26	90	4	120	0	95	11	66	8	130	52	8	0	22	16
X5Q.AMP	C1	3.5732976003573306e-05	9.99990000099999e-06	0.11454545454545455	0.3968253968253968	0.380952380952381	0.11111111111111112	0.04761904761904762	0.06349206349206349	0.045454545454545456	0.04363636363636364	0.012727272727272728	0.005454545454545455	0.007272727272727273	25	91	24	100	7	88	3	74	4	134	25	24	7	3	4
B2M	C1	3.5732976003573306e-05	9.99990000099999e-06	0.11272727272727273	0.3870967741935484	0.1774193548387097	0.14516129032258066	0.25806451612903225	0.03225806451612903	0.04363636363636364	0.02	0.016363636363636365	0.02909090909090909	0.0036363636363636364	24	92	11	113	9	86	16	61	2	136	48	22	18	32	4
UBE2A	C1	3.5732976003573306e-05	9.99990000099999e-06	0.05090909090909091	0.75	0.0	0.03571428571428571	0.07142857142857142	0.14285714285714285	0.038181818181818185	0.0	0.0018181818181818182	0.0036363636363636364	0.007272727272727273	21	95	0	124	1	94	2	75	4	134	42	0	2	4	8
