	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.9935713489918454	0.085482898458488	0.9841818571683297	0.9999999999994236	4.643115219405256e-20	0.01563965029185147	0.9475442699357267	0.029011218705000345	5.592338080589416e-12	1.0	15	27	168	139	50	34	133	132	35	47	148	119	9	54	174	112	74	4	109	162
COO_GCB	0.19358983470259009	0.9766901634716003	0.984242320032238	4.2751748825195013e-19	0.9999999999992966	0.8891779126986273	0.045411306587056326	0.03237378272869442	1.0	2.921026117602038e-11	14	28	79	228	16	68	77	188	15	67	78	189	47	16	46	240	1	77	92	179
COO_UNC	0.07030556684098795	0.5023754393534148	1.0274910652617886e-05	0.9920372144576303	0.9999996933956768	0.9676485615725292	0.6180148846919238	0.999997261619924	0.021639282637205198	2.85964133403146e-06	13	29	60	247	18	66	55	210	32	50	41	226	7	56	66	220	3	75	70	201
PLOIDY	0.9333885788176627	4.4678922731266856e-14	0.9999611010439868	0.979754101265822	0.9993953164221772	0.17469160176193585	0.9999999999999969	0.00033071834602783955	0.05930042614397105	0.003120589401117673	3	39	42	265	33	51	12	253	2	80	43	224	4	59	41	245	3	75	42	229
