	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.005284148345799584	0.7770484817284697	1.0	0.9999888262561263	5.605611878339568e-10	0.998574744473252	0.3451792585675239	7.50787858688121e-08	8.513231506744368e-05	0.9999999999752003	19	9	51	79	17	25	53	63	0	25	70	63	4	26	66	62	30	3	40	85
COO_GCB	0.9999897175199459	0.6820851351198132	2.8175359322092657e-08	0.0007161764230976393	0.9999995921367133	9.189053053944222e-05	0.45678209430256733	0.9999999988770338	0.9998450058944559	4.6512799608610556e-06	3	25	64	66	17	25	50	66	23	2	44	89	21	9	46	82	3	30	64	61
COO_UNC	0.13839693620169694	0.15437122310980214	0.8849669736625219	0.36422638459573403	1.0	0.9496244778645284	0.9353801210442407	0.3143147911524464	0.8196000008248401	0.004944575654616974	6	22	15	115	8	34	13	103	2	23	19	114	5	25	16	112	0	33	21	104
PLOIDY	1.0	1.0239115790215156e-10	1.0	0.9427778779959807	0.9982991892002104	0.015771572725417144	0.999999999996801	0.008530392507672097	0.18530254089658488	0.01525372835401895	0	30	23	140	20	31	3	139	0	34	23	136	2	32	21	138	1	43	22	127
