	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.004864511420650915	0.72757534875152	0.9999999964100339	0.9997165662659192	4.315568579205302e-09	0.9987636694341847	0.4054291677536066	1.2505048509505773e-07	0.0013405166952233068	0.999999999786169	18	8	52	80	17	24	53	64	1	28	69	60	6	25	64	63	28	3	42	85
COO_GCB	0.9997193204122177	0.7548251124362984	1.18819886727882e-06	0.005137909104288201	0.9999984713956159	0.0015917399804906726	0.37412302917019774	0.9999998856439799	0.9985288579903187	1.585091341185425e-05	4	22	63	69	16	25	51	66	24	5	43	86	20	11	47	80	3	28	64	63
COO_UNC	0.4674242283359217	0.1372757289852222	0.566074964665385	0.3951587090655426	1.0	0.7546325953150428	0.9444621022979236	0.666411346307695	0.7966217026472686	0.007108993677015337	4	22	17	115	8	33	13	104	4	25	17	112	5	26	16	111	0	31	21	106
PLOIDY	1.0	6.349224994083982e-11	1.0	0.9495150984294375	0.9976302064090037	0.021315490857546127	0.9999999999980931	0.004536486981565231	0.16838625915605734	0.020115689784038156	0	28	23	142	20	30	3	140	0	38	23	132	2	33	21	137	1	41	22	129
