	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.44843580349362616	0.5329028682469243	1.0	0.9999567021929957	3.266763334705613e-25	0.63375304408128	0.5515641965063738	3.119249603511534e-18	0.00012393214648696467	1.0	58	56	199	202	57	57	200	201	8	78	249	180	22	52	235	206	112	15	145	243
COO_GCB	0.9999859050801823	0.5497165860620286	1.5975469732340413e-23	0.001726190810839625	1.0	4.162721684323811e-05	0.5410908127960627	1.0	0.9992692443111186	5.485339300742195e-18	19	95	144	257	36	78	127	274	68	18	95	334	35	39	128	313	5	122	158	230
COO_UNC	2.6348883965972305e-05	0.551240269193746	0.978021770968305	0.17694741183274934	0.9999591138751185	0.9999912404232556	0.5574912037581862	0.04664276546371251	0.8917769426506544	0.00014336213549765578	37	77	58	343	21	93	74	327	10	76	85	344	17	57	78	363	10	117	85	303
PLOIDY	0.9999993300384737	4.510211875240268e-21	0.9998521604985928	0.9402315216752728	0.9988705291885649	7.371808640768813e-06	1.0	0.000833624210266452	0.1271626197858276	0.0034295077738671544	2	114	66	368	49	75	19	407	3	92	65	390	6	71	62	411	8	130	60	352
