	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
X2Q22.2.DEL	0.9441931429098401	0.7423311723784195	56	23	63	29	0.6941196995604374	0.4096444128553401	46	21	40	12	0.9098642393356556	0.7572604675353176	23	7	17	7	0.8163379949505196	0.5215871358085429	23	7	13	7	0.9442448171662748	0.44478405052763126	91	36	28	15
X2P16.1.AMP	0.9441931429098401	0.7514564555695327	48	31	59	33	0.709294974010512	0.4534836719083602	39	28	34	18	0.8876130113343413	0.5767618408308102	17	13	16	8	1.0	1.0	17	13	12	8	0.9442448171662748	0.28519887915618225	83	27	24	13
X1P31.1.DEL	0.9441931429098401	0.7528411131559993	50	29	55	37	0.3906741130022712	0.13709656318995317	43	24	26	26	1.0	1.0	18	12	14	10	0.8234167229019431	0.5669426616701904	18	12	10	10	1.0	0.7227563446523696	79	48	26	18
X17P.DEL	0.9441931429098401	0.755801412482685	32	47	35	57	0.9154026754194551	0.8507331333876557	28	39	20	32	1.0	0.9999999999999999	9	21	7	17	0.9503252185929748	0.7581058551840947	9	21	5	15	1.0	0.8572700214990066	49	75	18	25
X6Q.DEL	0.9441931429098401	0.7584502295505273	44	35	48	44	0.9154026754194551	0.8553762704739171	36	31	27	25	0.7609553371402791	0.411664362715233	13	17	14	10	0.9503252185929748	0.7739313494166146	13	17	10	10	0.9442448171662748	0.22204162511890413	72	55	20	24
X6P21.1.AMP	0.9863102159052315	0.8128959935659514	69	10	82	10	0.6715177176994728	0.3852970511390417	58	9	48	4	0.9098642393356556	0.6818295775010534	26	4	22	2	1.0	1.0	26	4	18	2	0.9932769168152971	0.5273591286625643	112	9	39	5
COO_UNC	0.9863102159052315	0.8246200165765051	52	11	78	14	0.6481653201965941	0.3579355478327845	44	8	48	4	1.0	1.0	18	3	21	3	1.0	1.0	18	3	18	2	0.9442448171662748	0.3233556288036369	96	21	34	4
X13Q.AMP	0.9917186026495025	0.8623095466226838	59	20	67	25	0.9154026754194551	0.8387723261366601	49	18	37	15	0.8876130113343413	0.543418498459288	23	7	16	8	0.8163379949505196	0.5215871358085429	23	7	13	7	0.9932769168152971	0.5423748932952305	96	30	30	12
X14Q32.31.DEL	0.9917186026495025	0.8699673489928599	54	25	64	28	1.0	1.0	48	19	37	15	0.9098642393356556	0.7659297365519135	21	9	18	6	0.8163379949505196	0.5219210131650863	21	9	16	4	0.9442448171662748	0.03263727142475199	82	43	36	7
X1P36.32.DEL	0.9917186026495025	0.8779148285749694	43	36	48	44	0.3906741130022712	0.09571958584848497	37	30	20	32	0.9098642393356556	0.7905377817178647	15	15	13	11	0.9503252185929748	0.7789550972073565	15	15	9	11	0.9442448171662748	0.08055524979849396	73	54	18	25
X12P13.2.DEL	1.0	0.9999999999999999	63	16	74	18	0.8939508832502076	0.6458012370431669	52	15	43	9	1.0	1.0	23	7	19	5	1.0	1.0	23	7	16	4	1.0	1.0	102	25	35	8
X19Q13.32.DEL	1.0	1.0	70	9	82	10	0.9154026754194551	0.7964695117483177	58	9	44	8	0.9098642393356556	0.6203648367910299	27	3	23	1	0.9094962081814417	0.6411202778983933	27	3	19	1	1.0	1.0	113	14	39	5
X9Q.AMP	1.0	1.0	65	14	75	17	1.0	1.0	55	12	43	9	1.0	1.0	25	5	20	4	1.0	1.0	25	5	16	4	0.9932769168152971	0.4933997995327215	105	20	35	9
SV.MYC_SV.BCL2	1.0	1.0	79	0	91	1	0.709294974010512	0.4369747899159664	67	0	51	1	0.7746031746031747	0.4444444444444445	30	0	23	1	0.813333333333333	0.39999999999999986	30	0	19	1	1.0	1.0	126	1	44	0
X8Q24.22.AMP	1.0	1.0	51	28	59	33	0.9154026754194551	0.8480778580888881	44	23	33	19	0.7609553371402791	0.39402160556546645	19	11	18	6	0.9503252185929748	0.7634812806244481	19	11	14	6	0.9442448171662748	0.4489032737347864	85	40	25	16
X12P.AMP	1.0	1.0	61	18	71	21	0.7857483257355057	0.5414924561079502	50	17	36	16	0.9098642393356556	0.747732054273634	24	6	18	6	0.8163379949505196	0.5064197937797861	24	6	14	6	0.9442448171662748	0.2987697747300401	96	31	36	7
X10Q23.31.DEL	1.0	1.0	60	19	69	23	0.4780717303228556	0.21944276145967143	52	15	35	17	0.9098642393356556	0.7363449595012634	23	7	20	4	1.0	1.0	23	7	16	4	0.9442448171662748	0.06075396033168883	101	25	28	15
