DLBclass	A53	BN2	BN2/A53	BN2/EZB	BN2/EZB/N1/ST2	BN2/MCD	BN2/ST2	EZB	EZB/A53	EZB/MCD	EZB/N1	EZB/N1/ST2/A53	EZB/ST2	EZB/ST2/A53	MCD	MCD/A53	N1	Other	ST2	ST2/A53
C1	0.9999957322039477	8.825059417191187e-49	0.10112696562114482	0.10112696562114482	1.0	0.10112696562114482	0.5859790867362447	0.9999999974048097	1.0	1.0	1.0	1.0	1.0	1.0	0.999999229721525	1.0	0.798461379695254	0.9765645363966093	0.9931600207869059	1.0
C2	1.0272139884096038e-15	0.9999981710087434	0.5622151923669645	0.5622151923669645	1.0	1.0	1.0	0.9999316207990858	5.020183406686359e-06	1.0	0.24034334763948473	0.24034334763948473	1.0	0.24034334763948473	0.9999999108623818	0.9171271343893429	0.4447714917528952	0.003641975063619247	1.0	1.0
C3	0.99993584222411	0.9999999860588907	1.0	1.0	0.16309012875536466	1.0	1.0	5.86834079938898e-53	0.3761272057969196	1.0	1.0	1.0	0.014940667909368129	1.0	1.0	1.0	0.9194017533984432	0.9999852776959884	0.9779426006293972	1.0
C4	0.9982717794859557	0.999238733116703	1.0	1.0	1.0	1.0	0.01051916577608181	0.9837525916662437	0.9505733632024109	1.0	1.0	1.0	0.4651104361673316	1.0	0.9907829908329366	1.0	0.03892572940465967	0.34347785377622436	1.9022877203616477e-21	0.14449213161659502
C5	0.8368132298178119	0.9999999999272666	1.0	1.0	1.0	0.5865309099311269	1.0	0.9999999999999677	1.0	0.25464949928469227	1.0	1.0	1.0	1.0	1.2424741850812898e-34	0.00011035055592102665	0.9078081891730199	0.036375600765908477	1.0	1.0
