	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.44827298255044096	0.5739037341674433	1.0	0.9999447487149563	7.861585662872988e-24	0.6344165777055453	0.5095411823104578	3.762736363066671e-17	0.0001587398677713038	1.0	57	55	200	203	58	59	199	199	9	77	248	181	21	50	236	208	112	17	145	241
COO_GCB	0.999975305419696	0.45483020208149405	2.002764962923314e-22	0.007481391551816509	1.0	7.096700309412092e-05	0.6325872379484528	1.0	0.996495936308079	3.656431319457556e-16	19	93	144	259	38	79	125	273	67	19	96	333	32	39	131	313	7	122	156	230
COO_UNC	4.714532528361449e-05	0.6098257053835525	0.978021770968305	0.0765989226739479	0.9999715883632476	0.9999839058851151	0.4973375072503274	0.04664276546371251	0.9587627329610657	0.00010184607924672244	36	76	59	344	21	96	74	324	10	76	85	344	18	53	77	367	10	119	85	301
PLOIDY	0.9999999581726151	8.362450340818495e-23	0.9999828819240353	0.9293357501006343	0.9989905340815874	9.205425286840776e-07	1.0	0.00014783950140714495	0.14639964581185552	0.003094550934678022	1	113	67	369	51	76	17	406	2	93	66	389	6	69	62	413	8	131	60	351
