	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
OSBPL10	0.0028005290552834063	5.9585724580498005e-05	62	3	78	31	0.023307440979356785	0.0009918059991215653	58	3	28	12	0.5895370742746674	0.06271671002921994	30	2	18	6	0.6082440457288527	0.08682312517976667	30	2	14	5	1.0	0.40115872540205766	109	1	31	1
BTG2	0.01026853517900249	0.00043695894378734	59	6	74	35	0.023307440979356785	0.0005993270277837735	56	5	25	15	0.10783696158676338	0.002294403438016242	30	2	14	10	0.149106966989388	0.0031724886593486805	30	2	11	8	1.0	0.9999999999999999	104	4	29	1
IRF2BP2	0.010498682205481431	0.0006701286514137083	62	3	82	27	0.059976887526303535	0.005104415959685407	58	3	30	10	0.40628096900016974	0.034577103744695296	31	1	18	6	0.34729370008873106	0.022167682984387087	31	1	14	5	1.0	1.0	111	3	33	0
IPI_IntermediateHigh_3	0.01569543349281293	0.0013357815738564195	41	24	93	16	0.05683203812001916	0.0036275769012778184	37	24	35	5	0.14680138302287504	0.006246867362675533	15	17	20	4	0.45733942132127076	0.03892250394223581	15	17	15	4	1.0	0.04113845089759814	112	27	22	13
PLOIDY	0.06932461365236663	0.007374958899187939	65	0	98	11	0.1753371255492897	0.022383462836079535	61	0	36	4	0.735460898204678	0.17922077922077914	32	0	22	2	0.7959001782531195	0.3725490196078432	32	0	18	1	1.0	0.464260567607368	131	8	32	3
TOX	0.08157709281283379	0.010414096954829845	64	1	95	14	0.13815290660141116	0.01469711772355438	60	1	34	6	0.17432672149653278	0.011127237542331879	32	0	19	5	0.34729370008873106	0.015510204081632653	32	0	15	4	1.0	0.9999999999999999	126	1	33	0
IPI_High_45	0.2769213852567246	0.04124361057015047	58	7	106	3	0.8066006600660068	0.1416857998901136	54	7	39	1	0.735460898204678	0.21925747701552367	26	6	23	1	0.7593593630371007	0.23553945537511947	26	6	18	1	1.0	0.4227943603257176	132	7	32	3
ATP2A2	0.4275923469639386	0.08514273168530342	65	0	103	6	0.8066006600660068	0.1544554455445545	61	0	38	2	0.8057142857142859	0.42857142857142866	32	0	23	1	0.7959001782531195	0.3725490196078432	32	0	18	1	1.0	1.0	134	1	34	0
X6Q14.1.DEL	0.4275923469639386	0.09094239116694428	56	9	103	6	0.9679650521579923	0.5192722366168429	53	8	37	3	1.0	1.0	29	3	21	3	1.0	0.6585594459800572	29	3	16	3	1.0	0.7380834650532254	126	12	33	2
IRF4	0.4275923469639386	0.09097709509871034	61	4	92	17	0.8846305063182038	0.18821925666344763	57	4	34	6	0.735460898204678	0.12548008903169833	30	2	19	5	0.7020016702333105	0.17923446899573883	30	2	15	4	1.0	1.0	120	6	33	1
HLA.A	0.5129335438123481	0.12004827621140063	52	13	97	12	1.0	1.0	50	11	33	7	0.8057142857142859	0.32519541195102625	27	5	17	7	0.7593593630371007	0.2908184794610173	27	5	13	6	1.0	1.0	118	0	31	0
X1Q32.1.AMP	0.6416519254567582	0.16382602352087441	53	12	98	11	1.0	0.7897418172231977	50	11	34	6	0.735460898204678	0.200376066184742	23	9	21	3	0.9726236980772237	0.4966589096564546	23	9	16	3	1.0	0.7566836874271786	120	13	31	4
PIM2	0.8112998768370998	0.23046555580953143	60	5	93	16	0.9679650521579923	0.5115264074589272	56	5	35	5	1.0	1.0	30	2	22	2	1.0	1.0	30	2	18	1	1.0	1.0	121	7	32	1
CARD11	0.8112998768370998	0.24572980321422247	55	10	83	26	0.9679650521579923	0.4093570011588717	53	8	32	8	0.8057142857142859	0.38512591120804207	30	2	20	4	0.7959001782531195	0.3480796573948728	30	2	16	3	1.0	0.9999999999999999	111	2	27	0
PRDM1	0.8112998768370998	0.2589254926075851	54	11	82	27	0.9295397587133531	0.32593873732339534	50	11	29	11	0.9058946432206912	0.501133206888042	27	5	18	6	0.7593593630371007	0.2908184794610173	27	5	13	6	1.0	1.0	106	0	30	0
HLA.C	0.8965972888542947	0.333887454842654	59	6	104	5	0.9679650521579923	0.7002300377313136	56	5	38	2	1.0	1.0	29	3	22	2	1.0	1.0	29	3	17	2	1.0	1.0	128	0	35	0
CD79B	0.8965972888542947	0.3381827917033942	36	29	69	40	1.0	0.8386448740144211	35	26	24	16	0.8057142857142859	0.41836104374813154	19	13	11	13	1.0	0.5614239206665077	19	13	9	10	1.0	1.0	85	2	20	0
