	C1_p_greater	C2_p_greater	C3_p_greater	C4_p_greater	C5_p_greater	C1_p_less	C2_p_less	C3_p_less	C4_p_less	C5_p_less	C1_mut	C1_wt	!C1_mut	!C1_wt	C2_mut	C2_wt	!C2_mut	!C2_wt	C3_mut	C3_wt	!C3_mut	!C3_wt	C4_mut	C4_wt	!C4_mut	!C4_wt	C5_mut	C5_wt	!C5_mut	!C5_wt
COO_ABC	0.9827471426531915	1.9050593678412533e-21	0.9999999999855489	0.9933631477588829	0.23508698033140235	0.030902154188428135	1.0	1.1760593851409778e-10	0.01607112806870551	0.8338816876640642	38	50	149	120	75	3	112	167	10	52	177	118	15	27	172	143	49	38	138	132
COO_GCB	0.989791093368111	0.9999999999994256	4.199467393213389e-18	0.1188285212051221	0.9516788623398947	0.02149011850491665	2.394778049025169e-11	1.0	0.9374360527234504	0.08503526313861252	16	72	80	189	1	77	95	184	46	16	50	245	15	27	81	234	18	69	78	192
COO_UNC	4.775960541741237e-06	0.9999999720622161	0.9966278480912166	0.129985235577003	0.323526548194629	0.9999987502229508	3.9418607633955557e-07	0.010593774121795168	0.933894367970631	0.7753493312898616	34	54	40	229	2	76	72	207	6	56	68	227	12	30	62	253	20	67	54	216
PLOIDY	0.9998195377055195	0.9992054982168332	0.992985430235138	0.9258202871191402	8.100200039360132e-14	0.0010516992039379903	0.003973735115907007	0.026807488681584758	0.19002411459871663	0.9999999999999941	3	85	42	227	3	75	42	237	3	59	42	253	3	39	42	273	33	54	12	258
