epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
TrainingFold1	0.13300885893998493	0.11605412386154124	0.08981397164803091	0.07397035692218089	0.06157223531257166	0.04653821576382447	0.036393438780400265	0.030956960058875025	0.027878745146634604	0.02491922944132875	0.024617907167666916	0.02215257217699995	0.021318819442694183	0.02080759115051478	0.020380514386629234	0.019218551120904443	0.01861420207538118	0.018504647047013354						
TrainingFold2	0.13127902187067583	0.11050464224350344	0.08136161195712507	0.058557220394160926	0.045413522964135526	0.03709223162720154	0.03275294921993106	0.027219355017517467	0.02543253957130575	0.02398452524538364	0.02161178820112037	0.01995162700519951	0.020813769164765922	0.01903656524533654	0.017959497727937403	0.01762895461944277								
TrainingFold3	0.1346474721435119	0.11647767560048537	0.09277126022445208	0.07480688242728568	0.060483432020357046	0.04861969027710571	0.0403120930433612	0.03436710367836481	0.028448141589813698	0.025842641640734985	0.023682769952574744	0.022622794617001837	0.021617359865690973	0.020291276877701006	0.01867664141659175	0.018199847845326904	0.020560734153993756	0.01816269178972024	0.018154041565238997					
TrainingFold4	0.13393971636806698	0.10969697777181864	0.07798804782161659	0.05626951936230233	0.044473530531501056	0.035691052668103525	0.03146107328522538	0.028768928557110485	0.026689040707556573	0.024162226460347568	0.02310123337354691	0.022534191518140935	0.021828009697326872	0.02011615021676169	0.019494031059135025									
TrainingFold5	0.13767970320494735	0.1239103251452899	0.09229029933774498	0.06303781992229064	0.04825155904760997	0.04086108341822569	0.03682385111249756	0.030635240938929564	0.02966595214731808	0.026305925685093778	0.024008939983195476	0.022620859973493973	0.02187526244445948	0.020601388378720942	0.020285796950677514	0.018387440995487586	0.01830975446303278	0.01703105888027412	0.01780108424379057	0.01820810637728833	0.01711557382039583	0.01682970892951789	0.017715220335995333	0.01626232770605915
ValidationFold1	0.1250805697395458	0.10037184650128758	0.0766527644350185	0.06316957585849203	0.050233819708647626	0.04014494757352582	0.03295282757765538	0.039225142470116284	0.025085422182078095	0.029402617575927964	0.023748032380575063	0.024926490627065603	0.021881037970128057	0.022189842272226843	0.022680141308359585	0.020124376436059892	0.028004698128374462	0.018559502019244875						
ValidationFold2	0.12623492601487013	0.10464645885266699	0.07883310118304179	0.06370807092359944	0.057526370483190495	0.04810828658928339	0.04403892405402452	0.04249034748309888	0.0413090693334386	0.0406688443953507	0.04106105265348126	0.03941203684882714	0.03775766066974029	0.0391210206120426	0.03736563807569428	0.03314492130192701								
ValidationFold3	0.12215896742837923	0.10251150632629523	0.08012082421866891	0.06509713666631026	0.054357051769657445	0.04186018232910617	0.035819825212899094	0.030909220656581426	0.03142163396796195	0.03315062724527911	0.02495435673637559	0.025965197052731103	0.028101110745820234	0.026434412221099157	0.024693081671553496	0.029418368142967107	0.025341394252504583	0.02621432312626312	0.02355548121632383					
ValidationFold4	0.11911021421353023	0.08941506643083182	0.06122345558728452	0.04417224874854222	0.03482607438497514	0.030219962726019928	0.03497428369712555	0.026426734414312418	0.024050810868822475	0.023824930143320246	0.0237238615426667	0.025487009927379765	0.024443045290641126	0.0239682923451796	0.021239938111640176									
ValidationFold5	0.12806878665143306	0.10618012969021325	0.07314624417539653	0.05694936522962274	0.04927759866339264	0.04516219211477988	0.040606487248730554	0.039002257333187434	0.04011100470319155	0.03902729309996724	0.040848683695904574	0.04449359135338323	0.035020648207104356	0.036340268818307084	0.03066911700555031	0.031149460363890324	0.032373527585248765	0.02851127589481719	0.030355642254918977	0.028372415562337557	0.029405105151765695	0.036402733293233486	0.029711449705090518	0.028054422159576452
