	n	BN2	A53	EZB	ST2	MCD	N1	Ambiguous	Other
1_all	139	79	1	2	2	3	2	6	44
1_all_HC	106	68	0	1	0	2	2	5	28
1_all_LC	33	11	1	1	2	1	0	1	16
1_Chapuy	43	24	1	0	1	0	1	1	15
1_Chapuy_HC	34	22	0	0	0	0	1	0	11
1_Chapuy_LC	9	2	1	0	1	0	0	1	4
1_Schmitz	96	55	0	2	1	3	1	5	29
1_Schmitz_HC	72	46	0	1	0	2	1	5	17
1_Schmitz_LC	24	9	0	1	1	1	0	0	12
2_all	168	7	46	10	1	4	4	19	77
2_all_HC	126	6	40	7	1	2	3	13	54
2_all_LC	42	1	6	3	0	2	1	6	23
2_Chapuy	79	2	25	3	0	1	1	12	35
2_Chapuy_HC	59	1	20	1	0	0	1	10	26
2_Chapuy_LC	20	1	5	2	0	1	0	2	9
2_Schmitz	89	5	21	7	1	3	3	7	42
2_Schmitz_HC	67	5	20	6	1	2	2	3	28
2_Schmitz_LC	22	0	1	1	0	1	1	4	14
3_all	113	0	2	77	1	0	1	8	24
3_all_HC	90	0	2	68	0	0	1	7	12
3_all_LC	23	0	0	9	1	0	0	1	12
3_Chapuy	52	0	2	32	0	0	0	8	10
3_Chapuy_HC	42	0	2	27	0	0	0	7	6
3_Chapuy_LC	10	0	0	5	0	0	0	1	4
3_Schmitz	61	0	0	45	1	0	1	0	14
3_Schmitz_HC	48	0	0	41	0	0	1	0	6
3_Schmitz_LC	13	0	0	4	1	0	0	0	8
4_all	99	5	4	7	28	8	4	8	35
4_all_HC	62	3	1	4	24	5	1	4	20
4_all_LC	37	2	3	3	4	3	3	4	15
4_Chapuy	39	1	3	1	11	1	1	4	17
4_Chapuy_HC	27	1	1	1	10	1	0	2	11
4_Chapuy_LC	12	0	2	0	1	0	1	2	6
4_Schmitz	60	4	1	6	17	7	3	4	18
4_Schmitz_HC	35	2	0	3	14	4	1	2	9
4_Schmitz_LC	25	2	1	3	3	3	2	2	9
5_all	180	3	13	1	0	69	3	10	81
5_all_HC	140	2	8	0	0	65	1	9	55
5_all_LC	40	1	5	1	0	4	2	1	26
5_Chapuy	64	1	7	0	0	20	0	3	33
5_Chapuy_HC	44	0	5	0	0	17	0	3	19
5_Chapuy_LC	20	1	2	0	0	3	0	0	14
5_Schmitz	116	2	6	1	0	49	3	7	48
5_Schmitz_HC	96	2	3	0	0	48	1	6	36
5_Schmitz_LC	20	0	3	1	0	1	2	1	12
