	del_frac	amp_frac	muts
DLBCL10844	0.016772548914388962	0.1453994205143296	106
DLBCL_C_D_1129_NULLPAIR	0.0023619293024143583	0.07598657836086344	109
DLBCL10525	0.006390995377319406	0.06895218335659654	269
DLBCL11486	0.025335716933616154	0.0854502893915393	760
DLBCL10458	0.06563358813116106	0.1323717797901057	450
DLBCL_MC_F262_WLC	0.018844063779664882	0.020407738773424222	305
DLBCL11509	0.00014079429422015976	0.014455579456200988	96
DLBCL11443	0.04571532899003082	0.0126197245284006	283
DLBCL10972	0.04338947892954564	0.10705236786536508	457
DLBCL10986	0.05123276145971729	0.1045552218110388	892
DLBCL_RICOVER_451	0.025195395809856108	0.17143017265213079	189
DLBCL_LS378	0.04721967175701359	0.16698735997233138	100
DLBCL_C_D_1155_NULLPAIR	0.0011199296342471095	0.15235360353219063	252
DLBCL10546	0.01647531713485363	0.29299319082757874	476
DLBCL10462	0.01988222419294652	0.12624755784454547	480
DLBCL11652	0.11587618977308432	0.05198357713102092	77
DLBCL10495	0.04211726153363059	0.194772577472088	348
DLBCL_RICOVER_473	0.08123532475361565	0.2663738101899877	87
DLBCL_C_D_1156_NULLPAIR	0.0008913740594383907	0.003153229404830867	100
DLBCL11452	0.06093940069652674	0.032047933836378995	94
DLBCL10950	0.023514976573591587	0.25651573169979286	312
DLBCL11477	0.008646425998424734	0.11624698803941223	240
DLBCL11677	0.049761755061297826	0.18836198030967286	904
DLBCL_C_D_1123_NULLPAIR	0.055290985738311815	0.21756415210303115	113
DLBCL10935	0.0024649259276005022	0.07626426874540146	252
DLBCL11586	0.010951134586610796	0.0634400922481958	876
DLBCL11457	0.020504776496458897	0.12978202291890803	390
DLBCL11537	0.0134333214483438	0.003477401976942	236
DLBCL_RICOVER_290	0.038526947654362105	0.03924002566687938	333
DLBCL11506	0.01514493595884089	0.03209086737730675	330
DLBCL_LS1757	0.056095186824793114	0.004487239750552098	126
DLBCL_C_D_1114_NULLPAIR	0.038679885317726245	0.10033809711963082	239
DLBCL11461	0.0041100991754189214	0.016872473919330236	186
DLBCL11462	0.00846886037072763	0.020640710926961823	251
DLBCL11454	0.051269640021536514	0.2042087101163145	238
DLBCL10912	0.01580661167838043	0.13871544187689486	497
DLBCL11520	0.03880727895663739	0.07934115288409463	139
DLBCL11473	0.14576871334922112	0.013155174948148614	161
DLBCL_MC_F132_MLM	0.04236113132488177	0.0018187322308476968	220
DLBCL10918	0.026921761367891636	0.023003332256833254	349
DLBCL10969	0.09390945365089498	0.11639932543902114	339
DLBCL10897	0.0503468749310343	0.022936874333744594	363
DLBCL11508	0.05811034874271935	0.0016714681640438102	113
DLBCL_C_D_1130_NULLPAIR	0.11204169787447096	0.0449341133368044	267
DLBCL10975	0.04607048330067726	0.06102740346972736	491
DLBCL10928	0.03366635171494864	0.18736167225071412	686
DLBCL11205	0.0106619993481611	0.11172105496854165	315
DLBCL11676	7.770400586435485e-05	0.15318506298778234	145
DLBCL10953	0.0012119347682527932	0.0716192879188627	418
DLBCL11511	0.0014911274697547972	0.0024571000600203037	123
DLBCL10993	0.000266343208599737	0.0006320032551414331	261
DLBCL10996	0.03910047428714465	0.045320466034924074	242
DLBCL11470	0.01611775546076325	0.15098634684275264	451
DLBCL_MC_F648_JKW	0.11576801165211485	0.1766653151724222	110
DLBCL10509	0.10936538521280281	0.020050158469158117	317
DLBCL_RICOVER_181	0.38491225955343855	0.28681773554116985	179
DLBCL_RICOVER_977	0.018527542044412693	0.049205100995325844	201
DLBCL10931	0.0008942434882873958	0.05639805789281953	245
DLBCL_LS2978	0.05177330309203365	0.14873150986529915	179
DLBCL11191	0.022777508326538805	0.3837823821662111	468
DLBCL11681	0.0004735662572025353	0.06609506753074751	209
DLBCL10869	0.012711745662638508	0.0487330586911911	237
DLBCL10877	0.011636450801977645	0.1229206331007544	234
DLBCL10843	0.053940157112943685	0.05525939273682007	447
DLBCL_RICOVER_1144	0.03921070881363166	0.0013811244557661033	90
DLBCL_RICOVER_865	0.2445334146559387	0.18759703052039486	247
DLBCL_RICOVER_829	0.09341446424657954	0.236221750909722	226
DLBCL10542	0.007135255132625877	0.05580869712296449	901
DLBCL11496	0.01311209762460349	0.016534016767594698	487
DLBCL11501	0.038886499806251494	0.04480869088879781	760
DLBCL11512	0.09149092547601025	0.11315309162102621	6185
