	del_frac	amp_frac	muts
DLBCL11434	0.010255830486121423	0.17737137845495815	314
DLBCL10997	0.06255216387355426	0.0830031014660011	284
DLBCL_C_D_1128_NULLPAIR	0.014616331484294304	0.021088116795863344	132
DLBCL10945	0.035238387936910864	0.07874396465589573	299
DLBCL10957	0.015882259096854163	9.448328450955292e-05	129
DLBCL11472	3.1260373982370905e-05	0.0010140244243838832	236
DLBCL10488	0.07042298521104777	0.032816928030218635	609
DLBCL10875	0.030293160902114584	0.015993783026163954	276
DLBCL11539	0.0005079979248395206	0.0012737482532454816	298
DLBCL10490	0.0009625045919618203	0.20862589925846256	140
DLBCL_LS3809	0.010755524380280507	0.19654493426883632	78
DLBCL_LS4394	0.05119199286051662	0.16928098483914708	100
DLBCL10998	0.0017881705565271572	0.006121821168049411	215
DLBCL_RICOVER_694	0.0017178659613495543	0.032629614216377625	44
DLBCL11482	0.03948198750622108	0.0110049773306448	552
DLBCL10506	0.06568448054683403	0.33194761043309473	485
DLBCL11445	0.05117266467686956	0.05521748218194302	243
DLBCL11481	2.6285018151257156e-05	0.03624006690003618	82
DLBCL10966	0.027917851631949542	0.055749402691839846	402
DLBCL10515	0.011502413873043247	0.0646612499391698	292
DLBCL10942	0.0015129264157965458	0.2592253919559351	187
DLBCL11435	0.03924995217675396	0.06330921908033792	438
DLBCL_LS2154	0.00013691411147182954	0.03891075113140443	58
DLBCL10548	0.37284928913107734	0.026024556715047484	301
DLBCL11432	0.012005831057847909	0.0019537766326102085	293
DFCIDL010_DT	0.04275557972314781	0.04330992616509794	151
DLBCL_RICOVER_945	0.05374844286418533	0.05824854987882088	209
DLBCL10451	0.04943899118712656	0.22887503769320913	313
DLBCL11480	0.026058550575775014	0.03860325430804414	66
DLBCL_RICOVER_826	0.059772010062422824	0.023751804522201662	354
DLBCL_MAYO_DLBCL_5613	2.779862026391943e-05	0.24628909429561052	73
DLBCL10482	0.006403975988589034	0.11235837374529581	151
DLBCL11478	0.0017946326102063824	0.058278770925624404	160
DLBCL10896	0.009510816633267671	0.07223940082816967	115
DLBCL10913	0.033042869175465235	0.006353926321961855	348
DLBCL_C_D_1107_NULLPAIR	0.006382538462830839	0.10991790438560045	379
DLBCL10884	0.029436479739272513	0.04987631452839882	359
DLBCL11663	0.0016962365694704162	0.0004840813274155489	95
DLBCL11429	0.004163594049105657	0.027239770335488755	256
DLBCL11662	0.001843062104308648	0.0008641270743482542	242
DLBCL11671	0.10056080029586592	0.061523036482914975	367
DLBCL10450	0.06164221525828085	0.10414883205515184	771
DLBCL10914	0.06465230393792713	0.047985509411435666	474
DLBCL11474	0.05196458891070798	0.03153523119165838	750
DLBCL10994	0.00876730315860383	0.039404044759788766	396
DLBCL11430	0.04476548378623967	0.029987444421940047	257
DLBCL_LS2367	0.015393698243753643	0.1702690278880685	240
DLBCL_RICOVER_1150	0.06291968465678367	0.03898791643317101	104
DLBCL_RICOVER_910	0.00041987393542999976	6.824403031442243e-05	75
DLBCL11578	0.010041818235237046	0.024286146915097423	286
DLBCL10545	0.022763362905952433	0.06041580018986726	245
DLBCL_MC_F300_TBF	0.0394207575702094	0.15293943992800707	264
DLBCL_LS951	0.04443950572891575	0.20736423832858808	116
DLBCL10968	0.005973229350941215	0.03858683352916197	276
DLBCL11202	0.12685081814204385	0.052298257284950904	258
DLBCL10894	0.21231378792430491	0.259340510561074	188
DLBCL_MC_F307_JPS	0.00025576239420889343	4.0281269149633614e-05	6
DLBCL10959	0.040109325023454115	0.0698426215741991	343
DLBCL11488	0.044323528890772915	0.021600232764220607	580
DLBCL10492	0.1453626515292645	0.005543268081201508	645
DLBCL_C_D_1148_NULLPAIR	0.012506941711978819	0.0003123958800623415	305
DLBCL10531	0.018163389471299047	0.10777439461034435	198
DLBCL11519	0.0465898269104432	0.08918641385643297	777
DLBCL_LS3866	0.008160563039149379	0.00043010962870620843	265
DLBCL11659	0.03857557474578161	0.08434310264151629	399
DLBCL10927	0.002568057262110058	0.04431116701537241	334
DLBCL10971	0.030348190598923495	0.11150364789443207	88
DLBCL11523	0.018427921540888056	0.06112681577951809	376
DLBCL_RICOVER_338	0.006329284411291503	0.09294019774734388	192
DLBCL_C_D_1119_NULLPAIR	0.2360533366198133	0.17037273645615802	148
DLBCL11188	0.09666979241928568	0.17762622404456527	428
DLBCL11498	0.4840400472167962	0.38228359752025276	470
DLBCL10988	0.2059509207305952	0.20539167025670052	329
DLBCL_RICOVER_253	0.3107095141416772	0.43346816814928824	104
DLBCL_LS4054	0.03659320932002147	0.0693153764294733	47
DLBCL10834	0.36913509598625877	0.29437450183408237	194
DLBCL11203	0.42277911391339706	0.11862513538353375	412
DLBCL10911	0.1632978546256029	0.32785432540533394	190
DLBCL_LS146	0.24958970143490697	0.28357142629318816	184
DLBCL_C_D_1136_NULLPAIR	0.3149076258208286	0.5658260025589654	320
DLBCL11579	0.49071725818530676	0.09234868018769575	227
DLBCL_MAYO_DLBCL_7359	0.3429914904330143	0.282298268438678	131
DLBCL_C_D_1135_NULLPAIR	0.3836960201025061	0.38682011993316534	192
DLBCL11438	0.3666981912811252	0.12384412224973487	198
DLBCL11208	0.058665226243882235	0.15846841424564367	131
DLBCL_RICOVER_678	0.03588212367206405	0.05549419746354808	88
DLBCL_LS88	0.12566266240879304	0.15598232953986818	36
DLBCL10922	0.07337207350441517	0.12388291349382269	338
DLBCL10983	0.5014104653762154	0.16635573757302227	306
DLBCL10846	0.07675524516383914	0.27661466900612985	238
DLBCL10484	0.2698051285808044	0.2767538308646558	129
DLBCL10917	0.3330204297286869	0.33189989248335977	308
DLBCL_MC_F959_ERM	0.5120627445557011	0.4212407872898781	264
DLBCL10903	0.06290752569025337	0.37197648942964295	256
DLBCL_MC_F729_MAN	0.09133864710381587	0.16940799463274195	178
DLBCL_C_D_1131_NULLPAIR	0.24677978223739575	0.1899851247997532	187
DLBCL11565	0.35745306785408343	0.45893863787138034	327
DLBCL10507	0.41004362339367223	0.1538914351323599	356
DLBCL_RICOVER_107	0.1703984283174984	0.18301871687972804	146
DLBCL_LS3749	0.3312880824984888	0.36224758366394766	59
DLBCL10487	0.1328637479833478	0.1736864757881721	309
DLBCL11484	0.15603236123425418	0.09535526163173311	53
DLBCL10477	0.33691923958807396	0.4477030180638474	275
DLBCL10510	0.4089513603757056	0.096972405248859	388
DLBCL10850	0.3734183541412507	0.3528811016103184	341
DLBCL_LS2258	0.10908670227508262	0.0756224246480778	25
DLBCL_C_D_1126_NULLPAIR	0.050344469777023955	0.1450438428424915	171
DLBCL11577	0.2783737078552078	0.22763977911070474	568
DLBCL10494	0.27981212207420314	0.1169260739255476	257
DLBCL_RICOVER_533	0.32608211172007445	0.2631295799685879	111
DLBCL_RICOVER_174	0.28293356146191573	0.21383635416952324	98
DLBCL10502	0.042995248402721446	0.3233805204035433	171
DLBCL11679	0.32704303014518804	0.26527043507907944	186
DLBCL10528	0.5172356400277675	0.17035097712719993	336
DLBCL_RICOVER_948	0.1118024066407203	0.2350824356190177	252
DLBCL10981	0.17866169582056202	0.19213691039176678	219
DLBCL11503	0.15217808649121986	0.3086177593528355	224
DLBCL11456	0.11710696015808329	0.010418631094739965	115
DLBCL_RICOVER_623	0.05847054408511829	0.26956219852839375	271
DLBC_FF_8043_TP_NB	0.19329947964659905	0.21717900921836686	111
DLBCL10541	0.007957894994722613	0.10323125476030194	263
DLBCL10473	0.2539947901731432	0.18974621402052538	343
DLBCL11204	0.12953967438887015	0.058288319759069826	293
DLBCL_RICOVER_299	0.38428078767504226	0.3947093884497387	95
DLBCL_MC_F089_HCZ	0.31715844120334674	0.5125909781291714	231
DLBCL11466	0.002126779181449487	0.002426247176008323	83
DLBCL10480	0.28960624076560365	0.13132553736269345	812
DLBCL10933	0.04610211319969135	0.3476514244541962	173
DLBCL10517	0.16823418652670583	0.05144697074332487	81
DLBCL10907	0.09980860373737709	0.2110707354966161	416
DLBCL_MC_F502_RFK	0.45447626406258773	0.34535130584500573	179
DLBCL11446	0.01897862436383309	0.01813532448584721	109
DLBCL10483	0.1877881101262786	0.427896864933273	373
DLBCL10519	0.4964822496749316	0.10940494288454546	187
DLBCL11507	0.27915551769938635	0.3549080401167161	499
DLBCL11673	0.021110494889161113	0.07179059827617246	133
DLBCL_C_D_PAIR5	0.14129768214469432	0.16049688455933117	168
DLBCL_RICOVER_1235	0.3179189412107603	0.39222160791847327	122
DLBCL10845	0.3058157691464964	0.4072453973300679	310
DLBCL10859	0.2793663584712769	0.30188813027941197	291
DLBCL_C_D_1106_NULLPAIR	0.1215117074977202	0.20722304950629622	334
DLBCL_RICOVER_1169	0.005789496141660857	0.1131950605482075	44
DLBCL11661	0.22816776597548005	0.3834259357572339	463
DLBCL_LS3204	0.4225380751054982	0.3988573734630347	168
DLBCL_RICOVER_266	0.031779277864987965	0.1260054300958422	42
DLBCL_RICOVER_335	0.29290750248093683	0.2434772953975669	234
DLBCL_DFCI_DLBCL_GOE07	0.05102199755194611	0.26362191224355697	8
DLBCL11591	0.44498519846206125	0.1308786347496808	353
DLBCL11193	0.44837991185989073	0.20377966990628463	566
DLBCL10926	0.10856830769765734	0.08176408698467495	120
DLBCL_C_D_1108_NULLPAIR	0.4782026022314144	0.4177206367182875	192
DLBCL_LS1921	0.2382586441508597	0.35917096768009293	212
DLBCL_MC_F739_AMA3	0.46889225333064904	0.28188630524436464	194
DLBCL_RICOVER_1165	0.08472513884362397	0.14252648417853409	65
DLBCL10956	0.21902461497611947	0.13062271338912868	270
DLBCL_RICOVER_822	0.06543421904663738	0.20473474216195248	119
DLBCL_LS2089	0.3473354286165958	0.21286767195580256	60
DFCIDL003_DT	0.4430542971981668	0.4435745988695947	203
DLBCL11483	0.0022874995605359945	0.003274328831764121	19
DLBCL_RICOVER_839	0.07368630917019628	0.13721051116147137	53
DLBCL_RICOVER_496	0.11345847293437943	0.14283246184942908	60
DLBCL_C_D_1152_NULLPAIR	0.22059939672441214	0.37730807145844925	92
DLBCL10885	0.375126614389564	0.10027427094964929	294
DLBCL_C_D_1149_NULLPAIR	0.02344440627167526	0.042923205459802063	117
DLBCL11533	0.06473816740810753	0.12177639505600445	771
DLBCL10460	0.22186341087047684	0.049551006187915615	574
DLBCL11346	0.2757037918332862	0.3299832510115104	325
DLBCL11530	0.3456046345167086	0.2841181329575576	426
DLBCL10470	0.2741169300544482	0.0834814713497181	268
DLBCL10954	0.09573993296863019	0.1624288421730615	311
DLBCL10452	0.2261533224601013	0.12247338946544899	186
DLBCL_LS3245	0.29886512316625813	0.3774153786415185	140
DLBCL_RICOVER_288	0.22283023907826896	0.21012121587429491	96
DLBCL_RICOVER_126	0.25307545043299945	0.3080332278116339	112
DLBCL10934	0.16161801238196513	0.38099419252414607	360
DLBCL_LS1065	0.14009463521328233	0.11208010673737406	112
DLBCL_C_D_1117_NULLPAIR	0.09184604828791076	0.050354043948832215	286
DLBCL11562	0.13057206964044288	0.16500335201093488	278
DLBCL10453	0.21508629592231274	0.0895702014622442	236
DLBCL_LS3309	0.40512122774787424	0.316598138117809	220
DLBCL10989	0.04120807039896772	0.12436494557959107	183
DLBCL_RICOVER_1210	0.06019145247664632	0.12939207306399858	247
DLBCL10871	0.08619346230857232	0.14678163149613843	129
DLBCL10851	0.09410891249781475	0.2365044041250229	274
DLBCL11516	0.052924428955215846	0.1701804789217459	382
DLBCL_RICOVER_401	0.18273520920327682	0.2802984988489561	61
DLBCL_DFCI_DLBCL_GOE05	0.5901539146832212	0.26405598114912165	39
DLBCL11479	0.2565062464522468	0.07957551666436398	667
DLBCL10947	0.15092998758830756	0.20366192598720315	185
DLBCL_C_D_PAIR2	0.02591085273429837	0.17772134805187892	120
DLBCL_C_D_1105_NULLPAIR	0.06796002962785158	0.07997446308496949	203
DLBCL10962	0.053796759805907174	0.41043459997813164	174
DLBCL10538	0.14805628774242344	0.1747603129973666	227
DLBCL_RICOVER_478	0.0517533423670475	0.11701065542157507	89
DLBCL_MC_F210_GWC	0.04404512917626049	0.10392218965767248	193
DLBCL11684	0.14130581549178134	0.3121991295919658	447
DLBCL_MC_F500_ECU	0.060647782946228475	0.23985554643791332	52
DLBCL10461	0.4027056489881027	0.22310534315240768	620
DLBCL10849	0.1543365528641895	0.17767096930600673	284
DLBCL_LS1683	0.0991492084312684	0.1053318791308506	84
DLBCL_C_D_1118_NULLPAIR	0.15994973593036466	0.09930964886366822	200
DLBCL_MC_F496DMP	0.030863730065230896	0.15811753067320816	187
DLBCL11531	0.17475323464943715	0.1995453409237372	300
DLBCL_RICOVER_150	0.10897150639127544	0.15675844544606063	268
DLBCL11449	0.01833036546524663	0.3120704637975903	425
DLBCL_C_D_PAIR9	0.26811614336742634	0.14058563898404894	81
DLBCL10493	0.21166962037929177	0.13163995686285587	298
DLBCL10906	0.014061760757528234	0.28862125671859734	214
DLBCL_LS1546	0.06394381152517788	0.06301402561373465	52
DLBCL10780	0.19295897113828206	0.0824475198301116	122
DLBCL_RICOVER_583	0.032952746523323216	0.21903462317942593	79
DLBCL_RICOVER_763	0.12048938294598947	0.13301308160976433	40
DLBCL_C_D_1158_NULLPAIR	0.2923450109704261	0.26400780993769557	325
DLBCL10500	0.07952682965254063	0.06122111054529276	93
DLBCL11664	0.1175193792732213	0.35699262103712026	289
DLBCL_RICOVER_467	0.48271457130786555	0.3473561117527886	114
DLBCL_LS2245	0.24066423934793146	0.33429517891573696	105
DLBCL11003	0.04518031291309995	0.13353765654734975	338
DLBCL_MC_F990_MNA	0.4731053772954758	0.4395149092000449	242
DLBCL_RICOVER_1060	0.05008854898318199	0.09349883753266319	46
DLBCL11180	0.05239379539752047	0.2738710852544781	302
DLBCL_C_D_1138_NULLPAIR	0.0800735300409694	0.22926527936761898	231
DLBCL10503	0.0341358878627618	0.0820911467023326	109
DLBCL_RICOVER_787	0.14759872730580362	0.17691882329593586	541
DLBCL_LS4323	0.0006358511544813783	0.08530298612406861	73
DLBCL_C_D_PAIR23	0.3190968519659965	0.16911072349533368	238
DLBCL10874	0.21454564038355656	0.1036765350867803	155
DLBCL_LS1668	0.3785290671210837	0.275116080412575	142
DLBCL_C_D_PAIR22	0.04880369460994701	0.11908453389640822	146
DLBCL11436	0.008707942185165587	0.1660517477614266	427
DLBCL10524	0.33000000206931807	0.25733917066617334	477
DLBCL10873	0.4429048075512358	0.2176204919817474	393
DLBCL10985	0.03476821625378208	0.17762622637160755	246
DLBCL_RICOVER_577	0.02726226300473818	0.07034623333674171	238
DLBCL10465	0.03486953652334474	0.23745520886959612	433
DLBCL_DFCI_DLBCL_GOE16	0.0006791228157749709	0.11056000523916229	92
DLBCL11428	0.030236371234279306	0.10808783134775383	314
DLBCL11572	0.12558243950340292	0.10460934186244494	291
DLBCL11666	0.14583569729497994	0.05995497294574983	152
DLBCL11458	0.02011037281947316	0.20483226866366935	191
DLBCL11575	0.019039944788772124	0.32252098495582066	491
DLBCL10879	0.03357833654478901	0.1705817440091666	174
DLBCL10459	0.06196451760408114	0.07270946604405187	221
DLBCL_MC_F349_BJJ	0.027729378832372278	0.0037064862986027135	196
DLBCL_C_D_1127_NULLPAIR	0.036358790682994864	0.02688423583984757	168
DLBCL10464	0.0014338932715776554	0.06469648240184324	504
DLBCL11680	0.024348636213960415	0.09634584549781634	243
DLBCL11667	0.03219994147559255	0.10944011062798457	269
DLBCL_LS843	0.030673465171900973	0.0625771687451344	140
DLBCL10522	0.00023198413997537276	0.05398344538445369	58
DLBCL11585	0.03273349857488344	0.18462513578431636	646
DLBCL11670	0.5532011501111233	0.07692423090606187	365
DLBCL11541	0.06484220888539538	0.028250919541900534	211
DLBCL11669	0.016983680428670718	0.3148278518803499	246
DLBCL_C_D_1133_NULLPAIR	0.06450884176735508	0.18910914413691027	270
DLBCL11526	0.03862746575574136	0.0209451571592176	119
DLBCL11558	0.02519259917825192	0.12513743750238576	390
DLBCL_LS297	0.020657625080652567	0.06870212885555609	109
DLBCL11656	0.00014455228046587656	0.09066771894098473	292
DLBCL_RICOVER_384	0.31789445783066705	0.12847357727771727	141
DLBCL_RICOVER_744	0.020839548131517706	0.0983368363776623	221
DLBCL_LS4593	0.06045926104319707	0.134986523183598	106
DLBCL_RICOVER_1283	0.049415581079110066	0.07984883981603208	94
DLBCL_C_D_1157_NULLPAIR	0.02268654936199135	0.021878057433242414	177
DLBCL10555	0.008686969250586436	0.18547286279604577	356
DLBCL10472	0.008143283695867198	0.12175412959805959	151
DLBCL11685	0.05565145357639921	0.06774037486432012	372
DLBCL11569	0.0316538724681566	0.22549494271409656	314
DLBCL11566	0.15048565460356675	0.1084358563012567	379
DLBCL11651	0.0006555311620180651	0.04572989251445884	82
DLBCL_C_D_1141_NULLPAIR	0.04821571889453787	0.21066922763364976	228
DLBCL11542	0.15431540511339764	0.3080602450853102	189
DFCIDL009_DT	0.04566673024542652	0.3134414797692483	107
DLBCL_LS4618	0.0003187712831236774	2.8959993431031656e-05	116
DLBCL11584	0.000333191013098193	0.007966774007737525	852
DLBCL11675	0.012527804502374557	0.023089625513786342	244
DLBCL_LS1620	0.017673590115081905	0.04323156091539546	230
DLBCL_RICOVER_469	0.005746263001223487	0.001708521885263912	235
DLBCL_C_D_1113_NULLPAIR	0.00461465959804414	0.0057467448595718605	178
DLBCL_MC_F344_CJS	0.019176945997981493	0.10928546717521774	209
DLBCL10498	0.049847288712742605	0.1655571158559473	454
DLBCL_RICOVER_267	0.0008634991036045425	0.05300800993587473	167
DLBCL_LS3820	0.0038109524837812185	0.04615589884540185	62
DLBCL_RICOVER_1263	0.06162959137714825	0.15132841437325292	105
DLBCL11573	0.3926202372489314	0.04445423831958189	259
DLBCL10481	0.0551977874510631	0.2084761964814316	201
DLBCL_LS4616	0.12983980446682666	0.11705191414266859	196
DLBCL10995	0.0023153883284450887	0.12398999979795368	51
DLBCL_LS2305	0.1585067737574794	0.2523577963707358	164
DLBCL_C_D_1112_NULLPAIR	0.011414616190858163	0.12150889679093545	205
DLBCL_LS4592	0.09159594617829568	0.046790906929938	134
DLBCL_LS1098	0.027609174759264873	0.20028634002290596	233
DLBCL_MC_F358_WDS	0.003711005683263208	0.11742262617999841	241
DLBCL_MC_F362_MJB1	0.13076623592771833	0.08106964210645713	207
DLBCL10537	0.01434275607982767	0.048808842686094804	277
DLBCL10554	0.012924125055382589	0.008901957558692114	136
DLBCL_C_D_1110_NULLPAIR	0.007177249955648597	0.07890528619143915	140
DLBCL11563	0.035320345968716936	0.3181449544615753	233
DLBCL10514	0.07783212353551222	0.11336874110761787	379
DLBC_FF_8046_TP_NB	0.025443577599060727	0.05942293926142356	81
DLBCL_LS2599	0.1509535233087101	0.22198950651427438	147
DLBCL10536	0.01169120735825749	0.12180779924268699	225
DLBCL_RICOVER_440	0.311372064468532	0.2005864514830465	232
DLBCL11515	0.07411052877015743	0.18672988311788832	252
DLBCL10910	0.0292987129429519	0.07354492746918878	460
DLBCL_RICOVER_1269	0.06257687479503048	0.18722090673923888	116
DLBCL_RICOVER_269	0.29746022164768465	0.2971066370310674	96
DLBCL11469	0.00015674534164918615	0.147616088379987	26
DLBCL_RICOVER_320	0.0007114223521436452	0.03103266513781532	27
DLBCL_RICOVER_463	0.0036866659109689804	0.13972115407265392	90
DLBCL_MC_F606_DMJ	0.08438299763388177	0.08401643305852613	51
DLBCL_LS3615	0.031671903909313834	0.024291499224622124	62
DLBCL11672	0.0027440862322394705	0.16368131695229285	476
DLBCL_LS762	0.00032018810576429083	0.02814532363190163	39
DLBCL10466	0.04541617104933678	0.019893177727596578	134
DLBCL_RICOVER_1013	0.3547098453323752	0.23320562279994622	89
DLBCL_LS1395	0.06798605329393904	0.08507942935011295	63
DLBCL11439	0.0011868197944837127	0.025096306810210234	4362
DLBCL10518	0.002064085689825306	0.05947879231333436	388
DLBCL_MC_F815_BAT	0.10317663405404745	0.13668989552342387	204
DLBCL10523	0.04155243076903752	0.05155818649379871	208
DLBCL11441	0.020765556511770103	0.04796492094884248	167
DLBCL10512	0.055976183030800375	0.05958564895059071	412
DLBCL_LS2328	0.19872753660552417	0.08448849364622861	73
DLBCL_MC_F064AB	0.03972153083095825	0.04633932005899708	310
DLBCL11518	0.013227507853522849	0.21509972426934756	152
DLBCL11574	0.0005713521376374058	0.000750930283508736	36
DLBCL11559	0.2730775138282303	0.23313939520136945	223
DLBCL_RICOVER_216	0.00037256237697912896	0.027976490815757114	21
DLBCL_RICOVER_258	0.01332964343178793	0.0034389008094809176	228
DLBCL11525	0.0035654454969355014	0.0021329097017063325	150
DLBCL_LS155	0.0005775471321941987	0.03453526748637911	89
DLBCL11468	0.007177903725762197	0.029296626609635827	240
DLBCL11683	0.06450637052822664	0.08311656771381956	549
DLBCL11534	0.00013761789302228078	0.0009272281444227846	98
DLBCL_LS2325	0.1443061918621881	0.138247164317159	160
DLBCL11528	0.004450107157503407	0.08101645443861377	298
DLBCL10501	0.36217122286847614	0.3371179059581424	326
DLBCL10856	0.07729018422136287	0.16599532902236763	355
DLBCL11532	0.012403162645141895	0.062308099097847625	229
DLBCL_LS1304	0.0006019007378874373	0.060000054855060186	24
DLBCL_RICOVER_866	0.09207798040356277	0.14766019008744308	454
DLBCL10936	0.00016112498314297877	0.09275222267441595	198
DLBCL_RICOVER_522	0.03374455003783037	0.0882671225645881	149
DLBCL_LS3387	0.00447979774898556	0.06369849279206075	266
DLBCL11590	0.013930612487515736	0.08113423207308977	610
DLBCL10549	0.3294235659975462	0.14006513031261547	284
DLBCL_RICOVER_978	0.06085358456975076	0.08078834978957498	253
DLBCL_RICOVER_1046	0.12354984795758936	0.11718310977381753	77
DLBCL_RICOVER_208	0.21093595629344886	0.7031872019149238	208
DLBCL11455	0.0030453317185049726	0.05448570019169331	509
DLBCL_RICOVER_780	0.1460213968553174	0.268406919683531	256
DLBCL_RICOVER_408	0.510281128291834	0.3259933213242871	255
DLBCL11535	0.007654350436838939	0.0018000883096225553	117
DLBCL10974	0.005121482359300113	0.0025862283597794297	244
DLBCL10544	0.012773622821275895	0.00734847582953375	1064
DLBCL11571	0.02517513081682477	0.2232897110383442	509
DLBCL_RICOVER_1247	2.9466593640240527e-05	0.00019879578179072185	63
DLBCL11658	0.012725215358873884	0.09824205412035555	153
DLBCL_RICOVER_274	0.05479471041789462	0.09229111088497738	142
DLBCL11453	0.0013003191380314564	0.005194549282698641	356
DLBCL11660	0.011000559105421762	0.06417231334910674	388
DLBCL10955	0.020309839751971537	0.19781332471389992	204
DLBCL11196	0.026001422560948607	0.0008208920748150868	216
DLBCL_LS2357	0.0001802398924463109	0.00011861847409518849	135
DLBCL10539	0.042220822548385335	0.3602670441000399	483
DLBCL10456	0.0013408062223054058	0.10897920100869331	540
DLBCL_C_D_1153_NULLPAIR	0.10740877933278646	0.07750787207369203	75
DLBCL10469	0.00650391959094411	0.052598527466577505	308
DLBCL11459	0.0032524638628657317	0.06502526270380997	232
DLBCL11560	0.1350429747265766	0.14088038835440067	297
DLBCL10527	0.050050112417021946	0.008338951576124902	258
DLBCL10547	0.16978234829866923	0.09636953030506619	535
DLBCL_LS3499	0.00411236485089586	0.12285033471847981	199
DLBCL_RICOVER_148	0.03645008970245638	0.058228180554663465	61
DLBCL_C_D_1103_NULLPAIR	0.009811188766270516	0.048457010153751846	248
DLBCL_RICOVER_701	0.015853024946193884	0.057483045796609865	197
DLBCL_RICOVER_692	0.04072379451832298	0.11222409952075856	322
DLBCL11002	0.0019997719315363737	0.002508211037901403	166
