	n	ABC	GCB	unclassified	missing COO	missing IPI	p value (ABC vs GCB)
1_all	139	63	25	45	6	44	0.0045099167157358604
1_all_IPI low	43	18	8	16	1		0.03228925962771127
1_all_IPI low int	21	10	1	9	1		0.020959849228091174
1_all_IPI high int	20	8	4	5	3		1.0
1_all_IPI high	11	8	0	3	0		0.14601104741260507
1_Chapuy	43	23	7	7	6	10	0.004833162931948839
1_Chapuy_IPI low	10	6	1	2	1		0.051705795616070895
1_Chapuy_IPI low int	5	3	0	1	1		0.23170731707317083
1_Chapuy_IPI high int	10	4	2	1	3		0.6829852751641351
1_Chapuy_IPI high	8	5	0	3	0		0.12349501203990368
1_Schmitz	96	40	18	38	0	34	0.1865869619850325
1_Schmitz_IPI low	33	12	7	14	0		0.21101415529860676
1_Schmitz_IPI low int	16	7	1	8	0		0.12842674819996625
1_Schmitz_IPI high int	10	4	2	4	0		0.6195259430553532
1_Schmitz_IPI high	3	3	0	0	0		1.0
2_all	168	73	55	25	15	40	0.8377154199271951
2_all_IPI low	55	21	25	7	2		0.7333285400623507
2_all_IPI low int	31	15	9	4	3		0.4903446387008121
2_all_IPI high int	26	12	6	1	7		1.0
2_all_IPI high	16	9	1	4	2		0.3786429365962189
2_Chapuy	79	30	24	10	15	12	0.6316016198212948
2_Chapuy_IPI low	23	10	7	4	2		0.3949762781049471
2_Chapuy_IPI low int	16	7	5	1	3		0.7337176188474377
2_Chapuy_IPI high int	17	4	6	0	7		0.2974049640635842
2_Chapuy_IPI high	11	6	1	2	2		0.337143102855177
2_Schmitz	89	43	31	15	0	28	0.5907522434783052
2_Schmitz_IPI low	32	11	18	3	0		0.28698542447230946
2_Schmitz_IPI low int	15	8	4	3	0		0.7464483166743794
2_Schmitz_IPI high int	9	8	0	1	0		0.15886595582990232
2_Schmitz_IPI high	5	3	0	2	0		1.0
3_all	113	6	89	8	10	21	1.2616399663720011e-31
3_all_IPI low	36	1	30	2	3		3.261399654550637e-09
3_all_IPI low int	28	1	23	2	2		1.7423905736943742e-09
3_all_IPI high int	21	1	15	3	2		1.1027767389090935e-07
3_all_IPI high	7	0	4	1	2		0.0011123470522803097
3_Chapuy	52	1	39	2	10	4	3.4874350704697626e-14
3_Chapuy_IPI low	14	0	10	1	3		0.0007677350980114008
3_Chapuy_IPI low int	15	1	12	0	2		0.0004997129308695013
3_Chapuy_IPI high int	13	0	10	1	2		5.392620710153536e-05
3_Chapuy_IPI high	6	0	4	0	2		0.0058479532163742765
3_Schmitz	61	5	50	6	0	17	2.195456488551487e-18
3_Schmitz_IPI low	22	1	20	1	0		5.476458380730219e-06
3_Schmitz_IPI low int	13	0	11	2	0		7.283755726131894e-06
3_Schmitz_IPI high int	8	1	5	2	0		0.001553692730163317
3_Schmitz_IPI high	1	0	0	1	0		1.0
4_all	99	24	48	21	6	25	9.06768554656537e-06
4_all_IPI low	38	5	26	4	3		6.167079664081485e-05
4_all_IPI low int	23	5	10	6	2		0.08933944303753069
4_all_IPI high int	10	3	4	2	1		0.23667926887981544
4_all_IPI high	3	0	2	1	0		0.04516129032258079
4_Chapuy	39	6	20	7	6	5	0.001446853117502065
4_Chapuy_IPI low	16	1	10	2	3		0.005406134648496971
4_Chapuy_IPI low int	7	1	3	1	2		0.6060037523452159
4_Chapuy_IPI high int	8	3	3	1	1		1.0
4_Chapuy_IPI high	3	0	2	1	0		0.1000000000000002
4_Schmitz	60	18	28	14	0	20	0.0017465965841211993
4_Schmitz_IPI low	22	4	16	2	0		0.00701970255234959
4_Schmitz_IPI low int	16	4	7	5	0		0.09698460936045591
4_Schmitz_IPI high int	2	0	1	1	0		0.24324324324324267
4_Schmitz_IPI high	0	0	0	0	0		1.0
5_all	180	142	7	15	16	41	1.7992306921133583e-32
5_all_IPI low	56	41	3	5	7		6.946431872240642e-13
5_all_IPI low int	33	26	2	5	0		1.5034465865946473e-06
5_all_IPI high int	39	31	1	3	4		3.6024831296383295e-07
5_all_IPI high	11	7	0	1	3		0.1608278904385688
5_Chapuy	64	41	2	5	16	4	9.018220038691485e-12
5_Chapuy_IPI low	19	11	1	0	7		0.0009968660286274278
5_Chapuy_IPI low int	11	9	1	1	0		0.00886917960088691
5_Chapuy_IPI high int	23	16	0	3	4		6.440951281525039e-06
5_Chapuy_IPI high	7	3	0	1	3		0.5210526315789479
5_Schmitz	116	101	5	10	0	37	3.694722693892573e-21
5_Schmitz_IPI low	37	30	2	5	0		6.037369896699866e-10
5_Schmitz_IPI low int	22	17	1	4	0		0.0003683713155017013
5_Schmitz_IPI high int	16	15	1	0	0		0.05011011737439786
5_Schmitz_IPI high	4	4	0	0	0		1.0
