Sample	PrepType
DLBCL11507	FFPE
DLBCL10986	FFPE
DLBCL11509	FFPE
DLBCL11670	FFPE
DLBCL11457	FFPE
DLBCL10865	FFPE
DLBCL11488	FFPE
DLBCL10996	FFPE
DLBCL11491	FFPE
DLBCL10977	FFPE
DLBCL10911	FFPE
DLBCL11187	FFPE
DLBCL11515	FFPE
DLBCL10858	FFPE
DLBCL11683	FFPE
DLBCL10843	FFPE
DLBCL10907	FFPE
DLBCL11470	FFPE
DLBCL10984	FFPE
DLBCL11432	FFPE
DLBCL10502	FFPE
DLBCL10488	FFPE
DLBCL10968	FFPE
DLBCL11437	FFPE
DLBCL10451	FFPE
DLBCL11662	FFPE
DLBCL10889	FFPE
DLBCL10837	FFPE
DLBCL10904	FFPE
DLBCL10956	FFPE
DLBCL11460	FFPE
DLBCL11353	FFPE
DLBCL10874	FFPE
DLBCL10862	FFPE
DLBCL10936	FFPE
DLBCL10452	FFPE
DLBCL10961	FFPE
DLBCL10467	FFPE
DLBCL10450	FFPE
DLBCL10964	FFPE
DLBCL10487	FFPE
DLBCL11483	FFPE
DLBCL10890	FFPE
DLBCL10459	FFPE
DLBCL11456	FFPE
DLBCL11433	FFPE
DLBCL10844	FFPE
DLBCL10972	FFPE
DLBCL11676	FFPE
DLBCL10918	FFPE
DLBCL10950	FFPE
DLBCL10878	FFPE
DLBCL11541	FFPE
DLBCL10887	FFPE
DLBCL10553	FFPE
DLBCL10503	FFPE
DLBCL10838	FFPE
DLBCL10932	FFPE
DLBCL10891	FFPE
DLBCL11591	FFPE
DLBCL11429	FFPE
DLBCL10954	FFPE
DLBCL10860	FFPE
DLBCL10924	FFPE
DLBCL11473	FFPE
DLBCL10564	FFPE
DLBCL10867	FFPE
DLBCL10541	FFPE
DLBCL11496	FFPE
DLBCL11681	FFPE
DLBCL11510	FFPE
DLBCL10951	FFPE
DLBCL11569	FFPE
DLBCL11493	FFPE
DLBCL10509	FFPE
DLBCL10552	FFPE
DLBCL11664	FFPE
DLBCL11534	FFPE
DLBCL10931	FFPE
DLBCL10555	FFPE
DLBCL10494	FFPE
DLBCL11523	FFPE
DLBCL11484	FFPE
DLBCL10983	FFPE
DLBCL11671	FFPE
DLBCL10973	FFPE
DLBCL10851	FFPE
DLBCL11663	FFPE
DLBCL10495	FFPE
DLBCL10935	FFPE
DLBCL10868	FFPE
DLBCL10462	FFPE
DLBCL10833	FFPE
DLBCL10916	FFPE
DLBCL10963	FFPE
DLBCL10903	FFPE
DLBCL10847	FFPE
DLBCL10871	FFPE
DLBCL11476	FFPE
DLBCL10781	FFPE
DLBCL11447	FFPE
DLBCL10836	FFPE
DLBCL10835	FFPE
DLBCL11428	FFPE
DLBCL10879	FFPE
DLBCL10997	FFPE
DLBCL10469	FFPE
DLBCL11655	FFPE
DLBCL10910	FFPE
DLBCL11516	FFPE
DLBCL11527	FFPE
DLBCL11477	FFPE
DLBCL10550	FFPE
DLBCL11498	FFPE
DLBCL11434	FFPE
DLBCL10484	FFPE
DLBCL11481	FFPE
DLBCL10471	FFPE
DLBCL10485	FFPE
DLBCL11001	FFPE
DLBCL10486	FFPE
DLBCL10995	FFPE
DLBCL10928	FFPE
DLBCL10945	FFPE
DLBCL11191	FFPE
DLBCL11449	FFPE
DLBCL11346	FFPE
DLBCL10885	FFPE
DLBCL11472	FFPE
DLBCL11511	FFPE
DLBCL11448	FFPE
DLBCL11482	FFPE
DLBCL10842	FFPE
DLBCL10981	FFPE
DLBCL10780	FFPE
DLBCL10515	FFPE
DLBCL10834	FFPE
DLBCL11436	FFPE
DLBCL11469	FFPE
DLBCL11539	FFPE
DLBCL10523	FFPE
DLBCL11439	FFPE
DLBCL10870	FFPE
DLBCL10519	FFPE
DLBCL11188	FFPE
DLBCL10453	FFPE
DLBCL10458	FFPE
DLBCL10900	FFPE
DLBCL10888	FFPE
DLBCL11458	FFPE
DLBCL11440	FFPE
DLBCL10483	FFPE
DLBCL11430	FFPE
DLBCL10554	FFPE
DLBCL10876	FFPE
DLBCL10456	FFPE
DLBCL11478	FFPE
DLBCL10549	FFPE
DLBCL11658	FFPE
DLBCL10530	FFPE
DLBCL10497	FFPE
DLBCL11673	FFPE
DLBCL10548	FFPE
DLBCL10875	FFPE
DLBCL11680	FFPE
DLBCL10529	FFPE
DLBCL10457	FFPE
DLBCL11558	FFPE
DLBCL10472	FFPE
DLBCL10853	FFPE
DLBCL11667	FFPE
DLBCL11464	FFPE
DLBCL10912	FFPE
DLBCL11204	FFPE
DLBCL10480	FFPE
DLBCL10547	FFPE
DLBCL11518	FFPE
DLBCL11196	FFPE
DLBCL10544	FFPE
DLBCL10896	FFPE
DLBCL10966	FFPE
DLBCL10970	FFPE
DLBCL11526	FFPE
DLBCL10461	FFPE
DLBCL11565	FFPE
DLBCL11679	FFPE
DLBCL11479	FFPE
DLBCL10527	FFPE
DLBCL10566	FFPE
DLBCL11466	FFPE
DLBCL11542	FFPE
DLBCL10846	FFPE
DLBCL10517	FFPE
DLBCL10971	FFPE
DLBCL11205	FFPE
DLBCL10491	FFPE
DLBCL10850	FFPE
DLBCL11194	FFPE
DLBCL11666	FFPE
DLBCL10967	FFPE
DLBCL11435	FFPE
DLBCL10532	FFPE
