PercentTrain	trainingloss	validationloss
0.029	0.13731337285795303	0.12716176793784703
0.03	0.1374078482304784	0.1297853972326527
0.031	0.1318571979571041	0.11788016299272437
0.032	0.1411222510531986	0.1311246917188704
0.033	0.1341416022583804	0.12343811084021314
0.034	0.13144223981217218	0.11998372626499278
0.036	0.13586543434040324	0.12451081639910866
0.037	0.13324547812148235	0.12347448115200697
0.038	0.13545210384949385	0.12613713151584718
0.04	0.13379838680867445	0.1240687367171912
0.042	0.13497463289309128	0.12324065194247068
0.043	0.13426136040973524	0.12252569190721518
0.045	0.13259673580225484	0.12137800361803805
0.048	0.13365665133697777	0.12284139109485066
0.05	0.13364263302661464	0.12257005376120401
0.053	0.13414158011090152	0.12231713402632767
0.056	0.13320895680415054	0.12127270317516163
0.057	0.11760600738404262	0.10490009260179287
0.059	0.13434727225865226	0.12280689750967173
0.061	0.1235072084998881	0.1126496177670118
0.062	0.1298853469869424	0.11797436005413904
0.065	0.1174298979698389	0.1045849880052579
0.067	0.1319492469262102	0.12020504755571906
0.069	0.10810725667112403	0.09512899313247886
0.071	0.13060407397578205	0.1183898655585725
0.074	0.1138072368373233	0.10069149158693642
0.077	0.13092459096239195	0.11950849520015042
0.08	0.11173381665415826	0.1011678406649881
0.083	0.12633584110884177	0.11450492300186046
0.086	0.09517886046363817	0.08277528333637088
0.087	0.11140932349058186	0.09801576709634881
0.091	0.11849162070429714	0.10646679356459289
0.094	0.08285567507665083	0.06960260875204256
0.095	0.11299194547330725	0.09980282338029478
0.097	0.0890989141095353	0.0815317571448447
0.1	0.11701113117533653	0.10478672606070254
0.103	0.08492032931403362	0.07455560474432077
0.105	0.11206268043831027	0.09769518586670305
0.107	0.08432907504818304	0.07435000324677728
0.111	0.11178444620858355	0.09861498784982933
0.114	0.07485475994985948	0.065401464055695
0.115	0.08741948020268202	0.08072133519071865
0.118	0.11233630937839609	0.09801723443050306
0.12	0.08659722240845731	0.07587429843219702
0.121	0.0833910951221531	0.0742967954778053
0.125	0.10286588346340697	0.09141350440671232
0.129	0.0676882645297702	0.0676064049313264
0.13	0.08757992496557435	0.07772347275734044
0.133	0.10749454428250799	0.09423684004946999
0.136	0.0870965443935818	0.07748607034217625
0.138	0.06726781427520098	0.060689012358108724
0.143	0.09717645010229467	0.08574180557214924
0.148	0.07116051632131025	0.06594709778769503
0.15	0.09107007147777325	0.08066349743269714
0.152	0.0720491935615427	0.0714954825638382
0.154	0.1061420798750994	0.09422797409197049
0.156	0.05093644717793422	0.04809225181470042
0.158	0.08703401480832544	0.07538977471369637
0.16	0.06459436083027204	0.05935492609211622
0.161	0.0525943983801277	0.0566432886832469
0.167	0.09062331121042352	0.0801997708053063
0.171	0.04908019764608687	0.04679673551219965
0.172	0.053616494248630554	0.050873120141798706
0.174	0.06901787986390398	0.06371430084429183
0.176	0.08744436054448874	0.07644088412926474
0.179	0.05201470937902932	0.052495522089491264
0.182	0.08361950338094255	0.07553447435704382
0.185	0.058641973956580856	0.05321049863733376
0.188	0.08181192733696356	0.07337763903383931
0.19	0.06893932824093864	0.06253606522745145
0.192	0.05579625746923585	0.05644704389993871
0.194	0.0421354356996188	0.051845440496313
0.2	0.07935625658481275	0.07056267123800535
0.207	0.044536032573581276	0.04297361105794122
0.208	0.058334136821584004	0.055426610939911
0.211	0.06792298849810195	0.060539284518451184
0.212	0.0551914693078618	0.0517528119522172
0.214	0.08183813216093722	0.07258064660851538
0.217	0.0559755352918096	0.054201601985380474
0.219	0.03896318373180134	0.03888974294002448
