PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.829	0.0157546707528564	0.02090813385621	(0.8,0.84]	0.84
0.833	0.0210459664138596	0.0274294635207834	(0.8,0.84]	0.84
0.837	0.011837517205598	0.0334026864645368	(0.8,0.84]	0.84
0.838	0.017186540405572	0.0212837793904847	(0.8,0.84]	0.84
0.839	0.0156772219994494	0.0244590187639427	(0.8,0.84]	0.84
0.84	0.0161587175274796	0.0247426102826774	(0.8,0.84]	0.84
0.842	0.0186025951877688	0.0254519257501772	(0.84,0.88]	0.88
0.844	0.0147282610863768	0.0235379995762655	(0.84,0.88]	0.88
0.846	0.0206794678322286	0.0286163941072829	(0.84,0.88]	0.88
0.848	0.0136024552781595	0.0223742171407609	(0.84,0.88]	0.88
0.85	0.0170470963529138	0.0265548837155187	(0.84,0.88]	0.88
0.852	0.0162627005143842	0.0234530948098249	(0.84,0.88]	0.88
0.853	0.0127307078474253	0.0244702193039561	(0.84,0.88]	0.88
0.857	0.0195436467329583	0.0264121595498081	(0.84,0.88]	0.88
0.86	0.0120530253313967	0.0261910537119547	(0.84,0.88]	0.88
0.862	0.0160408547419515	0.024532748700884	(0.84,0.88]	0.88
0.864	0.0166651165363919	0.0254148814478564	(0.84,0.88]	0.88
0.865	0.0165541532136814	0.0243267771871355	(0.84,0.88]	0.88
0.867	0.0202370089569561	0.0287599010234003	(0.84,0.88]	0.88
0.87	0.0161063367277885	0.0254970110842866	(0.84,0.88]	0.88
0.871	0.0150227819785534	0.0247053236392552	(0.84,0.88]	0.88
0.875	0.0194471979264042	0.0273867256818548	(0.84,0.88]	0.88
0.879	0.0138516970771312	0.0236528649505365	(0.84,0.88]	0.88
0.88	0.0159234835240743	0.0245207277390306	(0.84,0.88]	0.88
0.882	0.0189219530885511	0.0264043310449347	(0.88,0.92]	0.92
0.884	0.0120239947076146	0.0252868439217439	(0.88,0.92]	0.92
0.885	0.0163133557893105	0.0229835017523891	(0.88,0.92]	0.92
0.886	0.0142310250607496	0.0196412687049425	(0.88,0.92]	0.92
0.889	0.0194203014778049	0.0270354304697007	(0.88,0.92]	0.92
0.892	0.0152774310859586	0.022831426517184	(0.88,0.92]	0.92
0.893	0.0145192821960032	0.0256414362167227	(0.88,0.92]	0.92
0.895	0.0180452591230101	0.0261056172286387	(0.88,0.92]	0.92
0.897	0.0150636631981663	0.0236263055073778	(0.88,0.92]	0.92
0.9	0.0203951792666973	0.0283662151808331	(0.88,0.92]	0.92
0.903	0.0151833273146123	0.0250203010359493	(0.88,0.92]	0.92
0.905	0.0169771374334813	0.0254545794843459	(0.88,0.92]	0.92
0.906	0.0139564292459405	0.0220920192555349	(0.88,0.92]	0.92
0.907	0.011451449146442	0.0271410391270105	(0.88,0.92]	0.92
0.909	0.0200445700786539	0.027048522231781	(0.88,0.92]	0.92
0.912	0.0126528479634943	0.0239281527020856	(0.88,0.92]	0.92
0.913	0.0159292296277742	0.0256941819419221	(0.88,0.92]	0.92
0.914	0.0146672675085051	0.017823173479623	(0.88,0.92]	0.92
0.917	0.0206857876216485	0.0280818271546837	(0.88,0.92]	0.92
0.919	0.0157851824172591	0.0202215335229344	(0.88,0.92]	0.92
0.92	0.0154643428764169	0.0247451325171726	(0.88,0.92]	0.92
0.923	0.0194889854569767	0.0281720699108838	(0.92,0.96]	0.96
0.925	0.0124691374124494	0.0263687658862181	(0.92,0.96]	0.96
0.926	0.015568434899233	0.0241685621902273	(0.92,0.96]	0.96
0.929	0.0194361609498273	0.0267717930797979	(0.92,0.96]	0.96
0.93	0.0106065151517535	0.0317162510799399	(0.92,0.96]	0.96
0.931	0.0140343930471536	0.0266880155817748	(0.92,0.96]	0.96
0.933	0.0192956187221091	0.0285451296583338	(0.92,0.96]	0.96
0.935	0.0147868820298187	0.0267281020180689	(0.92,0.96]	0.96
0.938	0.0187907360790702	0.0276313906741485	(0.92,0.96]	0.96
0.939	0.0125957181830521	0.0233989375687429	(0.92,0.96]	0.96
0.941	0.0181627890131272	0.0255654653270132	(0.92,0.96]	0.96
0.943	0.0143333877062155	0.0209888299410911	(0.92,0.96]	0.96
0.944	0.0178410128554286	0.0255646585041066	(0.92,0.96]	0.96
0.946	0.0162596601515905	0.0222063014561756	(0.92,0.96]	0.96
0.947	0.0176554414460557	0.0257370699885259	(0.92,0.96]	0.96
0.95	0.015974778273564	0.0265210197100992	(0.92,0.96]	0.96
0.952	0.0166302892605141	0.0243041208623228	(0.92,0.96]	0.96
0.953	0.0118984818581253	0.0288813316309252	(0.92,0.96]	0.96
0.955	0.0156233746370249	0.0255937301540208	(0.92,0.96]	0.96
0.957	0.0156136168008921	0.0260621032844284	(0.92,0.96]	0.96
0.958	0.0159221077208964	0.0223345323762951	(0.92,0.96]	0.96
0.96	0.0152452859136605	0.0247941342211017	(0.92,0.96]	0.96
0.962	0.0157090646827691	0.0235577981425122	(0.96,1]	1
0.963	0.0150959245531938	0.024315187770407	(0.96,1]	1
0.964	0.0151190229835969	0.0243791546992947	(0.96,1]	1
0.966	0.0146249884822222	0.0251588402600841	(0.96,1]	1
0.967	0.0131681747163184	0.0242542463487812	(0.96,1]	1
0.968	0.0145115943028813	0.0259447301880299	(0.96,1]	1
0.969	0.0133591696172768	0.0228070104321968	(0.96,1]	1
0.97	0.0127362847645979	0.0243910225457446	(0.96,1]	1
0.971	0.0134368243766409	0.0203278823261522	(0.96,1]	1
0.973	0.0154506872911575	0.023938842876175	(0.96,1]	1
0.975	0.0113170579149399	0.027747080508074	(0.96,1]	1
0.977	0.0110075765321751	0.0261572936846537	(0.96,1]	1
1	0.0181231899461208	0.0236144834982464	(0.96,1]	1
