PercentTrain	AverageTrainLoss	AverageValidationLoss
0.04	0.134718626325544	0.12353718356449
0.08	0.122214829216678	0.109808193557615
0.12	0.0948721723459169	0.0836707091119627
0.16	0.076019126043363	0.0678517911484696
0.2	0.0617218234329082	0.0569536567278184
0.24	0.0506610017515492	0.0483128876399044
0.28	0.0411248503375688	0.0419040650410595
0.32	0.0391771569727224	0.0399150733546955
0.36	0.0304751403363406	0.0345616663260852
0.4	0.0301275726395776	0.0339671652399164
0.44	0.0279234991836492	0.0316242420197733
0.48	0.0252277720869492	0.0312781144114114
0.52	0.0206581905087899	0.0287144499176952
0.56	0.022175804034372	0.0292918603982206
0.6	0.0218398508851706	0.0282509622487483
0.64	0.0194410062423828	0.0270648686326516
0.68	0.0183467271789614	0.0274059396817319
0.72	0.0190000281857273	0.0264163726530474
0.76	0.0176613780191425	0.0258905730427265
0.8	0.0170700788504174	0.0254382046134679
0.84	0.0165603099078047	0.0257179087308958
0.88	0.0163943659359191	0.0253254949510994
0.92	0.016048048391814	0.0245320399522624
0.96	0.0158287639803881	0.0258519234138292
1	0.0141276584741454	0.0243533517907963
