pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DLBCL_C_D_1150_NULLPAIR	DLBCL-c_D_1150-Tumor	NULL-DLBCL-c_D_1150	1.964429
DLBCL_C_D_1151_NULLPAIR	DLBCL-c_D_1151-Tumor	NULL-DLBCL-c_D_1151	1.969864
DLBCL_C_D_1152_NULLPAIR	DLBCL-c_D_1152-Tumor	NULL-DLBCL-c_D_1152	3.497901
DLBCL_C_D_1153_NULLPAIR	DLBCL-c_D_1153-Tumor	NULL-DLBCL-c_D_1153	1.900516
DLBCL_C_D_1154_NULLPAIR	DLBCL-c_D_1154-Tumor	NULL-DLBCL-c_D_1154	2.044599
DLBCL_C_D_1155_NULLPAIR	DLBCL-c_D_1155-Tumor	NULL-DLBCL-c_D_1155	2.079574
DLBCL_C_D_1156_NULLPAIR	DLBCL-c_D_1156-Tumor	NULL-DLBCL-c_D_1156	1.987451
DLBCL_C_D_1157_NULLPAIR	DLBCL-c_D_1157-Tumor	NULL-DLBCL-c_D_1157	1.981136
DLBCL_C_D_1158_NULLPAIR	DLBCL-c_D_1158-Tumor	NULL-DLBCL-c_D_1158	3.927349
DLBCL_C_D_1159_NULLPAIR	DLBCL-c_D_1159-Tumor	NULL-DLBCL-c_D_1159	2.031829
DLBCL_C_D_1162_NULLPAIR	DLBCL-c_D_1162-Tumor	NULL-DLBCL-c_D_1162	1.988700
DLBCL_C_D_1163_NULLPAIR	DLBCL-c_D_1163-Tumor	NULL-DLBCL-c_D_1163	1.984889
DLBCL_C_D_1166_NULLPAIR	DLBCL-c_D_1166-Tumor-SM-5MRP2	NULL-DLBCL-c_D_1166	2.063987
DLBCL_C_D_PAIR13	DLBCL-c_D_pair13-Tumor-SM-671HH	DLBCL-c_D_pair13_NULL_Normal	1.956565
DLBCL_C_D_PAIR2	DLBCL-c_D_pair2-Tumor-SM-671H2	DLBCL-c_D_pair2_NULL_Normal	2.114925
DLBCL_C_D_PAIR20	DLBCL-c_D_pair20-Tumor-SM-671HV	DLBCL-c_D_pair20_NULL_Normal	2.111735
DLBCL_C_D_PAIR22	DLBCL-c_D_pair22-Tumor-SM-671I5	DLBCL-c_D_pair22_NULL_Normal	2.021236
DLBCL_C_D_PAIR23	DLBCL-c_D_pair23-Tumor-SM-671I9	DLBCL-c_D_pair23_NULL_Normal	3.744101
DLBCL_C_D_PAIR5	DLBCL-c_D_pair5-Tumor-SM-671H9	DLBCL-c_D_pair5_NULL_Normal	1.914042
DLBCL_C_D_PAIR9	DLBCL-c_D_pair9-Tumor-SM-671HJ	DLBCL-c_D_pair9_NULL_Normal	4.011915
DLBCL_DFCI_DLBCL_GOE05	DFCI_DLBCL_Goe05-Tumor	DFCI_DLBCL_Goe05-Normal	2.208176
DLBCL_DFCI_DLBCL_GOE07	DFCI_DLBCL_Goe07-Normal	DFCI_DLBCL_Goe07-Tumor	1.996090
DLBCL_DFCI_DLBCL_GOE08	DFCI_DLBCL_Goe08-Tumor	DFCI_DLBCL_Goe08-Normal	2.030000
DLBCL_DFCI_DLBCL_GOE16	DFCI_DLBCL_Goe16-Tumor	DFCI_DLBCL_Goe16-Normal	2.110000
DLBCL_DFCI_DLBCL_GOE17	DFCI_DLBCL_Goe17-Tumor	DFCI_DLBCL_Goe17-Normal	2.000000
DLBCL_LS1065	DLBCL-Ls1065-Tumor	DLBCL-Ls1065-Normal	1.960000
DLBCL_LS1098	DLBCL-Ls1098-Tumor	DLBCL-Ls1098-Normal	2.200000
DLBCL_LS1304	DLBCL-Ls1304-Tumor	DLBCL-Ls1304-Normal	2.060000
DLBCL_LS1395	DLBCL-Ls1395-Tumor	DLBCL-Ls1395-Normal	1.980000
DLBCL_LS146	DLBCL-Ls146-Tumor	DLBCL-Ls146-Normal	4.180000
DLBCL_LS148	DLBCL-Ls148-Tumor	DLBCL-Ls148-Normal	2.020000
