arm	chrn	start	xEnd	x1	x2	significant_deletion	significant_amplification
1p	1	0	125000000	1	125000001	0	0
1q	1	125000000	249250621	125000001	249250622	0	1
2p	2	0	93300000	249250621	342550621	0	0
2q	2	93300000	243199373	342550621	492449994	0	0
3p	3	0	91000000	492449994	583449994	0	1
3q	3	91000000	198022430	583449994	690472424	0	1
4p	4	0	50400000	690472424	740872424	0	0
4q	4	50400000	191154276	740872424	881626700	0	0
5p	5	0	48400000	881626700	930026700	0	1
5q	5	48400000	180915260	930026700	1062541960	0	1
6p	6	0	61000000	1062541960	1123541960	0	1
6q	6	61000000	171115067	1123541960	1233657027	1	0
7p	7	0	59900000	1233657027	1293557027	0	1
7q	7	59900000	159138663	1293557027	1392795690	0	1
8p	8	0	45600000	1392795690	1438395690	0	0
8q	8	45600000	146364022	1438395690	1539159712	0	0
9p	9	0	49000000	1539159712	1588159712	0	0
9q	9	49000000	141213431	1588159712	1680373143	0	1
10p	10	0	40200000	1680373143	1720573143	0	0
10q	10	40200000	135534747	1720573143	1815907890	0	0
11p	11	0	53700000	1815907890	1869607890	0	1
11q	11	53700000	135006516	1869607890	1950914406	0	1
12p	12	0	35800000	1950914406	1986714406	0	1
12q	12	35800000	133851895	1986714406	2084766301	0	1
13p	13	0	17900000	2084766301	2102666301	0	0
13q	13	17900000	115169878	2102666301	2199936179	0	1
14p	14	0	17600000	2199936179	2217536179	0	0
14q	14	17600000	107349540	2217536179	2307285719	0	0
15p	15	0	19000000	2307285719	2326285719	0	0
15q	15	19000000	102531392	2326285719	2409817111	0	0
16p	16	0	36600000	2409817111	2446417111	0	0
16q	16	36600000	90354753	2446417111	2500171864	0	0
17p	17	0	24000000	2500171864	2524171864	1	0
17q	17	24000000	81195210	2524171864	2581367074	0	0
18p	18	0	17200000	2581367074	2598567074	0	1
18q	18	17200000	78077248	2598567074	2659444322	0	1
19p	19	0	26500000	2659444322	2685944322	0	0
19q	19	26500000	59128983	2685944322	2718573305	0	1
20p	20	0	27500000	2718573305	2746073305	0	0
20q	20	27500000	63025520	2746073305	2781598825	0	0
21p	21	0	13200000	2781598825	2794798825	0	0
21q	21	13200000	48129895	2794798825	2829728720	0	1
22p	22	0	14700000	2829728720	2844428720	0	0
22q	22	14700000	51304566	2844428720	2881033286	0	0
Xp	23	0	60600000	2881033286	2941633286	0	0
Xq	23	60600000	155270560	2941633286	3036303846	0	0
Yp	24	0	12500000	3036303846	3048803846	0	0
Yq	24	12500000	59373566	3048803846	3095677412	0	0
