epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
TrainingFold1	0.1315838138372999	0.10355409867551228	0.08038430747078502	0.06391299468014372	0.05022863756076403	0.040326801795017006	0.03093626425116744	0.027912714529769775	0.025055953166335947	0.02218390477548266	0.021332624602894625	0.02020533000791874	0.019379506140259482								
TrainingFold2	0.13838530812573732	0.12378736969363581	0.09701204669910031	0.07205654189185767	0.052668542472289234	0.0386690121703062	0.03113697743698836	0.027083835963123734	0.023480149892244725	0.02139810919414268	0.02173209547165703	0.020186895405746898									
TrainingFold3	0.13313858615742488	0.10693566126071594	0.07700560887619345	0.056376777416814794	0.044058245096080514	0.037271735950807024	0.031533800425875766	0.029074034610080575	0.02705206572123147	0.026367154862699946	0.024322937766886422	0.023791220314954196	0.021864038460030728								
TrainingFold4	0.13300637163373888	0.11699919288982204	0.10405581438588718	0.08615760249508093	0.06799923893050533	0.057654299889691174	0.04862036323141837	0.04167205606832205	0.03620785847108266	0.03224247262381279	0.029821502880261665	0.026543261555444276	0.024815790920799875	0.022535915116034685	0.021886207735065773	0.019424766792122235	0.020117547756076534	0.019153821021754662	0.018331686570183713	0.017552563722961836	0.018212036722125336
TrainingFold5	0.13551545817388128	0.117653211553442	0.09313016677511292	0.0681663520457181	0.052308290478314076	0.04196545378593686	0.03385092528606449	0.02874451956597928	0.024566381407624564	0.02258832149537611	0.02135687560668506	0.020983764319746478	0.01928390107493968	0.017270822680017457	0.01794821450206803	0.017837106836846466	0.0168190940475311	0.016707738411056543	0.01668923559257017	0.015484725453753768	
ValidationFold1	0.11620862249817167	0.09016190435171925	0.07102449175103434	0.058908327777836736	0.046283848816528916	0.04209288556843863	0.03729113336573521	0.03287340764966627	0.03202790095071707	0.030835862595267827	0.02918487294716345	0.029692830702905276	0.028202451887149697								
ValidationFold2	0.13141657628252038	0.11018679876412664	0.08390249306934752	0.0642027293548121	0.04650790318763549	0.039024384869013114	0.03508991197200625	0.030991895582701545	0.029035534798042915	0.02718540520384392	0.029667085141357217	0.026114524490757112									
ValidationFold3	0.11883844375344259	0.08750613321483668	0.06053281419943752	0.048577247788281444	0.03685602849249595	0.0346334891738869	0.029218340300888355	0.034834615219941564	0.02866182411993837	0.03145434433619292	0.0266066761411951	0.028381769325538438	0.02337748032368836								
ValidationFold4	0.12157552614475467	0.10809112494877939	0.09417622787545302	0.07461043527499507	0.06004521085248728	0.05358332594499059	0.04505146672818228	0.037296111078051454	0.03384341759790134	0.03322637338819082	0.027077137037849752	0.02725493420283393	0.024324077724096633	0.027465580378053085	0.02213117898177838	0.0324547094853967	0.021237660902053385	0.023222223652347957	0.021436412531199624	0.022641479079019127	0.02004734403037998
ValidationFold5	0.12337492602611226	0.10325593251868018	0.08044059412454121	0.05901899769170476	0.047960515782636194	0.038220440702778954	0.03628045108572613	0.02892383497341403	0.03001992292515102	0.027618933231029326	0.02658035737684778	0.02694908209481842	0.025029213098085683	0.0275613384585865	0.025631818214865883	0.023150232270771603	0.021926853420934225	0.021792765989500498	0.023228056927889287	0.02104695226340222	
