epoch	0	1	2	3	4	5	6	7	8	9	10	11	12
TrainingFold1	0.13497840417506488	0.10902531038476451	0.08364184079351558	0.06734335392747567	0.055394228564821964	0.046183439040743665	0.03817829626110557	0.0314420963133596	0.026664135914102417	0.02468554724251573	0.023449630069213634	0.022494089567356587	
TrainingFold2	0.1295873708895711	0.10741037198666967	0.08253965551322136	0.05945764467595378	0.04524594974218272	0.03366158770690068	0.029890095489020066	0.02485872247684079	0.024964133129961118	0.023316755777944606	0.020278806069669322	0.020117033201912608	
TrainingFold3	0.13459011304446242	0.11220293539491567	0.08635632016230374	0.06410318227823485	0.052681216031355275	0.04635725789968009	0.03863582376639401	0.03122772989511511	0.026448026675180616	0.023469859187290158	0.02212450929179216	0.020565099836312585	0.019855311935217203
TrainingFold4	0.13802947065964036	0.11888295666329445	0.09750182646835674	0.07807877220851189	0.06174631730195076	0.045657245100944675	0.03547900431085158	0.0293698973603686	0.026959851241349548	0.02310267583886267	0.02346669128027379	0.021042593310285115	0.02047256386671622
TrainingFold5	0.13569059568916644	0.11633986503526367	0.09178839619713941	0.06353858640265748	0.04554135674306263	0.03588015591352756	0.03019076800637571	0.026139519751354805	0.023886535450899384	0.022087733601578154			
ValidationFold1	0.124294343604041	0.09929078240280173	0.07903024058655969	0.06527199388282108	0.053339126120720594	0.044552587338590195	0.03777439236416415	0.03077010673899037	0.028776782696825518	0.032188292808444076	0.0306229854457862	0.022822125454175484	
ValidationFold2	0.11838066032422441	0.09435844173588391	0.06587997368270797	0.050217251314149634	0.040324814465878135	0.033151327585593596	0.02966238148604004	0.028595394019898128	0.030274073727403965	0.027222468572810094	0.02705044614646925	0.023501320523791946	
ValidationFold3	0.12010549773861255	0.09658842350888465	0.07289614996573489	0.058587411896691526	0.05117974961051784	0.048171744101897014	0.04042192363080436	0.03522313861633718	0.03253826447949645	0.03008288084518946	0.029242952128957507	0.02917095235989109	0.027242537816294186
ValidationFold4	0.12182629419424172	0.10042206424155406	0.08038706987697099	0.06500435433450288	0.05026413514445137	0.038697199089386104	0.03243419006841058	0.03157392326154097	0.022661312173503183	0.02913769036422309	0.024080225743091432	0.02198168640955243	0.020996279782983556
ValidationFold5	0.1247289169114083	0.10515502717212907	0.07633684555600796	0.05541222876802619	0.042509067949140444	0.03457171461195685	0.030298238523495717	0.028940657853256977	0.02601777349549853	0.025571102852674294			
