epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
TrainingFold1	0.13004162504877811	0.11216327995402084	0.09069203645241826	0.06840590526855904	0.05338737230347129	0.04202540250033668	0.033281548802696216	0.028085132049488065	0.024678500232177245	0.022279002126633213	0.02156722112833873	0.019857677873080494	0.018370542664492298	0.018225363941009202																						
TrainingFold2	0.12783255994506604	0.09372712425666953	0.0693070659666388	0.05359128461874903	0.04599775749752998	0.03790365945779059	0.03310805933384526	0.027538638849289778	0.024594234945973837	0.022956631724801706	0.02101531204651375																									
TrainingFold3	0.1382083944341337	0.1191479842601852	0.09105382504957643	0.07148517907269045	0.05716543085608547	0.04596728997077497	0.03700608591303039	0.03187014582164755	0.02851316153616856	0.026076598770636006	0.02413298966613101	0.022673490604409544	0.02278562383044945	0.021069117327748577	0.020139747697943345	0.019871564669830893	0.018732484612502792	0.018692529006594585	0.018645418048485723	0.017484042061402184	0.018534892425850557	0.017710584352368063	0.01667892812485496	0.01639472407458181	0.017293920347914205	0.015767037233635248	0.01568867328475831	0.016599333151882754	0.015162520493457909	0.015822092408640485	0.015239485251745257	0.015588646624463432	0.015166858290209265	0.01525140178355183	0.014306360276634678	0.01523699716069173
TrainingFold4	0.13410502471148023	0.11375617585620101	0.10012825191561597	0.07916837613902936	0.06081679080615069	0.04937281121411139	0.041194286386169864	0.03583496716744615	0.03207098552429217	0.028273935561808027	0.027316776140601705	0.025075204834954967	0.024847539779286654	0.02369544781357947	0.02258358594082146	0.020274441781118004	0.02058876538961028	0.018064419306185606	0.01833244506352187	0.0176317542047602	0.01675899892217451	0.017829980556315916	0.017467428853516487													
TrainingFold5	0.13345301020637626	0.11319559222146262	0.084748854814308	0.06408002790341752	0.048940432210541354	0.03811820624243443	0.030070412968289596	0.027185453037068676	0.024491878194069148	0.022489489881415026	0.020183607957996712	0.018912369227924435	0.018791708493244685	0.019528176705892897	0.018100346268704624	0.01761121126302353	0.01684187314805054	0.016590802344416265	0.016686501925563195	0.01618177340481769																
ValidationFold1	0.12122587962741298	0.1057884022260883	0.08032750636006572	0.06234609650813842	0.05120397422745425	0.04094800850517848	0.036012922849165206	0.02958122141561554	0.029372197018216997	0.027837822225202608	0.02791656899379242	0.026591066841189916	0.030271419216660433	0.024841534107768633																						
ValidationFold2	0.11016564708136554	0.08312401388372694	0.06416935314856735	0.05593275240555938	0.046217548116276576	0.03975454111059662	0.03667884822061751	0.03285116797321409	0.02913432259291377	0.030712468930037824	0.026958512433858623																									
ValidationFold3	0.12462836600440953	0.10050776850299112	0.07831513909124103	0.06673012140838962	0.05355709414080983	0.04803299837138703	0.0428409741143696	0.043031768287099634	0.03930688704297479	0.03516320469446198	0.03143297594215255	0.031783883499364105	0.03107056304777091	0.030598736515717713	0.029651835016920813	0.028194916077544412	0.025921716587488066	0.025923143028454172	0.025087538388626335	0.026312275384563173	0.029236342769114083	0.025037493888053826	0.027145132205467753	0.024682337823053655	0.024489454807215743	0.02612025250216123	0.025268638683233542	0.0242434446848035	0.02537492935503646	0.02417224452528899	0.02521755966803799	0.02719913441783969	0.025029863847521483	0.024015006939407613	0.02393311976408898	0.023129958911600364
ValidationFold4	0.12062606095735516	0.10393266665882298	0.08845096966251731	0.06998462252418644	0.05883421977029814	0.04987374822043681	0.04375620432620053	0.03792255451948482	0.03765555439219627	0.0354482776934414	0.03637399854622864	0.03164294051436757	0.029046963802621967	0.028833260136577468	0.02816118443700231	0.030148310675680738	0.030578908518821533	0.028136456987600207	0.02683219335553336	0.026292330408718305	0.028920341584385563	0.024215916876918136	0.023461828193831025													
ValidationFold5	0.12284391393352832	0.09677176169186298	0.07457181509484404	0.053056992985407954	0.04173529673633831	0.03302712316092636	0.028814303038026474	0.024332325895686933	0.02439799098387344	0.02093700110786553	0.02280147343299177	0.02270750219213369	0.02404608618689963	0.019144146949007075	0.019841310211502008	0.018009417130347823	0.019558358793671817	0.02332339162174841	0.018881784293885824	0.017767549450452082																
