epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
TrainingFold1	0.12813997962703444	0.10190353142820537	0.08044874960169639	0.06821702445695628	0.059380608928691785	0.05176121339076475	0.045550952772354734	0.03985783991911002	0.038287445982560925	0.03713567814386777	0.03536659865843432	0.03220268371876448	0.03095987235947053	0.029008979451633696	0.027698676790222133	0.028862402369597816	0.02532848255217371	0.023682261455950825	0.02112226245971875	0.019999977773332917	0.020846652835897237	0.018468109623103225	0.019329799636758568	0.017466636639716718	0.017923192421429403	0.016142699243615118	0.01738553616829848	0.015051263382029242	0.015651044113015714	0.01585320416929229	0.015794192224422833	0.014549438099775673	0.014582867472864193	0.015441387062891653	0.014971930513339641	0.013942675991774565	0.014557029571999227
TrainingFold2	0.13657203951854777	0.11765165304964523	0.0881396873073402	0.0695605722085227	0.055468981370121954	0.04716495178697699	0.04096225868570587	0.03657031958752496	0.03254080914408562	0.029882569244828346	0.02597708677104515	0.024851171006390227	0.022680315305876646	0.02140032369797256	0.019164788686721543	0.018107989381779738	0.01786730008900955	0.016938225479772927	0.01602721927941571	0.016309691828168802	0.01579040301012542	0.014866286822721194															
TrainingFold3	0.13252974727445027	0.10156296342822978	0.07231171520172873	0.054336660406658084	0.04262054364874281	0.03500670201690148	0.030136195016331673	0.026919293537701543	0.025249078973733546	0.0223710709286851	0.024206979234639384	0.020918518044312474	0.020328597792930933	0.02107588106396592																							
TrainingFold4	0.13257743762024676	0.10900835658670688	0.08311334296072624	0.0631522038136345	0.048383104404257166	0.0390453287846432	0.03148164839484854	0.027046871459604688	0.024561446345920196	0.021669488898351737	0.02000271969502834	0.019812357717084374	0.018937277778876997	0.017861838849049426	0.017580427168952955	0.016873118882573025	0.016782573450512733	0.015785743928075687	0.01687333093392317																		
TrainingFold5	0.13633304266301216	0.10976601293420091	0.08244298571168668	0.0648165568235284	0.05497903324457147	0.04613982476462606	0.03720286190541402	0.028795260482607832	0.026639822115768718	0.023074983416085146	0.022158789117038315	0.020849361388016453	0.019157806370956234	0.01906904573151968	0.017753610126892784	0.017602017723306766	0.017733850649650718	0.016387402305883363	0.016543614607860337	0.015750750430953916	0.017927604250559042	0.015468658439944629															
ValidationFold1	0.11416433369075614	0.08231141311781746	0.06590850569773465	0.05697065117419697	0.0521184789041789	0.045141533956796466	0.04643647298092089	0.04036260977175386	0.0569810172725868	0.042142772229064054	0.046018903869220855	0.04351391099252006	0.036447171448214376	0.03774508006400928	0.038339644305649144	0.03641369346171684	0.03114584383885293	0.03151990961357244	0.0319138787882756	0.02810217522190734	0.028434475712336798	0.026607465588313062	0.026253056215344777	0.02896993504171925	0.02663656884708741	0.02665300602322012	0.02456271717450623	0.026760377322586595	0.02402739888202632	0.025409793685217404	0.02518651611340569	0.02301101475625598	0.026035164702469565	0.024347329402709356	0.024223902387218135	0.023661466917214317	0.022424701061286863
ValidationFold2	0.131067441210949	0.10802164479225342	0.09042331274499052	0.07788939892530575	0.06780670463090896	0.06497344714339956	0.05721826440276345	0.05800102008340348	0.050940456802761346	0.04678389886248624	0.04560483329987619	0.045013610269961646	0.04428826546895185	0.04479067754462968	0.03861346390164856	0.04091967174904961	0.04128661307056193	0.03887824623520179	0.03640190814647732	0.03580260913622624	0.038982700407359516	0.033312321126166874															
ValidationFold3	0.11380379933065601	0.08079538352987063	0.06464275953060548	0.049729740080822794	0.04123463569599802	0.03620707731793767	0.036500557584596596	0.030721258992083937	0.030502920951611095	0.03126730039574405	0.029039025033723322	0.031400060947427325	0.029073390267123096	0.026679169646350993																							
ValidationFold4	0.11493889232432204	0.08856859105539375	0.06767777905250634	0.05389444621895174	0.04436733953272259	0.037473395628954416	0.03325829874354115	0.030569298439201833	0.027587995530276594	0.029985514111363694	0.02708091940439772	0.02606155528623536	0.02620212742476724	0.02700551261867596	0.028724764692015015	0.02374722718611468	0.0258723748930996	0.024231219135409838	0.022937191714715612																		
ValidationFold5	0.11855200127631958	0.09146862445465688	0.06767910635348276	0.058676820335676894	0.04806278747439917	0.03945686559226098	0.031591389904081425	0.03143537627901034	0.025288441223113165	0.028694524640741292	0.025351426256487945	0.024568932449515808	0.024104112688291934	0.022223185477871863	0.022885426622971345	0.022436895224927866	0.022792487067038434	0.021752781769984204	0.02034818947036651	0.023565022621109426	0.020315474284871016	0.019474711129337914															
