epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
TrainingFold1	0.13268700542702386	0.10873184427533929	0.08361915286766476	0.06475201957820825	0.05379206512376377	0.04683377904781315	0.042118807230251055	0.038239886304873925	0.03429151350671115	0.031080479713047313	0.0283502614162554	0.026823741221985435	0.025413841203099103	0.02388832411965617	0.022558802086241985	0.02106784698090247															
TrainingFold2	0.1313758104496502	0.1069840317876301	0.08379123104494363	0.0687125897457174	0.05815282927302046	0.05221434953571605	0.047502835889522976	0.04419456325258724	0.04077315564078527	0.037436368409279046	0.03618425628751652	0.034521323906900554	0.03269159071468843	0.03086658259365784	0.029753396634950146	0.02807209232107658	0.027350381691224133	0.026497534745116135	0.027741434512148635	0.024089787874333954	0.023987334890724403	0.02287049926818743	0.021395808614308866	0.022037568259668024	0.020097119371583875	0.019337029032016256	0.019067396100788565	0.018942577710543182	0.018484185492084002	0.017361866812603106	0.01775075537743615
TrainingFold3	0.13314217221076516	0.11452496279115704	0.09157871115021407	0.0698497545788996	0.05778198261448944	0.051316756012701345	0.045187816065101125	0.0430325328303628	0.037212223211694935	0.03302981726195536	0.027437574072709223	0.024375832594391383	0.02278596200604542	0.02220388732953738	0.019421277430890106	0.019679398470907473	0.019189131469267356	0.017762249967927347	0.01779345258721812	0.01622843326344578	0.0147474413870937										
TrainingFold4	0.13797710964333715	0.12488002628679314	0.10205259948309993	0.08190081998401759	0.0722311554205247	0.06162455868738326	0.04913944682362965	0.03886063489534992	0.031263973000575526	0.027406351201161278	0.02389004548680029	0.022279399437771776	0.01992236788400719	0.020445500129574853	0.019138431713825683	0.01774833050945918	0.017483220793487787	0.015861339134223156	0.01597650947591806												
TrainingFold5	0.1388687125883356	0.12655083832596492	0.10242967277225866	0.07176487295091893	0.053997910793815905	0.04490784619359628	0.037635934674254794	0.03308141032708977	0.028979341544545935	0.026399281555317906	0.024798926031277556	0.02239994368672885	0.02314427153105169	0.021713044312326932																	
ValidationFold1	0.12108745562311794	0.0942386014836042	0.07298949545448911	0.05791347965714522	0.04773902327620557	0.043686828655024455	0.03979347436896725	0.03512081961837664	0.034870878655056003	0.030606630819550316	0.0290517731856588	0.027932599132327596	0.02876869171034611	0.025260497890485567	0.027645264260822193	0.02402567271903016															
ValidationFold2	0.12404180098591107	0.09613856281586257	0.07383640019023525	0.06293280436407908	0.054421308051262586	0.04893147706752643	0.04822983148291574	0.04332760103196571	0.03973156950191229	0.037260832623100475	0.03729366322347362	0.0348397557676695	0.031572597945601695	0.02974000520251658	0.02842343287868841	0.026676363435918966	0.026013133165439024	0.030453457960642742	0.026808095239435455	0.025749163219058704	0.02234767633438293	0.02438252177502623	0.0215107242126708	0.020706265488505387	0.02833069373809849	0.020722878920423682	0.020059091022760964	0.017848251784536324	0.0169226488203224	0.019018334510292334	0.016757360285477522
ValidationFold3	0.11592114859792803	0.09613020954254482	0.07301041921268084	0.05972933044124927	0.051003496224958714	0.046006864858749656	0.04454346421126892	0.040493691033848984	0.03668168347706212	0.030324367846593044	0.03188696753724279	0.027342509603581026	0.0331159642680307	0.022037408781346	0.02593439832344302	0.026042836596388952	0.0207886948194625	0.02314570099692251	0.02312161878424896	0.022049582861135213	0.020157458570143456										
ValidationFold4	0.12726162962748536	0.11008515621402434	0.08709192608616181	0.07451030389971233	0.07177732065818938	0.05954827802738042	0.04909688654671689	0.043049118304874616	0.038042959485859944	0.0338319896925116	0.035781691980706194	0.03186392565216271	0.0345650541114862	0.0318530205316035	0.03536278506830318	0.03759557670491631	0.02840806823353757	0.027140552138916973	0.02665617017399719												
ValidationFold5	0.12832905717992357	0.11232765938621014	0.08097029728482344	0.05621560054299023	0.04430845331600202	0.04421828928752802	0.03309649608231017	0.02770580701326253	0.030778511989670472	0.02551426738500595	0.0261303810865294	0.03336517478705251	0.025814134682280252	0.02103457226348837																	
