	u1	u2
DLBCL_RICOVER_478	1.8244743	6.6353
DLBCL10513	4.931421	8.659318
DLBCL10846	2.913228	5.9876633
DLBCL10833	6.856426	4.2418203
DLBCL10456	6.967465	7.508109
DLBCL_LS951	5.873721	10.382407
DLBCL10891	6.761306	5.55344
DLBCL11479	3.3383927	7.736542
DLBCL_MAYO_DLBCL_3653	4.7222757	9.731952
DLBCL10981	1.669248	5.1535916
DLBCL10894	1.8127623	5.9125333
DLBCL10914	3.9276998	8.6596
DLBCL_RICOVER_1045	6.1613665	9.854852
DLBCL10868	7.532033	3.829608
DLBCL11429	7.412247	9.534872
DLBCL10836	7.2758517	4.094453
DLBCL_RICOVER_985	5.9968433	7.945879
DLBC_FF_8046_TP_NB	4.210349	9.606958
DLBCL10544	6.880256	6.979736
DLBCL11661	1.2731816	5.9683547
DLBCL11520	7.480742	9.44686
DLBCL10879	6.4419193	5.6074815
DLBCL10547	6.9717283	7.3621726
DLBCL10835	7.563804	2.9356723
DLBCL_RICOVER_950	5.37364	8.396851
DLBCL11564	6.961771	7.4978237
DLBCL11459	6.622238	7.4987917
DLBCL10494	1.3275809	6.260307
DLBCL10866	7.4911995	3.8569283
DLBCL10536	3.9448888	8.393042
DLBCL_MC_F500_ECU	2.5642033	6.0709815
DLBCL_C_D_1108_NULLPAIR	0.27201346	5.545811
DLBCL11481	4.7620826	9.766302
DLBCL11539	5.435581	9.475431
DLBCL_LS1921	0.18227047	5.8042164
DLBCL11507	0.85263306	4.9135737
DLBCL_LS1395	2.1456606	8.95834
DLBCL11461	5.3593416	9.859783
DLBCL_MC_F815_BAT	1.2165444	9.522462
DLBCL10950	6.7812414	10.518896
DLBCL_RICOVER_1287	4.813184	6.3506846
DLBCL_MC_F606_DMJ	1.8972678	8.783682
DLBCL10900	7.5494323	3.8731692
DLBCL11462	5.681607	9.607393
DLBCL10945	7.2943883	9.454517
DLBCL11537	7.415308	9.6471195
DLBCL11662	6.18346	9.249681
DLBCL10466	2.1488872	8.904017
DLBC_FF_A7CQ_TP_NB	6.306956	4.67433
DLBCL10992	7.4571867	3.9076939
DLBCL11672	2.078472	9.151997
DLBCL10983	1.5029539	5.0242686
DLBCL_MC_F729_MAN	2.2942958	6.4925036
DLBCL10847	4.635616	5.866933
DLBCL10510	1.6729683	6.517122
DLBCL_C_D_1129_NULLPAIR	6.2237825	9.150688
DLBCL10887	5.6061993	5.363483
DLBCL10853	6.720645	4.2780733
DLBCL10912	6.7448263	9.58966
DLBCL_MC_F089_HCZ	0.34024477	6.2040267
DLBCL11476	4.863094	5.947923
DLBCL_LS3749	0.60638076	5.832352
DLBCL10521	4.5232043	4.785567
DLBCL11685	2.527596	9.369543
DLBCL11203	0.5038186	5.426682
DLBCL10529	4.694095	4.6158996
DLBCL_RICOVER_829	6.779711	10.508864
DLBCL10550	5.188607	4.934905
DLBCL10515	6.195798	9.317703
DLBCL_LS3200	4.630459	4.5493584
DLBCL_C_D_1130_NULLPAIR	6.6793694	9.722459
DLBCL11565	0.32868505	5.6613545
DLBCL10555	1.9368868	9.315399
DLBCL_LS297	2.303117	9.544413
DLBCL11558	1.9477859	9.156475
DLBCL_RICOVER_417	5.496707	4.9375396
DLBCL_DFCI_DLBCL_GOE16	2.5832832	9.326435
DLBCL_C_D_1114_NULLPAIR	6.175791	10.399018
DLBCL_RICOVER_449	6.398699	5.219096
DLBCL10461	0.19318737	5.514586
DLBCL11680	2.3635874	9.879667
DLBCL_MC_F519_ALT	4.8155794	5.1417303
DLBCL_RICOVER_440	0.2103361	5.8683953
DLBCL_C_D_1163_NULLPAIR	7.2776265	4.0025353
DLBCL11428	1.6888102	9.498595
DLBCL10997	6.3413854	10.327965
DLBCL10911	2.412135	6.3475776
DLBCL_C_D_1136_NULLPAIR	0.2006032	5.971549
DLBCL_LS1065	1.7076136	6.6757903
DLBCL10909	5.6236644	8.074515
DLBCL10517	2.259623	8.185399
DLBCL10962	2.8895736	6.1633897
DLBCL10871	3.0424023	7.1514683
DLBCL11515	3.1759112	6.352313
DLBCL11496	5.733099	9.145083
DLBCL11437	6.081316	7.749274
DLBCL10885	1.5755991	5.123136
DLBCL_RICOVER_910	4.379495	9.561097
DLBCL10844	5.8837495	9.517023
DLBCL10994	5.0773563	9.726477
DLBCL10782	-0.37373686	5.7586074
DLBCL10565	2.1590405	9.052871
DLBCL10564	1.3865404	9.468403
DLBCL_C_D_1156_NULLPAIR	4.485182	9.323492
DLBCL_RICOVER_274	6.196015	4.7794785
DLBCL10910	3.9301555	9.500086
DLBCL_LS2089	0.20521778	5.8415194
DLBCL_RICOVER_314	4.1406875	5.525057
DLBCL_LS4616	2.1077175	8.615748
DLBCL11576	5.702273	8.13656
DLBCL_LS762	4.183223	9.458508
DLBCL11658	6.410849	7.165241
DLBCL10927	6.674018	7.4990935
DLBCL11456	2.9937344	7.809026
DLBCL_LS2357	6.6138563	7.6002316
DLBCL11488	7.512835	9.517467
DLBCL_RICOVER_978	6.499651	9.652658
DLBCL10993	5.3054466	9.192607
DLBCL_RICOVER_945	6.7071204	9.646101
DLBCL_LS2245	0.60854965	6.4473696
DLBCL_LS3245	0.20120798	4.9992824
DLBCL10472	2.7454994	9.967316
DLBCL_RICOVER_577	2.0757322	9.915051
DLBCL11671	5.2813444	9.789108
DLBCL_LS4054	3.021128	7.742885
DLBCL10549	1.4766085	6.125179
DLBCL_RICOVER_1106	5.018385	4.5167866
DLBCL11566	1.9812179	8.658672
DLBCL11470	7.042508	10.256424
DLBCL11673	2.950482	7.8584094
DLBCL10903	2.4471323	6.5077467
DLBCL_RICOVER_408	2.0398586	6.0349865
DLBCL10922	2.7488194	6.878703
DLBCL10465	1.6205016	9.623028
DLBCL10452	1.3742267	6.41093
DLBCL11667	2.0575008	9.915599
DLBCL_LS2599	1.2130958	9.488793
DLBCL_C_D_1144_NULLPAIR	5.03156	6.6287603
DLBC_FF_8043_TP_NB	1.6688504	6.8081603
DLBCL10931	7.3875284	9.413091
DLBCL_RICOVER_451	5.9082336	10.331645
DLBCL11670	1.4453721	9.880461
DLBCL_RICOVER_850	6.7750273	4.3073072
DLBCL_DFCI_DLBCL_GOE07	2.7304115	6.194327
DLBCL11656	2.610549	9.56173
DLBCL10935	5.8637395	9.90657
DLBCL_RICOVER_533	0.7962683	5.9861665
DLBCL11188	2.4863944	6.314094
DLBCL_LS146	0.55827075	4.8553123
DLBCL10495	5.723497	9.985456
DLBCL_RICOVER_977	7.5604405	9.4235325
DLBCL_RICOVER_1289	6.5028434	5.0987716
DLBCL11195	5.865418	4.4547787
DLBCL_C_D_1128_NULLPAIR	5.151544	9.777123
DLBCL10852	6.839973	4.222378
DLBCL10781	6.3357067	4.450636
DLBCL10535	4.885764	6.4187646
DLBCL10884	6.7189517	9.76836
DLBCL_RICOVER_221	4.7131424	4.981659
DLBCL10525	7.0466824	9.352447
DLBCL_LS1757	6.6323195	9.524183
DLBCL10895	4.514722	4.7173715
DLBCL11450	7.4777246	3.057867
DLBCL11500	6.099724	5.064455
DLBCL11353	5.0232472	4.6470942
DLBCL10880	5.0550137	5.6467633
DLBCL10890	5.6140904	4.929036
DLBCL10951	4.7194123	4.9793615
DLBCL10862	5.21111	5.357889
DLBCL10883	6.546766	4.965432
DLBCL_RICOVER_1248	7.5448923	3.0124805
DLBCL_C_D_1125_NULLPAIR	5.032686	4.5039377
DLBCL10530	7.5686026	3.066788
DLBCL10534	6.407372	4.44723
DLBCL_MC_F218_RAP	5.0157933	8.871242
DLBCL10965	6.8004723	7.2038713
DLBC_FF_8062_TP_NB	5.610372	8.152131
DLBCL_LS155	2.5282688	9.374843
DLBCL10908	4.311305	9.518464
DLBCL10863	6.462766	4.834651
DLBCL11480	4.649908	9.58312
DLBCL11447	6.8433704	4.653721
DLBCL10972	5.9807615	9.156186
DLBCL11504	5.6094904	6.23002
DLBCL10780	0.9282228	6.6310925
DLBCL_RICOVER_299	0.07808779	5.058051
DLBCL10999	6.6387405	5.5332537
DLBCL10451	5.884107	10.472293
DLBCL10490	6.709246	10.442915
DLBCL_C_D_1109_NULLPAIR	6.3673315	7.147682
DLBCL_MC_F064AB	2.3316422	9.194111
DLBCL10482	5.9919987	9.142771
DLBCL_C_D_1119_NULLPAIR	1.0954741	6.320833
DLBCL11457	7.060038	10.273451
DLBCL11527	7.0776634	7.4563475
DLBCL_MC_F307_JPS	4.4469113	9.414379
DLBCL_RICOVER_701	6.1479406	8.053565
