	u1	u2
DLBCL10473	3.6228354	3.2208314
DLBCL10933	3.5463154	5.098617
DLBCL11453	4.508394	9.615775
DLBCL_LS2978	4.9980364	7.45376
DLBCL_RICOVER_865	4.907488	7.1880913
DLBCL_RICOVER_266	3.1746554	4.9714704
DLBCL_MC_F089_MLB	4.6478934	5.911696
DLBCL_LS3615	2.9134872	8.843345
DLBCL10493	2.4132407	5.6001987
DLBCL_C_D_1142_NULLPAIR	3.8680792	5.5536785
DLBCL_LS1583	5.515755	5.7986436
DLBCL_RICOVER_1169	1.8401575	7.0967646
DLBCL10533	5.9788475	4.779099
DLBCL_RICOVER_463	1.9043832	8.38265
DLBCL10481	0.41929677	5.5025206
DLBCL_RICOVER_585	6.1596603	4.977362
DLBCL_RICOVER_623	2.8601592	4.409185
DLBCL11563	1.1858379	5.395597
DLBCL10938	8.178541	5.745869
DLBCL_RICOVER_1257	5.231866	4.6863623
DLBCL_MC_F959_ERM	4.1286097	3.4497583
DLBCL_C_D_1107_NULLPAIR	4.777777	7.792741
DLBCL_C_D_PAIR5	2.3478394	2.8732712
DLBCL_LS2305	1.1664333	4.6042905
DLBCL_C_D_1155_NULLPAIR	3.519575	7.9438605
DLBCL_RICOVER_107	3.3019283	3.708719
DLBCL10537	2.685166	6.554073
DLBCL_RICOVER_694	1.4820557	8.074837
DLBCL10943	4.9543314	5.7634435
DLBCL10508	6.5577393	6.549761
DLBCL10540	7.221904	6.4723363
DLBCL_RICOVER_1144	5.2792697	8.100466
DLBCL11584	0.80670685	5.4605546
DLBCL11532	1.0595953	4.820804
DLBCL11575	1.3252034	4.649017
DLBCL_RICOVER_1013	0.8040327	4.52111
DLBCL10499	5.6395426	5.3159447
DLBCL_C_D_1124_NULLPAIR	6.4519725	5.666879
DLBCL_MC_F344_CJS	1.64456	4.7558136
DLBCL10926	3.2026145	4.9230375
DLBCL_RICOVER_431	7.701808	4.812858
DLBCL11585	1.0341463	5.4504557
DLBCL_LS2596	5.8876433	5.087603
DLBCL_MC_F339_JPS2	6.685643	5.562271
DLBCL_RICOVER_704	5.188173	5.441457
DLBCL_LS4618	0.3841072	5.8358502
DLBCL11451	5.9676943	5.183079
DLBCL11514	7.8345647	5.058688
DLBCL_RICOVER_543	4.92658	5.765824
DLBCL_LS1620	1.0339367	5.4952164
DLBCL10528	2.8377934	2.2959797
DLBCL11572	1.446988	4.8827243
DLBCL11684	2.7671216	3.8748612
DLBCL_LS88	2.605028	3.6191876
DLBCL_MC_F358_WDS	0.47320768	5.656459
DLBCL_C_D_1127_NULLPAIR	1.1686249	5.0201445
DLBCL_RICOVER_290	4.722459	7.776064
DLBCL11508	3.481364	7.513535
DLBCL_LS2258	1.902106	6.6811576
DLBCL11579	2.816766	3.022158
DLBCL10507	2.3908007	2.872047
DLBCL11438	2.6857758	3.5043225
DLBCL10477	2.967624	2.3951187
