STAT3
STK33
OSBPL10
BCL11A
PIM1
RC3H1
C3ORF33
ANKRD35
MEF2C
DTX1
COPS6
AVPR1B
IRF4
FNBP1
NLRP8
RUSC1
PRDM1
CD70
C9ORF43
PRKCB
KRTAP5.1
TMEM30A
CREBBP
IKZF3
KLHL6
FADD
VEZF1
EBF1
TNFRSF14
BTG1
SPEN
YY1
BCL7A
ZC3H18
STAT6
HIST1H1C
SMEK1
HIST1H2BC
PTEN
POU2AF1
DUSP2
ZNF444
PTPN6
NAV1
PFN1
GRB2
RAC2
B2M
TOX
BEST3
DCDC2B
GPR126
ZFP36L1
KMT2D
LYN
POU2F2
CD7
AUNIP
ZEB2
ARHGEF6
POTEH
SESN3
OLIG1
FCRL3
HLA.A
NFKBIA
HIST1H2AC
TSR1
ATN1
OR6K2
P2RY8
ATP2A2
OGT
ANKRD40
ZC3H12A
UVRAG
CD83
BCL10
NANOG
SGK1
BTK
FUT5
NFKBIE
XPO1
CD58
CARD11
MEF2B
TMCO4
SF3B1
GNAI2
ETS1
CCDC27
TET2
SIRT5
BTG2
FAS
NRAS
TP53
CCDC159
SOCS1
BCL6
KIAA1919
HIST1H2AG
ZNF423
RAD9A
GRHPR
PELP1
RNPS1
TMEM82
HIST1H1D
NFATC4
TNFAIP3
BCL2
ETV6
IGLL5
OR8I2
DKK4
CRIP1
CIITA
PABPC1
SCN9A
DACH1
KAT6B
WRNIP1
SASH3
INTS3
MAP2K1
EZH2
SLAMF6
IRF2BP2
SPIB
HLA.B
NEK5
RHOA
HCN1
TMSB4X
MSL2
HLA.DMA
CTDP1
CD274
FOXO1
ADCY7
CXCR4
UBE2A
IL4R
EIF5
IL6
EEF1A1
TBC1D12
E2F5
HIST1H1B
HIST1H3B
METAP1D
ACTB
EIF4A2
CD3G
HIAT1
HIST1H2AM
DAZAP1
METTL22
GABRA2
ARIH1
IRF8
CCND3
BRAF
TRAF6
TNIP1
SKP1
ALOX15
LTB
CCL4
NOTCH2
TLR2
TUBGCP5
SIN3A
TBL1XR1
COQ7
CDKN2A
EP300
ARID5B
MYD88
KDELR3
NIPA2
CXCR5
KRAS
RAB5B
GNA13
CD79B
SMG7
PAX5
HLA.C
PRPS1
HVCN1
ESX1
DOCK1
SMO
ARHGAP25
PTPRH
BCOR
C2ORF16
FCGBP
GLDC
PIM2
ABHD14B
TMC1
HIST1H1E
MYD88.L265P
MYD88.OTHER
STAT3.CCF
STK33.CCF
OSBPL10.CCF
BCL11A.CCF
PIM1.CCF
RC3H1.CCF
C3ORF33.CCF
ANKRD35.CCF
MEF2C.CCF
DTX1.CCF
COPS6.CCF
AVPR1B.CCF
IRF4.CCF
FNBP1.CCF
NLRP8.CCF
RUSC1.CCF
PRDM1.CCF
CD70.CCF
C9ORF43.CCF
PRKCB.CCF
KRTAP5.1.CCF
TMEM30A.CCF
CREBBP.CCF
IKZF3.CCF
KLHL6.CCF
FADD.CCF
VEZF1.CCF
EBF1.CCF
TNFRSF14.CCF
BTG1.CCF
SPEN.CCF
YY1.CCF
BCL7A.CCF
ZC3H18.CCF
STAT6.CCF
HIST1H1C.CCF
SMEK1.CCF
HIST1H2BC.CCF
PTEN.CCF
POU2AF1.CCF
DUSP2.CCF
ZNF444.CCF
PTPN6.CCF
NAV1.CCF
PFN1.CCF
GRB2.CCF
RAC2.CCF
B2M.CCF
TOX.CCF
BEST3.CCF
DCDC2B.CCF
GPR126.CCF
ZFP36L1.CCF
KMT2D.CCF
LYN.CCF
POU2F2.CCF
CD7.CCF
AUNIP.CCF
ZEB2.CCF
ARHGEF6.CCF
POTEH.CCF
SESN3.CCF
OLIG1.CCF
FCRL3.CCF
HLA.A.CCF
NFKBIA.CCF
HIST1H2AC.CCF
TSR1.CCF
ATN1.CCF
OR6K2.CCF
P2RY8.CCF
ATP2A2.CCF
OGT.CCF
ANKRD40.CCF
ZC3H12A.CCF
UVRAG.CCF
CD83.CCF
BCL10.CCF
NANOG.CCF
SGK1.CCF
BTK.CCF
FUT5.CCF
NFKBIE.CCF
XPO1.CCF
CD58.CCF
CARD11.CCF
MEF2B.CCF
TMCO4.CCF
SF3B1.CCF
GNAI2.CCF
ETS1.CCF
CCDC27.CCF
TET2.CCF
SIRT5.CCF
BTG2.CCF
FAS.CCF
NRAS.CCF
TP53.CCF
CCDC159.CCF
SOCS1.CCF
BCL6.CCF
KIAA1919.CCF
HIST1H2AG.CCF
ZNF423.CCF
RAD9A.CCF
GRHPR.CCF
PELP1.CCF
RNPS1.CCF
