epoch	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TrainingFold1	0.13514244567458614	0.1141572822954565	0.08957441216589276	0.07355303226297633	0.06044539901563698	0.04923414199767902	0.039991282012551206	0.03408897954520848	0.03108154195663148	0.027027341177059096	0.02646726959598185	0.02272583021751047	0.021479045794688054	0.022387442766470783	0.020308206668868768	
TrainingFold2	0.13696809490646208	0.11950947728288065	0.09279284802326988	0.06592465579246673	0.05049161501570895	0.04050686006070431	0.034987021789722704	0.028829450014334783	0.025413396043725767							
TrainingFold3	0.1299888173583895	0.10109549306375398	0.0722966005729342	0.05331991337324408	0.04111267727619799	0.03378916625330352	0.028958336061755702									
TrainingFold4	0.12890827824700285	0.1010697670259767	0.07570297558135776	0.05851406475994736	0.04680813146432311	0.04049970788711851	0.03587714266270103	0.034301487445058725	0.029817906397147452	0.027192050701705738	0.024371559440028664	0.024851991556153568	0.021862230552770513	0.021837295618024655	0.021536424952500965	0.019654940726319514
TrainingFold5	0.1242667227241788	0.09749419184620767	0.07586010738499294	0.06173284249527725	0.048382207319325854	0.037081513381341885	0.03128397259392409	0.026411488822901546	0.024868092382204512	0.02358534494920621	0.02120201752207145					
ValidationFold1	0.12738329688976477	0.1013463099260588	0.08247769744815053	0.06998658420618724	0.05776379735687295	0.04875359542537816	0.043884819505635546	0.03967186738422292	0.03979671057439535	0.03584970532589265	0.03448761643963522	0.0375838902137066	0.031872074215710665	0.0315456674408025	0.029788092961786566	
ValidationFold2	0.12431246612791542	0.1008543608257094	0.07302347528706263	0.054138213542902526	0.045179890502277796	0.04478332325648349	0.03419349636664396	0.03540443786134658	0.03380588747992029							
ValidationFold3	0.11504942462318116	0.08358633311817774	0.06051965039391238	0.04363604182134139	0.0367442627903074	0.034130329352191034	0.02828712073712702									
ValidationFold4	0.1202667060870308	0.08836040348821395	0.06819505397196826	0.05641578497818193	0.04668583513891979	0.04229357169504772	0.044957869236256824	0.03653240040771093	0.04070579672760859	0.03453534885638956	0.0345483964428658	0.03367881105582415	0.034088321725485496	0.0323639535667639	0.03282879584448974	0.03015327985793864
ValidationFold5	0.10895386395287944	0.0828901894961123	0.06736415986240178	0.05387599127753093	0.04231629597845378	0.034329559538630885	0.03217999158565559	0.02813488322201076	0.031504065555054694	0.02419279249272779	0.023943618002089648					
